cycle,time,stage,active_cells,min_w,min_rho,min_alpha,max_alpha,min_metric_eigenvalue,max_frobenius_condition,min_4_alpha2w2,margin_2_alpha,max_abs_pcghi_w,max_abs_pcghi_rho,max_abs_pcghi_a,max_abs_pcghi_c,max_abs_pcghi_b,max_abs_pcghi_d,max_abs_pcghi_e,max_abs_pcghi_betax,max_abs_pcghi_betay,max_abs_pcghi_betaz,max_abs_pcghi_K,max_abs_pcghi_Ahatxx,max_abs_pcghi_Ahatxy,max_abs_pcghi_Ahatxz,max_abs_pcghi_Ahatyy,max_abs_pcghi_Ahatyz,max_abs_pcghi_Zx,max_abs_pcghi_Zy,max_abs_pcghi_Zz,max_abs_pcghi_C,max_abs_pcghi_px,max_abs_pcghi_py,max_abs_pcghi_pz,max_abs_pcghi_lx,max_abs_pcghi_ly,max_abs_pcghi_lz,max_abs_pcghi_Sxa,max_abs_pcghi_Sxc,max_abs_pcghi_Sxb,max_abs_pcghi_Sxd,max_abs_pcghi_Sxe,max_abs_pcghi_Sya,max_abs_pcghi_Syc,max_abs_pcghi_Syb,max_abs_pcghi_Syd,max_abs_pcghi_Sye,max_abs_pcghi_Sza,max_abs_pcghi_Szc,max_abs_pcghi_Szb,max_abs_pcghi_Szd,max_abs_pcghi_Sze,max_abs_pcghi_Bxx,max_abs_pcghi_Bxy,max_abs_pcghi_Bxz,max_abs_pcghi_Byx,max_abs_pcghi_Byy,max_abs_pcghi_Byz,max_abs_pcghi_Bzx,max_abs_pcghi_Bzy,max_abs_pcghi_Bzz
0,0,post-exchange,4096,0.40192378864668399,1,0.40192378864668399,0.92724680843084428,1,2.9999999999999996,3.2607669272373871,1.0727531915691557,0.92724680843084428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,diagnostic state,4096,0.40192378864668399,1,0.40192378864668399,0.92724680843084428,1,2.9999999999999996,3.2607669272373871,1.0727531915691557,0.92724680843084428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,pre-timestep,4096,0.40192378864668399,1,0.40192378864668399,0.92724680843084428,1,2.9999999999999996,3.2607669272373871,1.0727531915691557,0.92724680843084428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,pre-RHS including stencil ghosts,4096,0.40192378864668399,1,0.40192378864668399,0.92724680843084428,1,2.9999999999999996,3.2607669272373871,1.0727531915691557,0.92724680843084428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,post-RHS,4096,0.40192378864668399,1,0.40192378864668399,0.92724680843084428,1,2.9999999999999996,3.2607669272373871,1.0727531915691557,0.92724680843084428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0.19615242270663188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,post-RK update,4096,0.40197340748856664,1,0.40197340748856664,0.92725025734803934,1,2.9999999999999996,3.2607559287940067,1.0727497426519608,0.92725025734803934,1,0,0,0,0,0,1.6238767407078207e-20,1.6238767407078207e-20,1.6238767407078207e-20,0.00097027283436702284,0.00015573527245351561,0.00030928656857229372,0.00030928656857229372,0.00015573527245351561,0.00030928656857229372,0,0,0,0.0016029836810616573,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,post-exchange,4096,0.40197340748856664,1,0.40197340748856664,0.92725025734803934,1,2.9999999999999996,3.2607559287940067,1.0727497426519608,0.92725025734803934,1,0,0,0,0,0,1.6238767407078207e-20,1.6238767407078207e-20,1.6238767407078207e-20,0.00097027283436702284,0.00015573527245351561,0.00030928656857229372,0.00030928656857229372,0.00015573527245351561,0.00030928656857229372,0,0,0,0.0016029836810616573,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,diagnostic state,4096,0.40197340748856664,1,0.40197340748856664,0.92725025734803934,1,2.9999999999999996,3.2607559287940067,1.0727497426519608,0.92725025734803934,1,0,0,0,0,0,1.6238767407078207e-20,1.6238767407078207e-20,1.6238767407078207e-20,0.00097027283436702284,0.00015573527245351561,0.00030928656857229372,0.00030928656857229372,0.00015573527245351561,0.00030928656857229372,0,0,0,0.0016029836810616573,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,pre-RHS including stencil ghosts,4096,0.40197340748856664,1,0.40197340748856664,0.92725025734803934,1,2.9999999999999996,3.2607559287940067,1.0727497426519608,0.92725025734803934,1,0,0,0,0,0,1.6238767407078207e-20,1.6238767407078207e-20,1.6238767407078207e-20,0.00097027283436702284,0.00015573527245351561,0.00030928656857229372,0.00030928656857229372,0.00015573527245351561,0.00030928656857229372,0,0,0,0.0016029836810616573,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,post-RHS,4096,0.40197340748856664,1,0.40197340748856664,0.92725025734803934,1,2.9999999999999996,3.2607559287940067,1.0727497426519608,0.92725025734803934,1,0,0,0,0,0,1.6238767407078207e-20,1.6238767407078207e-20,1.6238767407078207e-20,0.00097027283436702284,0.00015573527245351561,0.00030928656857229372,0.00030928656857229372,0.00015573527245351561,0.00030928656857229372,0,0,0,0.0016029836810616573,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0.19565670926911063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
