# reproduction_conditioned_linf=5.04870979341447555e-29
# production_rerun_conditioned_linf=0.00000000000000000e+00
# tolerance=4.99999999999999990e-13
# global_actual_maximum=2.80831505774636454e-12 component=54 radius=2.23169638391964076e-01 rank=1 gid=7
# at_global_max_actual=-2.80831505774636454e-12 principal=0.00000000000000000e+00 vacuum=0.00000000000000000e+00 ordinary_gauge=0.00000000000000000e+00 gamma0=0.00000000000000000e+00 gamma2=0.00000000000000000e+00 driver=-3.96253358138042118e-14 KO=-2.76868972193256047e-12 sum=-2.80831505774636454e-12
sector	family	maximum	component	radius	rank	gid	x	y	z	i	j	k
actual	Psi	3.07531777821169182e-15	0	2.40035804620893994e-01	1	7	-3.12500000000000000e-02	-9.37500000000000000e-02	-2.18750000000000000e-01	15	14	12
actual	Pi	6.48925370427314371e-13	13	2.23169638391964076e-01	1	7	-3.12500000000000000e-02	-3.12500000000000000e-02	-2.18750000000000000e-01	15	15	12
actual	Phi	5.20092022813803511e-15	20	3.09658960592132715e+00	0	0	-1.96875000000000000e+00	-1.78125000000000000e+00	-1.59375000000000000e+00	0	3	6
actual	Hhat	5.74256317446710619e-13	52	2.23169638391964076e-01	1	7	-3.12500000000000000e-02	-2.18750000000000000e-01	-3.12500000000000000e-02	15	12	15
actual	theta	2.80831505774636454e-12	54	2.23169638391964076e-01	1	7	-3.12500000000000000e-02	-3.12500000000000000e-02	-2.18750000000000000e-01	15	15	12
actual	Upsilon	1.36600282085254032e-15	60	3.46579265825294303e-01	1	7	-3.12500000000000000e-02	-3.12500000000000000e-02	-3.43750000000000000e-01	15	15	10
principal	Psi	9.17428819835360476e-30	0	2.70632938682637103e-01	1	7	-2.18750000000000000e-01	-1.56250000000000000e-01	-3.12500000000000000e-02	12	13	15
principal	Pi	1.63425289516716742e-13	10	2.23169638391964076e-01	1	7	-3.12500000000000000e-02	-3.12500000000000000e-02	-2.18750000000000000e-01	15	15	12
principal	Phi	1.67512491859083278e-28	20	2.23169638391964076e-01	2	14	2.18750000000000000e-01	-3.12500000000000000e-02	-3.12500000000000000e-02	3	15	15
covariant_vacuum_source	Pi	2.06902618640954789e-13	19	5.33085065913499356e-01	1	7	-3.12500000000000000e-02	-3.12500000000000000e-02	-5.31250000000000000e-01	15	15	7
ordinary_gauge_increment	Pi	6.85422968941943383e-13	13	2.23169638391964076e-01	1	7	-3.12500000000000000e-02	-3.12500000000000000e-02	-2.18750000000000000e-01	15	15	12
gamma0_damping	Pi	2.21098385044739337e-15	14	2.70632938682637103e-01	1	7	-1.56250000000000000e-01	-2.18750000000000000e-01	-3.12500000000000000e-02	13	12	15
gamma2_damping	Pi	1.64860248849542330e-14	10	2.40035804620893994e-01	2	14	9.37500000000000000e-02	-2.18750000000000000e-01	-3.12500000000000000e-02	1	12	15
gamma2_damping	Phi	5.20140454885338401e-15	20	3.09658960592132715e+00	0	0	-1.96875000000000000e+00	-1.78125000000000000e+00	-1.59375000000000000e+00	0	3	6
driver	Hhat	4.50075651696337612e-13	52	2.23169638391964076e-01	1	7	-3.12500000000000000e-02	-2.18750000000000000e-01	-3.12500000000000000e-02	15	12	15
driver	theta	2.69399501646705924e-13	55	2.23169638391964076e-01	1	7	-2.18750000000000000e-01	-3.12500000000000000e-02	-3.12500000000000000e-02	12	15	15
driver	Upsilon	1.36600282085254032e-15	60	3.46579265825294303e-01	1	7	-3.12500000000000000e-02	-3.12500000000000000e-02	-3.43750000000000000e-01	15	15	10
KO	Psi	3.07531777821168354e-15	0	2.40035804620893994e-01	1	7	-3.12500000000000000e-02	-9.37500000000000000e-02	-2.18750000000000000e-01	15	14	12
KO	Pi	4.33457469635993089e-14	10	2.23169638391964076e-01	5	28	2.18750000000000000e-01	3.12500000000000000e-02	-3.12500000000000000e-02	3	0	15
KO	Phi	2.51273737489652429e-15	20	2.40035804620893994e-01	2	14	9.37500000000000000e-02	-2.18750000000000000e-01	-3.12500000000000000e-02	1	12	15
KO	Hhat	1.46261891487142732e-13	53	2.23169638391964076e-01	1	7	-3.12500000000000000e-02	-3.12500000000000000e-02	-2.18750000000000000e-01	15	15	12
KO	theta	2.76868972193256047e-12	54	2.23169638391964076e-01	1	7	-3.12500000000000000e-02	-3.12500000000000000e-02	-2.18750000000000000e-01	15	15	12
KO	Upsilon	0.00000000000000000e+00	58	1.03219653530710898e+00	11	58	3.12500000000000000e-02	1.03125000000000000e+00	3.12500000000000000e-02	0	0	0
