file,n,dx,L,width,rate,kappa,eta,lapse_damping,order,k,kh_pi,gamma,factor50000,taper,plateau,corner
h32-L4096-w512-r0001-k0-q16.json,128,32,4096,512.0,0.001,0,2,0.1,before,0.006135923151542565,0.0625,2.949344365996642e-15,1.0000000001474671,0,0,False
h32-L4096-w512-r0001-k0-q2.json,128,32,4096,512.0,0.001,0,2,0.1,before,0.04908738521234052,0.5,3.478962441980716e-16,1.0000000000173948,0,0,False
h32-L4096-w512-r0001-k0-q256.json,128,32,4096,512.0,0.001,0,2,0.1,before,0.0003834951969714103,0.00390625,1.561548417823127e-06,1.0812063633899718,0,0,False
h32-L4096-w512-r0001-k0-q32.json,128,32,4096,512.0,0.001,0,2,0.1,before,0.0030679615757712823,0.03125,4.7272728849282376e-15,1.0000000002363636,0,0,False
h32-L4096-w512-r0001-k0-q4.json,128,32,4096,512.0,0.001,0,2,0.1,before,0.02454369260617026,0.25,8.629300926094299e-16,1.0000000000431466,0,0,False
h32-L4096-w512-r0001-k0-q512.json,128,32,4096,512.0,0.001,0,2,0.1,before,0.00019174759848570515,0.001953125,1.6647366117701408e-06,1.0867991653579736,0,0,False
h32-L4096-w512-r0001-k0-q64.json,128,32,4096,512.0,0.001,0,2,0.1,before,0.0015339807878856412,0.015625,8.676319350096736e-14,1.0000000043381596,0,0,False
h32-L4096-w512-r0001-k0-q8.json,128,32,4096,512.0,0.001,0,2,0.1,before,0.01227184630308513,0.125,4.785846710753693e-16,1.0000000000239293,0,0,False
rootprofile-h64-L4096-start512-end1792-r005-k01taper-q32.json,64,64,4096,1536.0,0.005,0.1,2,0.1,before,0.0015339807878856412,0.03125,0.00047618528080719706,21889305920.228134,24.0,4.0,False
rootprofile-h64-L4096-start512-end1792-r005-k01taper-q64.json,64,64,4096,1536.0,0.005,0.1,2,0.1,before,0.0007669903939428206,0.015625,0.000258344109500763,407259.3459139405,24.0,4.0,False
rootprofile-h64-L4096-start512-end1792-r005-k01taper-q8.json,64,64,4096,1536.0,0.005,0.1,2,0.1,before,0.006135923151542565,0.125,0.0007959178705486448,1.919273917473252e+17,24.0,4.0,False
rootprofile-uniformk0-fixedk0-h32.json,128,32,4096,1536.0,0.005,0,2,0.1,before,0.0,0.0,7.49742088117881e-07,1.0381986088076398,0,8.0,False
rootprofile-uniformk0-q0.0.json,64,64,4096,1536.0,0.005,0,2,0.1,before,0.0,0.0,7.629601840188173e-07,1.0388849860364286,0,4.0,False
rootprofile-uniformk0-q0.015625.json,64,64,4096,1536.0,0.005,0,2,0.1,before,0.0007669903939428206,0.015625,1.8615517919812974e-07,1.0093512108569636,0,4.0,False
rootprofile-uniformk0-q0.03125.json,64,64,4096,1536.0,0.005,0,2,0.1,before,0.0015339807878856412,0.03125,9.65258104102016e-16,1.000000000048263,0,4.0,False
rootprofile-uniformk0-q0.125.json,64,64,4096,1536.0,0.005,0,2,0.1,before,0.006135923151542565,0.125,7.430661700921255e-16,1.0000000000371534,0,4.0,False
survivor-fixedk0-h32-L2048.json,64,32,2048,512.0,0.001,0,2,0.1,before,0.0,0.0,4.685791467593631e-06,1.2640104629992446,0,0,False
survivor-fixedk0-h64-L4096.json,64,64,4096,512.0,0.001,0,2,0.1,before,0.0,0.0,1.7121756032763657e-06,1.089380057840067,0,0,False
survivor-fixedk0-h64-L8192.json,128,64,8192,512.0,0.001,0,2,0.1,before,0.0,0.0,5.201051405954195e-06,1.2969982684586894,0,0,False
taper-survivor-profile.json,64,64,4096,1536.0,0.005,0.1,2,0.1,before,0.006135923151542565,0.125,0.0007959178705542239,1.919273918008637e+17,24.0,4.0,False
wide2048-fixedk-pi8192-h128-L8192.json,64,128,8192,2048.0,0.001,0,2,0.1,before,0.0003834951969714103,0.015625,1.5746779161136766e-07,1.0079044662182635,0,0,False
wide2048-fixedk-pi8192-h64-L8192.json,128,64,8192,2048.0,0.001,0,2,0.1,before,0.0003834951969714103,0.0078125,1.5238779709325857e-07,1.0076484912702646,0,0,False
wide2048-h64-L8192-k0-r0001-q0.0.json,128,64,8192,2048.0,0.001,0,2,0.1,before,0.0,0.0,2.982206261265428e-07,1.015022755349838,0,0,False
wide2048-h64-L8192-k0-r0001-q0.015625.json,128,64,8192,2048.0,0.001,0,2,0.1,before,0.0007669903939428206,0.015625,2.1557378750856528e-14,1.000000001077869,0,0,False
wide2048-h64-L8192-k0-r0001-q0.125.json,128,64,8192,2048.0,0.001,0,2,0.1,before,0.006135923151542565,0.125,9.228651309948069e-16,1.0000000000461433,0,0,False
