block,level,x,y,z,r,h,w,rho,alpha,K,local_rate,rate_gradient_norm,product_derivative_defect,half_ell_factorized,half_ell_direct,energy_rate_margin,frozen_spectral_abscissa
0,0,-7.9375,-7.9375,-7.9375,13.748153285077963,0.125,0.9317261393274537,0.9989049802391161,0.9307058807931581,-5.967762527353482e-05,1.0,0.0,2.636091661978271e-08,3.5957052144080904e-05,3.598341306070069e-05,0.9993909493976094,-0.9999025178734895
0,0,-4.0625,-6.8125,-7.9375,11.221317603115954,0.125,0.9168946780812868,1.000380457608759,0.9172435176379934,-0.0005602860771919664,1.0,0.0,5.214138590914381e-08,9.30822357638507e-05,9.303470822426071e-05,0.9978353008325429,-0.9987992627334341
0,0,-6.8125,-6.8125,-7.3125,12.095163031145963,0.125,0.9223579821203317,0.9995311674271983,0.9219255506545301,-0.00030149368044139405,1.0,0.0,6.068528543096866e-08,8.309915811976963e-07,8.778518387540261e-07,0.9986027874185437,-0.9993380060922117
0,0,-4.0625,-4.1875,-7.0625,9.16067512522958,0.125,0.8986052304107537,1.0058890989923541,0.9038972055676898,-0.0020256508567186348,1.0,0.0,4.575154147543469e-08,2.5230222505598763e-07,2.0774633285358543e-07,0.9935454078582551,-0.9957349384807145
0,0,-7.3125,-7.1875,-6.1875,11.97572414303202,0.125,0.9216421298201497,0.9996256223034997,0.92129708756259,-0.00034225560393794216,1.0,0.0,6.204778348703122e-08,9.268813679764363e-07,9.728230185379412e-07,0.9984769669281599,-0.9992328450593808
0,0,-4.0625,-4.0625,-4.8125,7.494529254729746,0.125,0.8768741103914753,1.0180992602027226,0.8927448830804815,-0.00426037706204684,1.0,0.0,2.6114174738072304e-08,1.0581709767278303e-08,1.5534872606334472e-08,0.9864945138951717,-0.9910487699465558
1,0,-0.5625,-5.9375,-7.8125,9.828808104241327,0.125,0.9055983637865251,1.003441754045435,0.9087152106186267,-0.0013438170685208114,1.0,0.0,4.6668954248853295e-08,3.591901051571928e-05,3.5949760894598316e-05,0.9952830844015369,-0.9971109419954522
1,0,-0.5625,-4.0625,-4.5625,6.134877240010594,0.125,0.8520794432564421,1.036272575253295,0.8829865589837472,-0.005123920178679126,1.0,0.0,4.4035765567189004e-08,1.7295705649858444e-08,2.6744923150226356e-08,0.977622874077663,-0.9887882692672739
2,0,-6.8125,-2.5625,-6.4375,9.716890899356645,0.125,0.9040990367366782,1.0037821421740643,0.9075184678330509,-0.0014835801016379255,1.0,0.0,7.40769846355217e-08,2.221664394016215e-08,7.899188762147478e-08,0.9951694789813104,-0.9968758371644082
2,0,-6.9375,-2.5625,-5.4375,9.17941821413536,0.125,0.898729256400814,1.0058999626097382,0.9040317254098567,-0.0020124584212327995,1.0,0.0,5.8375553907443124e-08,5.5284527554248485e-08,3.195030504302384e-08,0.9935711870720033,-0.9957528508953413
