case,label,time,axisTau,axisKret,dt,maxRefLev,nmb_total,C-Linf,C-rho,C-z,C-norm2,H-norm2,M-norm2,Z-norm2
A,Rout16 original,0.0,0.0,0.0005653950047976614,0.010823312937405826,0.0,32.0,0.005980631937424982,5.25,0.0,0.0006854074319407438,0.0006818808093213485,0.0,8.816556548488162e-07
A,Rout16 original,0.02159391397185053,0.01329918552582149,0.0005653975270307832,0.002688888236821833,2.0,50.0,0.006807742001172383,5.5625,0.0,0.0008323012445783618,0.0007311029403427609,2.9111434103338166e-06,2.456065927427173e-05
A,Rout16 original,0.03232719238841587,0.019909560150341555,0.0005653960155762857,0.002679922771314445,2.0,50.0,0.006407306062675937,5.5625,0.0,0.0007536167229393173,0.0006431465950121625,1.2668225289979717e-05,2.4427749910476437e-05
A,Rout16 original,0.04302367657349918,0.026497274070124283,0.0005653939804627657,0.002670428411884742,2.0,50.0,0.005824099546969259,5.5625,0.0,0.0006557283648917471,0.000531200946479436,2.737655663889855e-05,2.4249069251999203e-05
A,Rout16 original,0.05368137673748238,0.03306110182049045,0.0005653914377188604,0.0026607017467896957,2.0,50.0,0.00508803127776977,5.5625,0.0,0.0005503000186396358,0.0004093296209823885,4.456229257869765e-05,2.4044479961300178e-05
A,Rout16 original,0.06429864103074195,0.03960002606615276,0.0005653884023318017,0.002650594796785129,2.0,50.0,0.004236219316250024,5.5625,0.0,0.0004483992544938943,0.00029096412831751303,6.178799945844383e-05,2.3833732717245385e-05
A,Rout16 original,0.07487573477779653,0.046114210214530243,0.0005653848873135944,0.0026403547909781373,2.0,50.0,0.0033120626702412433,5.5625,0.0,0.0003590382491821449,0.00018718252855049654,7.695024870484193e-05,2.3627452598959547e-05
A,Rout16 original,0.0854124011814952,0.052603496110640496,0.000565380904605095,0.002630566348788181,2.0,50.0,0.0023666525408628423,5.5625,0.0,0.00028836518149973495,0.00010570209464576148,8.847176707328873e-05,2.3428657441565306e-05
A,Rout16 original,0.0959093158705469,0.05906829985884647,0.0005653764642578273,0.0026204798609938034,2.0,50.0,0.0022080550635959276,5.53125,0.03125,0.0002394900832127858,5.0577743664594776e-05,9.539535362007629e-05,2.324104930251833e-05
A,Rout16 original,0.10636778796400607,0.06550942771549191,0.0005653715747274666,0.0026112152182563176,2.0,50.0,0.002164606296938788,5.53125,0.03125,0.00021277546635577058,2.2478327528811107e-05,9.738375222442802e-05,2.307260581555762e-05
