case,label,time,axisTau,axisKret,dt,maxRefLev,nmb_total,C-Linf,C-rho,C-z,C-norm2,H-norm2,M-norm2,Z-norm2
A,Rout16 original,0.11678926448308045,0.07192777086776056,0.0005653662431229882,0.002601878251145594,2.0,50.0,0.00207284318140144,5.53125,0.03125,0.00020631593131862947,1.9251290489921206e-05,9.465183028378716e-05,2.293129918801051e-05
A,Rout16 original,0.12717505539962665,0.07832413609749989,0.0005653604753882278,0.0025933041142670488,2.0,50.0,0.0019686963666259126,5.53125,0.0,0.00021650436807333804,3.663002062440921e-05,8.785464951959154e-05,2.2817854135769056e-05
A,Rout16 original,0.1375282140314721,0.08470040387264396,0.0005653542753145857,0.0025852072198406027,2.0,50.0,0.00244136021509909,5.5,-0.25,0.00023869526982969836,6.904797080034759e-05,7.794939182391652e-05,2.272264782147575e-05
A,Rout16 original,0.14784935621186784,0.09105695347166955,0.0005653476470084117,0.0025774464928958736,2.0,50.0,0.002917173940183719,5.5,0.0625,0.00026790280652899397,0.00011045514322011694,6.605757111989458e-05,2.2630654727502017e-05
A,Rout16 original,0.15814170790256346,0.09739577169021002,0.000565340592050844,0.0025705832069367602,2.0,50.0,0.003294923298243021,5.5,-0.0625,0.00029942493109120485,0.00015504375916290946,5.333050943002332e-05,2.2529770436519165e-05
A,Rout16 original,0.1684079700840383,0.10371852200043337,0.0005653331114005869,0.002564101133083347,2.0,50.0,0.003550754295555168,5.5,-0.0625,0.00032923770777062506,0.00019773159145835504,4.084498941843247e-05,2.2414730077239955e-05
A,Rout16 original,0.17864914265989704,0.11002582022132747,0.0005653252063636161,0.00255811700600949,2.0,50.0,0.0036853075651012827,5.5,0.0625,0.0003541694479683346,0.00023442489188245483,2.9524929514801433e-05,2.2284554703137216e-05
A,Rout16 original,0.188868526333444,0.1163196991807208,0.0005653168759978802,0.002552988542173753,2.0,50.0,0.0037059707890024704,5.5,-0.0625,0.00037194723585673504,0.00026214212656260695,2.0083837422087746e-05,2.213766868616828e-05
A,Rout16 original,0.19906929539505558,0.12260211385191876,0.000565308118545302,0.002548507509634395,2.0,50.0,0.0036250708259703487,5.5,0.0625,0.0003811668819919238,0.0002790188894765899,1.3000221055514931e-05,2.1969329125199092e-05
A,Rout16 original,0.2092524757800642,0.12887369608693586,0.0005652989335630096,0.0025442703517096826,2.0,50.0,0.003458491089263801,5.5,0.0625,0.0003812633725529967,0.0002842791440346864,8.511374365261639e-06,2.177298412260364e-05
A,Rout16 original,0.2194207374166854,0.13513609023474507,0.0005652893188739977,0.0025408419424960047,2.0,50.0,0.0032244406708726242,5.5,0.0625,0.0003724745553377634,0.0002781761620833667,6.621298866356957e-06,2.1543948855411855e-05
A,Rout16 original,0.22957725205475335,0.14139124970477915,0.0005652792710275634,0.0025381970954778186,2.0,50.0,0.0032027604008046614,5.40625,0.0,0.0003557556232435162,0.00026186798710357476,7.128120293455022e-06,2.128227340260509e-05
A,Rout16 original,0.2397245629233894,0.14764074081558415,0.0005652687868470236,0.002535966000091068,2.0,50.0,0.0031321479489732846,5.40625,0.0,0.00033263787490939335,0.0002372392553517796,9.660842969845297e-06,2.099275055054389e-05
A,Rout16 original,0.24986367267750342,0.15388518108243607,0.000565257864475275,0.0025341578104272912,2.0,50.0,0.002985960064472522,5.40625,0.0,0.0003050369570492005,0.00020667473738137325,1.3722514734853453e-05,2.0682760304060415e-05
A,Rout16 original,0.25999739814924716,0.16012630533021058,0.0005652464997601591,0.002533086133780746,2.0,50.0,0.002849345347060836,5.28125,0.0,0.00027502918794106065,0.0001727961641374781,1.87401385303841e-05,2.0359614500892126e-05
A,Rout16 original,0.27012862849155755,0.1663658929248153,0.0005652346882678708,0.0025327282951577977,2.0,50.0,0.0026688263056123414,5.28125,0.0,0.0002446642416335597,0.00013823093082491902,2.411495532122073e-05,2.0028952269228666e-05
A,Rout16 original,0.28025965209947706,0.1726053532398076,0.0005652224256465652,0.002532736411240737,2.0,50.0,0.002435043246324026,5.28125,0.0,0.0002158282755990998,0.00010542775611127248,2.927091727067536e-05,1.9694464574153288e-05
A,Rout16 original,0.2903913785510572,0.17884524646801245,0.0005652097092958178,0.002533133696568925,2.0,50.0,0.0021548208524445403,5.28125,0.0,0.00019015142099938314,7.651674093748969e-05,3.3699124066367955e-05,1.935862729893625e-05
A,Rout16 original,0.3030599176224703,0.18664750330075305,0.0005651931696110872,0.005067744032784164,1.0,44.0,0.0015450326952336838,5.125,0.0,0.00010899801947069738,2.8085127745195975e-05,8.335078012554157e-06,1.7468400761815877e-05
A,Rout16 original,0.32335223903034577,0.19914506951904504,0.000565165190186702,0.005076516855792907,1.0,44.0,0.001222337243440827,5.125,0.0,9.635042708669011e-05,1.7586496993996258e-05,8.216010855720444e-06,1.68952738215933e-05
A,Rout16 original,0.3436883068850943,0.21166957844793358,0.0005651353075672399,0.005088509502793433,1.0,44.0,0.0010525441496207046,5.1875,0.0,9.403469928777238e-05,1.7384326007459e-05,8.336895337855215e-06,1.626773429345204e-05
A,Rout16 original,0.3640736292271138,0.22422442242161397,0.0005651034950789207,0.005101611868536794,1.0,44.0,0.0011906513478134992,5.1875,-0.0625,9.442046807044964e-05,1.9703743572951764e-05,8.80352947208058e-06,1.5595088539863557e-05
A,Rout16 original,0.3845228714273933,0.23681863356903396,0.0005650697107897682,0.0051192835194818495,1.0,44.0,0.0012933513859600958,5.1875,-0.0625,9.440867487230745e-05,2.1423884926710456e-05,9.604479578305645e-06,1.4886218813590388e-05
A,Rout16 original,0.4050536157949742,0.24946304050344623,0.0005650339039208105,0.005141246768531581,1.0,44.0,0.0013492638324594957,5.1875,-0.0625,9.333512068680553e-05,2.189900993066329e-05,1.0677979289649107e-05,1.4152947044470958e-05
A,Rout16 original,0.42567983300846224,0.26216624753059814,0.0005649960255583009,0.005165427055297696,1.0,44.0,0.0013683064921741236,5.1875,0.0625,9.150931154633527e-05,2.1465914796759935e-05,1.195341483850026e-05,1.3407145100941706e-05
A,Rout16 original,0.4464041980039034,0.2749299021833976,0.0005649560451168514,0.005190982195411879,1.0,44.0,0.0013569807504944006,5.1875,-0.0625,8.942052325479597e-05,2.063631595249439e-05,1.336854479934618e-05,1.2659687093073601e-05
A,Rout16 original,0.46724039570750286,0.28776243280468156,0.0005649139090267004,0.005220350466911988,1.0,44.0,0.0013217816283786963,5.1875,-0.0625,8.741856359699742e-05,1.9776859028431865e-05,1.4874051491331791e-05,1.191937947826327e-05
A,Rout16 original,0.4882027804498134,0.3006726800232842,0.0005648695575190467,0.0052530187688758405,1.0,44.0,0.0012703685790999184,5.1875,0.0625,8.56631105013799e-05,1.9059736401018267e-05,1.6429435121566316e-05,1.1193745493869544e-05
A,Rout16 original,0.5092937861071921,0.31366214295276373,0.0005648229523866648,0.005285033579818131,1.0,44.0,0.0012101525918760997,5.1875,-0.0625,8.417302912012406e-05,1.8515486661351037e-05,1.7996891110158535e-05,1.0489807030804611e-05
A,Rout16 original,0.5305214730212435,0.3267357859335063,0.0005647740407567429,0.005320466215133633,1.0,44.0,0.0011620778639561292,5.125,-0.0625,8.288875997682317e-05,1.8100833585055873e-05,1.9539631266807118e-05,9.813142469419485e-06
A,Rout16 original,0.5518982228912173,0.3399012347502102,0.0005647227555352015,0.0053584065296500795,1.0,44.0,0.0011448403480292617,5.125,-0.0625,8.172659989991194e-05,1.77538622719804e-05,2.1020069155265883e-05,9.168154303458654e-06
A,Rout16 original,0.5734241127919713,0.35315853707349887,0.0005646690552111549,0.005395712029450148,1.0,44.0,0.0011241168271707022,5.125,-0.0625,8.061565746528583e-05,1.7428158399178576e-05,2.239901632049035e-05,8.559045796367328e-06
A,Rout16 original,0.595106986130047,0.36651252370153853,0.0005646128766587519,0.005436089819313899,1.0,44.0,0.0011003398558564643,5.125,0.0625,7.951171764019458e-05,1.7105679908827864e-05,2.3637959250286575e-05,7.989427028722805e-06
A,Rout16 original,0.6169537817802401,0.3799674683773403,0.0005645541550196246,0.005476602713234044,1.0,44.0,0.0010737675059881594,5.125,0.0625,7.839586229361214e-05,1.679345316149054e-05,2.4699593297861088e-05,7.46268478782482e-06
A,Rout16 original,0.6389633579382973,0.393522668163671,0.0005644928442240415,0.0055182290884801975,1.0,44.0,0.0010534408275096633,5.125,0.0,7.72675814513469e-05,1.6513456363961574e-05,2.5550553357816736e-05,6.982108403358258e-06
A,Rout16 original,0.6611445936386855,0.4071835917590518,0.0005644288684115048,0.005561109639036349,1.0,44.0,0.0010283421816917515,5.125,0.0,7.613867988876669e-05,1.6295217346461195e-05,2.6164485872654504e-05,6.55038342251857e-06
A,Rout16 original,0.6834941641421397,0.42094819186359855,0.0005643621838125257,0.005603517758271178,1.0,44.0,0.0010021137992785043,5.0625,0.0,7.50286721925491e-05,1.6169076795017777e-05,2.6522531012661405e-05,6.170044597344623e-06
A,Rout16 original,0.7060191372583676,0.4348208217473963,0.0005642927143620211,0.00564755402996766,1.0,44.0,0.0009976506613043527,5.0625,0.0,7.395945860210735e-05,1.6159925589926727e-05,2.6615764755475077e-05,5.843035386502232e-06
A,Rout16 original,0.728715447482211,0.44879897795495877,0.0005642204162055582,0.005690343982823652,1.0,44.0,0.000987450882195587,5.0625,0.0,7.295527474596339e-05,1.6285355430464938e-05,2.6445392221900024e-05,5.571141890216161e-06
A,Rout16 original,0.751588460428703,0.46288596548543554,0.0005641452148120532,0.005734573564690606,1.0,44.0,0.0009714464750955077,5.0625,0.0,7.204169886153818e-05,1.6554819789835616e-05,2.6023058539226226e-05,5.3558311535455556e-06
A,Rout16 original,0.7746329662192244,0.4770785761629394,0.0005640670689590337,0.005777408755128754,1.0,44.0,0.0009496558223533679,5.0625,0.0,7.124446202812771e-05,1.696761513980504e-05,2.5370321674669096e-05,5.198607909414019e-06
A,Rout16 original,0.7978533229968963,0.4913794945887641,0.0005639859051364249,0.005821086623754281,1.0,44.0,0.0009222102564830142,5.0625,0.0,7.059009716551407e-05,1.7515359308350052e-05,2.4517221567034664e-05,5.100883416246484e-06
A,Rout16 original,0.8212433034607388,0.5057848860613716,0.0005639016861122366,0.005863689859341167,1.0,44.0,0.0008893827263194786,5.0625,0.0,7.010691063127741e-05,1.8183784766133494e-05,2.3501126253696714e-05,5.064067210601817e-06
A,Rout16 original,0.844806510549534,0.5202969701596208,0.0005638143398320637,0.005906263734063903,1.0,44.0,0.0008515558432887616,5.0625,0.0,6.982343217414914e-05,1.8954598746979936e-05,2.2364159403627875e-05,5.0893441810658405e-06
A,Rout16 original,0.868536064745276,0.5349115105870909,0.0005637238327071019,0.005948412509324721,1.0,44.0,0.0008313191629988605,5.0,0.0,6.976563562210815e-05,1.9804706339279823e-05,2.115185468395594e-05,5.177509694312913e-06
A,Rout16 original,0.8924343095076523,0.5496299513372238,0.0005636300970732926,0.005989493660866937,1.0,44.0,0.0008336614354637282,5.0,0.0,6.995435136775888e-05,2.070758307865793e-05,1.990992760922871e-05,5.328788295322121e-06
A,Rout16 original,0.9164952125997762,0.56444857803791,0.0005635330978786713,0.006031013502058528,1.0,44.0,0.0008308670810224324,5.0,0.0,7.04043269381895e-05,2.1634501977264077e-05,1.868290001237639e-05,5.542629484714993e-06
A,Rout16 original,0.9407189034520417,0.5793674712180855,0.0005634327760123195,0.006070348289165054,1.0,44.0,0.0008225335943233697,5.0,0.0,7.112397631190766e-05,2.2557111109362112e-05,1.7511290823054294e-05,5.817717467142165e-06
A,Rout16 original,0.9651013217836317,0.59438413110611,0.0005633290895124586,0.006111105863697234,1.0,44.0,0.0008106742857750712,5.0,0.0625,7.21153520432795e-05,2.344890535069945e-05,1.6430418224105982e-05,6.151892536096367e-06
A,Rout16 original,0.9896390935535477,0.6094964806313821,0.0005632219941250264,0.0061485480840923565,1.0,44.0,0.0007988752059677674,5.0,0.125,7.33746099018928e-05,2.428700099061792e-05,1.546882882059313e-05,6.542229280470242e-06
A,Rout16 original,1.0143315943565214,0.6247041362362332,0.0005631114333550662,0.006187877120933825,1.0,44.0,0.0007880171219910357,5.0,-0.1875,7.489296374967471e-05,2.5053518120227375e-05,1.4647451217390958e-05,6.985156916658832e-06
A,Rout16 original,1.0391722852254397,0.6400030717597232,0.0005629973771685542,0.006223932479250278,1.0,44.0,0.0007790052905479649,5.0,-0.1875,7.665695258477573e-05,2.5736128438166724e-05,1.3979596119652951e-05,7.476383465579109e-06
A,Rout16 original,1.064163006253786,0.6553944216221879,0.0005628797569081698,0.00626133748193427,1.0,44.0,0.0007854074888945391,4.9375,-0.0625,7.865003270912997e-05,2.632868099357804e-05,1.3470706642637745e-05,8.011241976779048e-06
A,Rout16 original,1.0892951395334107,0.6708728794164774,0.0005627585527033742,0.006296431216617363,1.0,44.0,0.0007930378786279868,4.9375,0.0625,8.085168247033716e-05,2.6830260103615125e-05,1.3119439238732037e-05,8.584403792518998e-06
A,Rout16 original,1.1145717114111564,0.6864403103078872,0.0005626336885516988,0.0063319329778623356,1.0,44.0,0.0007986536138211295,4.9375,0.125,8.323953849914921e-05,2.7244759974978184e-05,1.2918176484934753e-05,9.190454826304478e-06
A,Rout16 original,1.1399837671426483,0.7020912005831466,0.0005625051465582419,0.006366039914360985,1.0,44.0,0.0007977898619120339,4.9375,0.125,8.578783900441443e-05,2.757926412850607e-05,1.2854532954158618e-05,9.823491718062063e-06
A,Rout16 original,1.165534570359622,0.7178275617141863,0.000562372847246817,0.006399694539888569,1.0,44.0,0.0007916655501007887,4.9375,0.1875,8.847028250346866e-05,2.7843346563546287e-05,1.2912451125548312e-05,1.0477809059652822e-05
A,Rout16 original,1.1912151848362402,0.7336438915495472,0.0005622367729306388,0.006432802483511894,1.0,44.0,0.0007851430705136179,4.9375,-0.1875,9.125830354907861e-05,2.8047856679048037e-05,1.3073580885367395e-05,1.1147378238112033e-05
A,Rout16 original,1.2170283173941123,0.7495418588089864,0.0005620968441547508,0.006464687922515249,1.0,44.0,0.0007718361186513348,4.9375,0.1875,9.412442394503904e-05,2.8204670786577403e-05,1.3318585583996873e-05,1.1826491233406476e-05
A,Rout16 original,1.2429664137174417,0.7655168126089595,0.0005619530357060161,0.0064967942032400266,1.0,44.0,0.0007734686220592636,4.875,0.125,9.704050335889514e-05,2.8326113936212847e-05,1.3628029295068777e-05,1.2509201433382476e-05
A,Rout16 original,1.2690309492496246,0.7815696634721253,0.0005618052721368559,0.006527002709373572,1.0,44.0,0.0007825697313136606,4.875,0.125,9.99804290219575e-05,2.8424593218399774e-05,1.3983429142644378e-05,1.3189880177515421e-05
A,Rout16 original,1.2952158264933924,0.7976966579347681,0.0005616535192839381,0.006558111747184378,1.0,44.0,0.0007828272531723766,4.875,0.125,0.0001029192229802819,2.8512523379313173e-05,1.4367769634807696e-05,1.3862851415760686e-05
A,Rout16 original,1.3215211267373106,0.8138978480789686,0.0005614977067368263,0.006586742249242419,1.0,44.0,0.0007791253554338627,4.875,-0.1875,0.00010583551235311402,2.8602235858996313e-05,1.4766189289947642e-05,1.452289751743011e-05
A,Rout16 original,1.347942510280082,0.8301705632482606,0.0005613377886500737,0.006616863681123775,1.0,44.0,0.0007903752140940188,5.0625,0.0,0.00010871082331554308,2.8705637853214532e-05,1.5166148122717119e-05,1.516510712017462e-05
A,Rout16 original,1.3744783017482092,0.8465137738276818,0.0005611737024856114,0.006644017305798375,1.0,44.0,0.0008094687788842458,5.0625,0.0,0.0001115307135096899,2.8833898457392336e-05,1.5557689407821514e-05,1.578518882442092e-05
A,Rout16 original,1.4011263694169325,0.8629261692522976,0.0005610053868814257,0.006673164590018606,1.0,44.0,0.0008224889000922748,5.0625,-0.0625,0.00011428426802381438,2.899707092611009e-05,1.5933412523392848e-05,1.637944105204732e-05
A,Rout16 original,1.4278832191439763,0.879405599964818,0.0005608327881215229,0.006698942107896547,1.0,44.0,0.0008306268574868501,5.0625,0.0625,0.00011696372278541583,2.9203773588850125e-05,1.6288362080104242e-05,1.694476465901264e-05
A,Rout16 original,1.4547486125394722,0.8959519217307516,0.0005606558303360214,0.006727131514113139,1.0,44.0,0.0008357428461192444,5.0625,0.125,0.00011956436526237584,2.94609418029187e-05,1.6619891746587574e-05,1.7478739176702924e-05
A,Rout16 original,1.4817175417631543,0.9125620529476556,0.000560474468079654,0.006751630800149799,1.0,44.0,0.0008384975327065234,5.0625,-0.125,0.00012208321893767017,2.9773503575461408e-05,1.6927300636705098e-05,1.79794537110779e-05
A,Rout16 original,1.5087910750714824,0.9292366543959275,0.0005602886145950705,0.0067785917572514625,1.0,44.0,0.0008389491071741501,5.0,0.0,0.00012451954472669332,3.014426767293977e-05,1.7211668861036102e-05,1.8445710046927163e-05
A,Rout16 original,1.5359635499374793,0.9459722414894235,0.0005600982286309377,0.00680219496703253,1.0,44.0,0.0008600537026071265,5.0,0.0,0.000126873251022728,3.05736054904607e-05,1.747540805621644e-05,1.887680100432263e-05
A,Rout16 original,1.5632367868361192,0.9627699385454616,0.0005599032170839203,0.006827958161123663,1.0,44.0,0.0008737866974527327,5.0,0.0,0.0001291457536056146,3.105957105623877e-05,1.7722097495184934e-05,1.927274231638019e-05
A,Rout16 original,1.5906047047513754,0.9796260034370862,0.0005597035437243078,0.00685074261877228,1.0,44.0,0.0008799635490683121,5.0,0.0,0.00013133832656479565,3.1597772558389565e-05,1.795602278542566e-05,1.963399377003211e-05
A,Rout16 original,1.6180696891218047,0.9965419086811765,0.0005594991127099455,0.006875385679516516,1.0,44.0,0.000879700738915785,5.0,-0.0625,0.0001334531105527581,3.218194398546409e-05,1.8182009543945247e-05,1.996161077585045e-05
A,Rout16 original,1.6456253595212131,1.013513727947322,0.0005592898954936995,0.006897376814960991,1.0,44.0,0.0008732722236850574,5.0,-0.0625,0.00013549144049992875,3.280400361096076e-05,1.84049704753779e-05,2.0256915373910616e-05
A,Rout16 original,1.673274542702031,1.0305432058038142,0.0005590757980452352,0.006920971958332949,1.0,44.0,0.0008653706504651111,5.0,0.125,0.00013745509078192842,3.345496832059407e-05,1.862977351942355e-05,2.0521606925557506e-05
A,Rout16 original,1.7010106648252936,1.0476262969995345,0.0005588568036284706,0.006942194946326527,1.0,44.0,0.00088034083818882,4.9375,0.0,0.00013934508110523535,3.4125176867935136e-05,1.8860838702608522e-05,2.0757504698889385e-05
A,Rout16 original,1.7288368824086615,1.064764949457394,0.0005586328260778573,0.006964808910094068,1.0,44.0,0.0008983499169472593,4.9375,0.0,0.00014116346660887898,3.48054203486703e-05,1.9102081487177125e-05,2.0966715892805494e-05
A,Rout16 original,1.756746521823827,1.0819550566669427,0.0005584038666384284,0.0069852884513922535,1.0,44.0,0.000908238977779751,4.9375,0.0,0.0001429128042071599,3.5487157002477175e-05,1.9356588676947994e-05,2.1151531207170365e-05
A,Rout16 original,1.784742969667013,1.0991987085128736,0.0005581698550400349,0.007006982657003926,1.0,44.0,0.000909954768277611,4.9375,0.0,0.00014459855336821482,3.6163610919499355e-05,1.9626684283020764e-05,2.1314716513136224e-05
A,Rout16 original,1.8128195347470728,1.1164917878671143,0.0005579308177721496,0.007026742832204869,1.0,44.0,0.0009036507352332503,4.9375,0.0,0.00014622965210168892,3.6829899307087806e-05,1.9913720325825264e-05,2.145968287453515e-05
A,Rout16 original,1.8409797453148367,1.1338364721180099,0.0005576867101426051,0.007047573702634013,1.0,44.0,0.0008896653085842296,4.9375,0.0,0.00014782253816659168,3.748406722192803e-05,2.0218333516227367e-05,2.1591144246602307e-05
A,Rout16 original,1.8692169645583359,1.151228677826946,0.0005574375926417213,0.007066637889235236,1.0,44.0,0.0008919972440031196,4.875,0.0,0.00014940435525152534,3.812718710435685e-05,2.0540400748982125e-05,2.1715911934133715e-05
A,Rout16 original,1.897534784399634,1.168670621855952,0.0005571834567224537,0.007086657264218443,1.0,44.0,0.0009143687280467352,4.875,0.0,0.00015101963309895774,3.876442278720293e-05,2.0879467912094224e-05,2.1844160582575743e-05
A,Rout16 original,1.9259266852065675,1.1861582931322003,0.0005569244068539441,0.007105048104342323,1.0,44.0,0.0009278918930999247,4.875,0.0,0.00015273314957545465,3.940498656327212e-05,2.123459760878602e-05,2.1990207920903142e-05
A,Rout16 original,1.954368525157756,1.2036768263360693,0.0005566607405738825,0.007111082629298808,1.0,44.0,0.0009325347155591559,4.875,0.0,0.0001546244340133459,4.006147144377125e-05,2.1603882400884535e-05,2.2171456182551242e-05
A,Rout16 original,1.982809432804283,1.2211948918465199,0.0005563930493221213,0.007109797988454422,1.0,44.0,0.0009285166151166341,4.875,0.0,0.00015676190731034561,4.0747000361142344e-05,2.1983278034503938e-05,2.2403002060560075e-05
A,Rout16 original,2.011246900624693,1.2387109491981394,0.0005561215149872289,0.0071091939536761205,1.0,44.0,0.0009162747302470203,4.875,0.0,0.00015915883571948142,4.147147550764549e-05,2.2366552811423837e-05,2.2687576374952555e-05
A,Rout16 original,2.039683671833572,1.256226692167025,0.0005558462972353034,0.007109278651819112,1.0,44.0,0.0008964019032230359,4.875,0.0,0.00016171656260676996,4.223375922327827e-05,2.274604454075988e-05,2.3003243850057263e-05
A,Rout16 original,2.068122027112178,1.2737435297291628,0.0005555675871032398,0.007109805974118012,1.0,44.0,0.0009192291074154593,4.8125,0.0,0.0001642200151993902,4.301866086970389e-05,2.3120304914249772e-05,2.3301004339261277e-05
A,Rout16 original,2.0965549925896703,1.2912571704782754,0.0005552856945640337,0.007107331456342378,1.0,44.0,0.0009372406082538893,4.8125,0.0,0.0001664547549700494,4.38060307648558e-05,2.3510479324798996e-05,2.3527108240855756e-05
A,Rout16 original,2.1249793971080435,1.3087656652897284,0.0005550009210773817,0.007105449157487098,1.0,44.0,0.0009464878089863473,4.8125,0.0,0.0001684538676201308,4.45960355877114e-05,2.397912531070504e-05,2.3672608475782543e-05
A,Rout16 original,2.1533980024556683,1.32627071956473,0.0005547135333279648,0.0071042595806930006,1.0,44.0,0.0009471724520206092,4.8125,0.0,0.00017072155196129723,4.543789797175388e-05,2.4631387515085635e-05,2.3820673014651793e-05
A,Rout16 original,2.181813107046606,1.3437737533678666,0.0005544238228766075,0.0071035170115209285,1.0,44.0,0.0009396418511057248,4.8125,0.0,0.00017416563352738523,4.643478096891163e-05,2.557640476836606e-05,2.413843418881645e-05
A,Rout16 original,2.21022402736092,1.3612743500237547,0.0005541321282819364,0.00710166295206002,1.0,44.0,0.0009243708514347929,4.8125,0.0,0.00017959256172392563,4.770256610474681e-05,2.6851976461688888e-05,2.4782925031195794e-05
A,Rout16 original,2.238623287793348,1.3787679090278993,0.0005538388700126634,0.007098792288671464,1.0,44.0,0.0009353225344917823,4.75,0.0,0.00018701541569344886,4.929457505259616e-05,2.8361818790357064e-05,2.5767997521391734e-05
A,Rout16 original,2.2670122945205184,1.3962553008738585,0.0005535443818370273,0.007096117857138007,1.0,44.0,0.0009591209908062719,4.75,0.0,0.0001953799761175702,5.114745233431402e-05,2.989932348607064e-05,2.690769330614549e-05
A,Rout16 original,2.2953827852853106,1.4137314403501753,0.0005532490936475567,0.007089810074551297,1.0,44.0,0.000973911843687921,4.75,0.0,0.00020310710103002726,5.3100488462887424e-05,3.127727066567685e-05,2.7913039268511296e-05
A,Rout16 original,2.3237228845176734,1.4311890162520895,0.0005529534596602922,0.00708220310886646,1.0,44.0,0.0009798044633931528,4.75,0.0,0.00020915475891862233,5.498997179381233e-05,3.248366988720947e-05,2.858578996122815e-05
A,Rout16 original,2.352034106499635,1.4486289653992646,0.0005526577690592628,0.007075258648662107,1.0,44.0,0.0009770706544198885,4.75,0.0,0.00021371573161203312,5.6748967383191706e-05,3.3721929707533376e-05,2.8946054757955735e-05
A,Rout16 original,2.380319385212718,1.4660530991890026,0.0005523622581932225,0.007069048015510305,1.0,44.0,0.0009661135511933165,4.75,0.0,0.0002179404768690963,5.843180994752181e-05,3.5271484519986756e-05,2.918663666484451e-05
A,Rout16 original,2.408581655037575,1.4834632293128358,0.0005520671131572463,0.007063570721189605,1.0,44.0,0.0009487004636395747,4.6875,0.0,0.00022299393733040708,6.015312102433604e-05,3.727042479955147e-05,2.951359703376776e-05
A,Rout16 original,2.436823610323295,1.5008610196412324,0.0005517724593394677,0.007058589567983662,1.0,44.0,0.0009751084050482622,4.6875,0.0,0.00022928537406451295,6.199883383043715e-05,3.960074085646042e-05,3.0019032913834227e-05
A,Rout16 original,2.465036695030407,1.518241203436713,0.0005514784633809268,0.007050170379080577,1.0,44.0,0.000992671409193582,4.6875,0.0,0.00023639601098531164,6.397716560960245e-05,4.1965976350682244e-05,3.066684862272525e-05
A,Rout16 original,2.4932179076098016,1.5356019355005326,0.0005511851446643038,0.007042473007935054,1.0,44.0,0.0010015151923355996,4.6875,0.0,0.0002435395619524713,6.603258785632961e-05,4.408262265063669e-05,3.1356079298897705e-05
A,Rout16 original,2.5213701338990853,1.5529449974175642,0.0005508923612823653,0.007035496780723314,1.0,44.0,0.0010018990589634087,4.6875,0.0,0.0002500472293030482,6.808978857056974e-05,4.581759289645733e-05,3.198668601642248e-05
A,Rout16 original,2.54949625509927,1.5702721679273812,0.0005505998621707207,0.007029240256078931,1.0,44.0,0.0009941938486129193,4.6875,0.0,0.0002555913308010453,7.008850856599885e-05,4.7189504553280746e-05,3.249587706451171e-05
A,Rout16 original,2.57759914488147,1.5875852211358854,0.0005503072800990171,0.007023701295479431,1.0,44.0,0.0009840111797041267,8.0,1.0625,0.0002601782022348037,7.199497797066604e-05,4.828305156298925e-05,3.2871349147339246e-05
