#MeshBlock 0 on rank=0 with cost=1
#  Logical level 3, location = (0 0 0)
-24 -24 -24
-16 -24 -24
-16 -16 -24
-24 -16 -24
-24 -24 -24
-24 -24 -16
-16 -24 -16
-16 -24 -24
-16 -24 -16
-16 -16 -16
-16 -16 -24
-16 -16 -16
-24 -16 -16
-24 -16 -24
-24 -16 -16
-24 -24 -16
-24 -24 -24


#MeshBlock 1 on rank=0 with cost=1
#  Logical level 3, location = (1 0 0)
-16 -24 -24
-8 -24 -24
-8 -16 -24
-16 -16 -24
-16 -24 -24
-16 -24 -16
-8 -24 -16
-8 -24 -24
-8 -24 -16
-8 -16 -16
-8 -16 -24
-8 -16 -16
-16 -16 -16
-16 -16 -24
-16 -16 -16
-16 -24 -16
-16 -24 -24


#MeshBlock 2 on rank=0 with cost=1
#  Logical level 3, location = (0 1 0)
-24 -16 -24
-16 -16 -24
-16 -8 -24
-24 -8 -24
-24 -16 -24
-24 -16 -16
-16 -16 -16
-16 -16 -24
-16 -16 -16
-16 -8 -16
-16 -8 -24
-16 -8 -16
-24 -8 -16
-24 -8 -24
-24 -8 -16
-24 -16 -16
-24 -16 -24


#MeshBlock 3 on rank=0 with cost=1
#  Logical level 3, location = (1 1 0)
-16 -16 -24
-8 -16 -24
-8 -8 -24
-16 -8 -24
-16 -16 -24
-16 -16 -16
-8 -16 -16
-8 -16 -24
-8 -16 -16
-8 -8 -16
-8 -8 -24
-8 -8 -16
-16 -8 -16
-16 -8 -24
-16 -8 -16
-16 -16 -16
-16 -16 -24


#MeshBlock 4 on rank=0 with cost=1
#  Logical level 3, location = (0 0 1)
-24 -24 -16
-16 -24 -16
-16 -16 -16
-24 -16 -16
-24 -24 -16
-24 -24 -8
-16 -24 -8
-16 -24 -16
-16 -24 -8
-16 -16 -8
-16 -16 -16
-16 -16 -8
-24 -16 -8
-24 -16 -16
-24 -16 -8
-24 -24 -8
-24 -24 -16


#MeshBlock 5 on rank=0 with cost=1
#  Logical level 3, location = (1 0 1)
-16 -24 -16
-8 -24 -16
-8 -16 -16
-16 -16 -16
-16 -24 -16
-16 -24 -8
-8 -24 -8
-8 -24 -16
-8 -24 -8
-8 -16 -8
-8 -16 -16
-8 -16 -8
-16 -16 -8
-16 -16 -16
-16 -16 -8
-16 -24 -8
-16 -24 -16


#MeshBlock 6 on rank=0 with cost=1
#  Logical level 3, location = (0 1 1)
-24 -16 -16
-16 -16 -16
-16 -8 -16
-24 -8 -16
-24 -16 -16
-24 -16 -8
