group,comparison,variable,rms,linf
L5_to_L6,P5_BLOCK-P5_STITCHED,Gamy,1.1578686292964914e-17,8.326672684688674e-17
L5_to_L6,P5_BLOCK-P5_STITCHED,Gamz,0.0,0.0
L5_to_L6,P5_BLOCK-P5_STITCHED,Theta,1.945073906679289e-18,5.551115123125783e-17
L5_to_L6,P5_BLOCK-P5_STITCHED,alpha,7.806176956588374e-17,3.3306690738754696e-16
L5_to_L6,P5_BLOCK-P5_STITCHED,betax,7.420698095689979e-18,4.163336342344337e-17
L5_to_L6,P5_BLOCK-P5_STITCHED,betay,5.693433606998281e-18,3.469446951953614e-17
L5_to_L6,P5_BLOCK-P5_STITCHED,betaz,0.0,0.0
L5_to_L6,P5_BLOCK-P5_STITCHED,Bx,3.444052479309178e-19,1.734723475976807e-18
L5_to_L6,P5_BLOCK-P5_STITCHED,By,2.078617646041082e-20,1.6263032587282567e-19
L5_to_L6,P5_BLOCK-P5_STITCHED,Bz,0.0,0.0
L5_to_L6,P5_STITCHED-P8_STITCHED,chi,8.546047477125364e-06,0.00019079465162818998
L5_to_L6,P5_STITCHED-P8_STITCHED,gxx,6.085362339174388e-06,0.00011246158019795338
L5_to_L6,P5_STITCHED-P8_STITCHED,gxy,1.5628938401802282e-05,0.00032256885250811214
L5_to_L6,P5_STITCHED-P8_STITCHED,gxz,0.0,0.0
L5_to_L6,P5_STITCHED-P8_STITCHED,gyy,1.555699099337188e-05,0.0002705750967688658
L5_to_L6,P5_STITCHED-P8_STITCHED,gyz,0.0,0.0
L5_to_L6,P5_STITCHED-P8_STITCHED,gzz,1.2763323776449587e-05,0.0002854217989557428
L5_to_L6,P5_STITCHED-P8_STITCHED,Khat,0.01557731312626419,0.3020590081044281
L5_to_L6,P5_STITCHED-P8_STITCHED,Axx,0.0020668964015492907,0.03466845083552453
L5_to_L6,P5_STITCHED-P8_STITCHED,Axy,0.003418706420691932,0.058462695691073874
L5_to_L6,P5_STITCHED-P8_STITCHED,Axz,0.0,0.0
L5_to_L6,P5_STITCHED-P8_STITCHED,Ayy,0.003796465501434675,0.06187043164158901
L5_to_L6,P5_STITCHED-P8_STITCHED,Ayz,0.0,0.0
L5_to_L6,P5_STITCHED-P8_STITCHED,Azz,0.002382314985337564,0.048480685634294085
L5_to_L6,P5_STITCHED-P8_STITCHED,Gamx,6.996639263266308e-05,0.0013513929587548879
L5_to_L6,P5_STITCHED-P8_STITCHED,Gamy,0.0004637039475377479,0.00808092400154492
L5_to_L6,P5_STITCHED-P8_STITCHED,Gamz,0.0,0.0
L5_to_L6,P5_STITCHED-P8_STITCHED,Theta,0.00438225532419293,0.06869956402178068
L5_to_L6,P5_STITCHED-P8_STITCHED,alpha,2.8101141430126864e-08,1.6319973372702634e-07
L5_to_L6,P5_STITCHED-P8_STITCHED,betax,5.3722043752735096e-05,0.0008725272608895995
L5_to_L6,P5_STITCHED-P8_STITCHED,betay,9.103460992087065e-05,0.0018136164295073053
L5_to_L6,P5_STITCHED-P8_STITCHED,betaz,0.0,0.0
L5_to_L6,P5_STITCHED-P8_STITCHED,Bx,3.576505697052137e-08,5.087680094123352e-07
L5_to_L6,P5_STITCHED-P8_STITCHED,By,3.2682757587793035e-08,5.569425142073238e-07
L5_to_L6,P5_STITCHED-P8_STITCHED,Bz,0.0,0.0
