phase,receiver_gid,sender_gid,face,ghost_depth,variable,rho,z,abs_delta,relative_delta
t0_00_ACCEPTED_OLD_STATE,24,29,outer_x2,1,chi,6.03125,-1.96875,0.0,0.0
t0_00_ACCEPTED_OLD_STATE,24,29,outer_x2,1,chi,6.09375,-1.96875,0.0,0.0
t0_00_ACCEPTED_OLD_STATE,24,29,outer_x2,1,chi,6.15625,-1.96875,0.0,0.0
t0_00_ACCEPTED_OLD_STATE,24,29,outer_x2,1,chi,6.21875,-1.96875,0.0,0.0
t0_00_ACCEPTED_OLD_STATE,24,29,outer_x2,1,chi,6.28125,-1.96875,0.0,0.0
t0_00_ACCEPTED_OLD_STATE,24,29,outer_x2,1,chi,6.34375,-1.96875,0.0,0.0
t0_00_ACCEPTED_OLD_STATE,24,29,outer_x2,1,chi,6.40625,-1.96875,0.0,0.0
t0_00_ACCEPTED_OLD_STATE,24,29,outer_x2,1,chi,6.46875,-1.96875,0.0,0.0
t3_01_MPI_RECEIVE,26,32,outer_x1,1,chi,6.015625,-1.984375,0.0,0.0
t3_01_MPI_RECEIVE,26,32,outer_x1,1,chi,6.015625,-1.953125,0.0,0.0
t3_01_MPI_RECEIVE,26,32,outer_x1,1,chi,6.015625,-1.921875,0.0,0.0
t3_01_MPI_RECEIVE,26,32,outer_x1,1,chi,6.015625,-1.890625,0.0,0.0
t3_01_MPI_RECEIVE,26,32,outer_x1,1,chi,6.015625,-1.859375,0.0,0.0
t3_01_MPI_RECEIVE,26,32,outer_x1,1,chi,6.015625,-1.828125,0.0,0.0
t3_01_MPI_RECEIVE,26,32,outer_x1,1,chi,6.015625,-1.796875,0.0,0.0
t3_01_MPI_RECEIVE,26,32,outer_x1,1,chi,6.015625,-1.765625,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.984375,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.953125,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.921875,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.890625,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.859375,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.828125,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.796875,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,26,32,outer_x1,1,chi,6.015625,-1.765625,0.0,0.0
