phase,compared_same_level_coarse_face_cells,max_abs_delta,max_relative_delta,above_roundoff_scaled_gate,roundoff_scaled_gate
t3_00_RESTRICT,2688,0.12350358680721751,0.12350358680721751,2688,2.842170943040401e-14
t3_01_MPI_RECEIVE,2688,0.0,0.0,0,2.842170943040401e-14
t3_03_SAME_LEVEL_COARSE_REFRESH,2688,0.0,0.0,0,2.842170943040401e-14
