family,valid_cells,proper_ring_integral,coordinate_ring_integral,proper_ring_volume,coordinate_ring_volume,rms,linf,linf_rho,linf_z,linf_distance_parent_meshblock_seam,finite_count,nonfinite_count,group,representation
C,6222,0.0038902571014022363,0.0014657917984096228,716.9829813264005,271.41968439450807,0.0023293498900082052,0.006563844741006744,7.890625,1.859375,0.109375,6222,0,L4_to_L5,P5_BLOCK
H,6222,0.0008795448741612342,0.0003323154835381765,716.9829813264005,271.41968439450807,0.0011075786546659763,0.004672107634574529,6.359375,-0.984375,0.359375,6222,0,L4_to_L5,P5_BLOCK
M,6222,0.0004953003123531489,0.00018684134754755476,716.9829813264005,271.41968439450807,0.0008311508959212191,0.0036881373254142053,6.453125,-0.671875,0.453125,6222,0,L4_to_L5,P5_BLOCK
Z,6222,0.000456757614200888,0.00017146588716166386,716.9829813264005,271.41968439450807,0.000798157271052533,0.002221524168265466,7.890625,1.890625,0.109375,6222,0,L4_to_L5,P5_BLOCK
C,6222,0.0033264194338664416,0.0012560797112081117,716.9829813264005,271.41968439450807,0.002153942378641503,0.006540191119753331,7.890625,1.859375,0.109375,6222,0,L4_to_L5,P5_STITCHED
H,6222,0.0008820920501259012,0.0003332719379622279,716.9829813264005,271.41968439450807,0.0011091812779117436,0.0047404759140310644,6.359375,-0.984375,0.359375,6222,0,L4_to_L5,P5_STITCHED
M,6222,0.0004939232314658415,0.00018631117940818068,716.9829813264005,271.41968439450807,0.0008299946694385219,0.0036853055556094875,6.453125,-0.671875,0.453125,6222,0,L4_to_L5,P5_STITCHED
Z,6222,0.00031550567354759925,0.00011893129379011678,716.9829813264005,271.41968439450807,0.0006633598207720173,0.0022132323041975216,7.890625,1.890625,0.109375,6222,0,L4_to_L5,P5_STITCHED
C,6222,0.003130855261380342,0.0011813003475201187,716.9829804991448,271.41968439450807,0.002089666940613065,0.005831084207693123,7.890625,1.859375,0.109375,6222,0,L4_to_L5,P8_STITCHED
H,6222,0.0008294051211577924,0.000313316380996392,716.9829804991448,271.41968439450807,0.0010755458601134915,0.004429767738704158,6.609375,0.140625,0.140625,6222,0,L4_to_L5,P8_STITCHED
M,6222,0.0004880161364676642,0.00018407996418763143,716.9829804991448,271.41968439450807,0.00082501656365654,0.0035912391264176814,6.453125,-0.671875,0.453125,6222,0,L4_to_L5,P8_STITCHED
Z,6222,0.00031497416295198457,0.00011872790376252112,716.9829804991448,271.41968439450807,0.0006628008274164229,0.002199698471850623,7.890625,1.890625,0.109375,6222,0,L4_to_L5,P8_STITCHED
C,6222,72.65135825215673,31.304374401486065,133.00810927092357,51.97239561070663,0.739065294796624,12.249057943824583,5.1328125,-0.0078125,0.0078125,6222,0,L5_to_L6,P5_BLOCK
H,6222,12.641497417267063,5.504224618785701,133.00810927092357,51.97239561070663,0.30829054121025834,9.025836895618998,5.1328125,0.0078125,0.0078125,6222,0,L5_to_L6,P5_BLOCK
M,6222,59.92770426948542,25.764694220983124,133.00810927092357,51.97239561070663,0.6712352577877949,10.283351203099992,5.0703125,-0.0078125,0.0078125,6222,0,L5_to_L6,P5_BLOCK
Z,6222,0.0046949208259948,0.002033470958668856,133.00810927092357,51.97239561070663,0.005941212367678014,0.1427645162914664,5.1171875,-0.0234375,0.0234375,6222,0,L5_to_L6,P5_BLOCK
C,6222,72.64992173724164,31.30376713834114,133.00810927092357,51.97239561070663,0.7390579880951881,12.249063416193733,5.1328125,-0.0078125,0.0078125,6222,0,L5_to_L6,P5_STITCHED
H,6222,12.641514362145639,5.50423152589844,133.00810927092357,51.97239561070663,0.30829074782913674,9.02583369059121,5.1328125,0.0078125,0.0078125,6222,0,L5_to_L6,P5_STITCHED
M,6222,59.9265576407899,25.76419751060874,133.00810927092357,51.97239561070663,0.6712288362061658,10.283434594477548,5.0703125,-0.0078125,0.0078125,6222,0,L5_to_L6,P5_STITCHED
Z,6222,0.004618213051458209,0.0020041059878474887,133.00810927092357,51.97239561070663,0.005892477354798302,0.14276717909996087,5.1171875,-0.0234375,0.0234375,6222,0,L5_to_L6,P5_STITCHED
C,6222,25.0875413635749,10.780824941010051,133.00811130008066,51.97239561070663,0.4343001581276494,5.900656015901195,5.1328125,0.0078125,0.0078125,6222,0,L5_to_L6,P8_STITCHED
H,6222,5.25117983652555,2.2841974906816205,133.00811130008066,51.97239561070663,0.19869611817412472,5.755822668384727,5.1171875,0.0078125,0.0078125,6222,0,L5_to_L6,P8_STITCHED
M,6222,19.767355027395293,8.466802680073444,133.00811130008066,51.97239561070663,0.385509618234372,5.743409211202696,5.0703125,-0.0078125,0.0078125,6222,0,L5_to_L6,P8_STITCHED
Z,6222,0.004063833447411994,0.0017631508631153528,133.00811130008066,51.97239561070663,0.005527501727097148,0.13171739821312342,5.1171875,-0.0234375,0.0234375,6222,0,L5_to_L6,P8_STITCHED
