resolution,dx_min,collapse_cycle,collapse_time,collapse_dt,previous_sample_cycle,previous_sample_time,previous_sample_dt,last_native_history_time,H_L2sq,M_L2sq,Cperp_L2sq,c_L2sq
coarse,6.25000000000000000e-02,1660,3.43161100000000019e+00,0.00000000000000000e+00,1650,3.41300999999999988e+00,2.06687299999999989e-03,3.40060833426467291e+00,5.08437948146836308e+05,8.93477128902390541e+03,3.22851536459123025e+01,1.59984184256198296e+03
medium,4.16666666666666644e-02,2200,3.02499500000000010e+00,0.00000000000000000e+00,2190,3.01810899999999993e+00,1.37734899999999993e-03,3.00020298228658211e+00,6.98695635541744764e+01,1.12923015459435394e+00,4.56195365131933789e-02,3.87447865521834611e+00
fine,3.12500000000000000e-02,2580,2.65867599999999982e+00,3.66069899999999994e-212,2570,2.65557700000000008e+00,1.03287200000000000e-03,2.60083422323737690e+00,9.80436186018700973e-01,1.33748016498924094e-02,2.97248198062307722e-04,8.41205737777662825e-03
