target_time,resolution,sample_time,region,H_L2,M_L2
0.0,coarse,0.00000000000000000e+00,all,1.72283268133592432e-01,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,lt1,1.77206266006985413e+00,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,lt2,1.72306318938770731e+00,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,r2to4,1.27566463841622131e-07,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,r4to8,8.24744131602570360e-08,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,gt8,1.97486051640340353e-05,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,if64,nan,nan
0.0,coarse,0.00000000000000000e+00,if32,3.47313840525718999e-05,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,if16,6.12472158795598146e-09,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,if8,3.56561354623448992e-08,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,if4,1.73644559867944582e-07,0.00000000000000000e+00
0.0,coarse,0.00000000000000000e+00,if2,1.98026960424688864e-07,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,all,1.93498406000575135e-01,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,lt1,1.23981055635028681e+00,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,lt2,1.22634503701072073e+00,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,r2to4,2.52185103367565184e-08,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,r4to8,2.01857398085041373e-08,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,gt8,1.60321787289176708e-05,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,if64,nan,nan
0.0,medium,0.00000000000000000e+00,if32,2.81955360953059617e-05,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,if16,1.49818288800838539e-09,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,if8,8.70868742349357387e-09,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,if4,4.24094102343309413e-08,0.00000000000000000e+00
0.0,medium,0.00000000000000000e+00,if2,3.89000030400241152e-08,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,all,1.96983817163979807e-01,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,lt1,8.84842703625702831e-01,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,lt2,8.80202059916140200e-01,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,r2to4,7.96003957156389713e-09,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,r4to8,7.41557205609173450e-09,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,gt8,1.38445360804087406e-05,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,if64,nan,nan
0.0,fine,0.00000000000000000e+00,if32,2.43481806237207410e-05,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,if16,5.50430974133445726e-10,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,if8,3.19688089014118594e-09,0.00000000000000000e+00
