target_time,resolution,sample_time,region,H_L2,M_L2
0.0,fine,0.00000000000000000e+00,if4,1.55676333223143697e-08,0.00000000000000000e+00
0.0,fine,0.00000000000000000e+00,if2,1.22844510721044233e-08,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,all,3.49633291010135017e-01,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,lt1,3.01052186058033655e+00,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,lt2,2.95155882281994586e+00,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,r2to4,3.49000097570340631e-02,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,r4to8,1.54949654756101024e-03,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,gt8,1.97814544697224303e-05,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,if64,nan,nan
1.0,coarse,1.00145308849479009e+00,if32,3.47891653632079377e-05,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,if16,8.87788025140222420e-09,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,if8,8.56882455313641443e-08,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,if4,2.60781636787915530e-03,0.00000000000000000e+00
1.0,coarse,1.00145308849479009e+00,if2,6.78224456484899096e-02,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,all,6.84005437036345088e-01,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,lt1,3.11826567136568888e+00,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,lt2,3.10174644878547801e+00,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,r2to4,2.38937614326254544e-01,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,r4to8,2.69015016396943014e-03,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,gt8,1.60646617681163094e-05,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,if64,nan,nan
1.0,medium,1.00074241839120792e+00,if32,2.82525538754617642e-05,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,if16,2.38766792966026490e-09,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,if8,2.97046349654347722e-08,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,if4,2.49529231326739681e-05,0.00000000000000000e+00
1.0,medium,1.00074241839120792e+00,if2,2.91498587929070130e-01,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,all,1.15349170084725561e+00,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,lt1,3.19954993105975083e+00,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,lt2,3.20736008962761687e+00,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,r2to4,3.17573196495412324e-01,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,r4to8,1.02768712302863611e-02,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,gt8,1.38730500159675952e-05,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,if64,nan,nan
1.0,fine,1.00038861743292307e+00,if32,2.43983372517488351e-05,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,if16,9.79712219589839273e-10,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,if8,1.60978863166790529e-08,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,if4,7.71890180454319521e-05,0.00000000000000000e+00
1.0,fine,1.00038861743292307e+00,if2,5.98873677481227440e-01,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,all,4.53873840114639160e-01,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,lt1,3.97298475807530282e+00,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,lt2,3.89273645854442085e+00,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,r2to4,1.12437880907284585e-01,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,r4to8,5.64221235764808277e-03,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,gt8,1.98274397411454730e-05,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,if64,nan,nan
2.0,coarse,2.00069317441905614e+00,if32,3.48700567280391599e-05,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,if16,1.24768107817388356e-08,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,if8,1.95053301217521978e-07,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,if4,1.15485256964366657e-02,0.00000000000000000e+00
2.0,coarse,2.00069317441905614e+00,if2,2.12246702838346873e-01,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,all,1.42979100662453895e+00,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,lt1,5.78565368612154174e+00,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,lt2,5.77432348235754311e+00,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,r2to4,5.29594983254893958e-01,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,r4to8,1.60796751448554938e-02,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,gt8,1.60986207532015309e-05,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,if64,nan,nan
2.0,medium,2.00134199331610896e+00,if32,2.83109796649877247e-05,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,if16,4.11155054008153836e-09,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,if8,9.54286961318775335e-08,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,if4,1.96916042418793599e-04,0.00000000000000000e+00
2.0,medium,2.00134199331610896e+00,if2,6.76344126682299485e-01,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,all,4.68903157088019373e+00,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,lt1,9.60385122392898616e+00,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,lt2,9.62307579720946826e+00,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,r2to4,2.74491108106437753e+00,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,r4to8,8.24537215125865086e-02,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,gt8,1.38970079510131585e-05,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,if64,nan,nan
2.0,fine,2.00063519652944999e+00,if32,2.44404972572474087e-05,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,if16,2.10322120326151657e-09,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,if8,6.57671778631769347e-08,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,if4,7.33012546425005629e-02,0.00000000000000000e+00
2.0,fine,2.00063519652944999e+00,if2,3.23844483658354332e-01,0.00000000000000000e+00
