target_time,region,norm,coarse,medium,fine,p_coarse_medium,p_medium_fine
0.0,all,H_L2,1.72283268133592432e-01,1.93498406000575135e-01,1.96983817163979807e-01,-0.286409959,-0.0620556718
0.0,all,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,lt1,H_L2,1.77206266006985413e+00,1.23981055635028681e+00,8.84842703625702831e-01,0.880928136,1.17248869
0.0,lt1,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,lt2,H_L2,1.72306318938770731e+00,1.22634503701072073e+00,8.80202059916140200e-01,0.838704473,1.15280738
0.0,lt2,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,r2to4,H_L2,1.27566463841622131e-07,2.52185103367565184e-08,7.96003957156389713e-09,3.99802405,4.00839816
0.0,r2to4,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,r4to8,H_L2,8.24744131602570360e-08,2.01857398085041373e-08,7.41557205609173450e-09,3.47135097,3.48090611
0.0,r4to8,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,gt8,H_L2,1.97486051640340353e-05,1.60321787289176708e-05,1.38445360804087406e-05,0.514187256,0.509963043
0.0,gt8,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,if64,H_L2,nan,nan,nan,nan,nan
0.0,if64,M_L2,nan,nan,nan,nan,nan
0.0,if32,H_L2,3.47313840525718999e-05,2.81955360953059617e-05,2.43481806237207410e-05,0.514175061,0.509960668
0.0,if32,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,if16,H_L2,6.12472158795598146e-09,1.49818288800838539e-09,5.50430974133445726e-10,3.4727534,3.48060161
0.0,if16,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,if8,H_L2,3.56561354623448992e-08,8.70868742349357387e-09,3.19688089014118594e-09,3.47650174,3.48351728
0.0,if8,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,if4,H_L2,1.73644559867944582e-07,4.24094102343309413e-08,1.55676333223143697e-08,3.47660044,3.48362446
0.0,if4,M_L2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,nan
0.0,if2,H_L2,1.98026960424688864e-07,3.89000030400241152e-08,1.22844510721044233e-08,4.0136841,4.00671476
