metric	value
refgh_dynamic_zone_cycles_per_s	7.06950500000000000e+05
refgh_static_zone_cycles_per_s	7.08238900000000023e+05
z4c_zone_cycles_per_s	7.02592800000000000e+06
dynamic_q_over_static_time	1.00182247554814663e+00
refgh_over_z4c_complete_time	9.93835919205092821e+00
