# mode	tau_M	R_G_M	h_M	measure	maximum	radius_M	radius_over_h
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	qdot-W-logrho	1.36607553917350577e+00	5.41265877365274123e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	qdot2-W2-logrho2	1.86616237872818491e+00	5.41265877365274123e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	dt-frame	1.07748241196556113e-01	3.78886114155691900e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	dtt-frame	5.28634795615408673e-02	2.55792274121014074e-01	4.09267638593622518e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	spin	1.36607553917350577e+00	5.41265877365274123e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	spin-derivative	5.50082974651274093e-01	3.78886114155691900e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	reference-Ricci	5.62614122872885325e+00	5.41265877365274123e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	reference-Riemann	1.87998942500033439e+00	5.41265877365274123e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-q	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-delta	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-curvature	1.12522824574577065e+01	5.41265877365274123e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-qq	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-delta-product	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-damping	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-frame-correction	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-total	1.12522824574577065e+01	5.41265877365274123e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	qdot-W-logrho	1.55663142026711743e+00	3.60843918243516082e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	qdot2-W2-logrho2	2.42310137856282282e+00	3.60843918243516082e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	dt-frame	8.32603091927298505e-02	2.52590742770461230e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	dtt-frame	5.28525185468733949e-02	2.52590742770461230e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	spin	1.55663142026711765e+00	3.60843918243516082e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	spin-derivative	3.54963719707148795e-01	2.52590742770461230e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	reference-Ricci	7.28755700210557578e+00	3.60843918243516082e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	reference-Riemann	2.43222781177137604e+00	3.60843918243516082e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-q	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-delta	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-curvature	1.45751140042111516e+01	3.60843918243516082e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-qq	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-delta-product	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-damping	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-frame-correction	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-total	1.45751140042111516e+01	3.60843918243516082e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	qdot-W-logrho	1.69167940605692024e+00	2.70632938682637061e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	qdot2-W2-logrho2	2.86177921287709403e+00	2.70632938682637061e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	dt-frame	6.51642628729453277e-02	1.89443057077845950e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	dtt-frame	5.03640390495425638e-02	1.89443057077845950e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	spin	1.69167940605691980e+00	2.70632938682637061e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	spin-derivative	3.59323076413459896e-01	8.11898816047911254e-02	2.59807621135331601e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	reference-Ricci	8.59896882670142126e+00	2.70632938682637061e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	reference-Riemann	2.86859480691216318e+00	2.70632938682637061e-02	8.66025403784438597e-01
