# mode	tau_M	R_G_M	h_M	measure	maximum	radius_M	radius_over_h
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-q	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-delta	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-curvature	1.71979376534028425e+01	2.70632938682637061e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-qq	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-delta-product	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-damping	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-frame-correction	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-total	1.71979376534028425e+01	2.70632938682637061e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	qdot-W-logrho	1.88189780412677088e+00	1.80421959121758041e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	qdot2-W2-logrho2	3.54153934517716174e+00	1.80421959121758041e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	dt-frame	4.38978349972471635e-02	1.26295371385230615e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	dtt-frame	4.24073126986541857e-02	1.26295371385230615e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	spin	1.88189780412677110e+00	1.80421959121758041e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	spin-derivative	3.66521806869309685e-01	7.43898794639880068e-02	3.57071421427142432e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	reference-Ricci	1.06336730834107609e+01	1.80421959121758041e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	reference-Riemann	3.54606686911679958e+00	1.80421959121758041e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-q	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-delta	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-curvature	2.12673461668215218e+01	1.80421959121758041e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-qq	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-delta-product	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-damping	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-frame-correction	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-total	2.12673461668215218e+01	1.80421959121758041e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	qdot-W-logrho	2.01680960672550746e+00	1.35316469341318531e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	qdot2-W2-logrho2	4.06752098978029597e+00	1.35316469341318531e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	dt-frame	3.23895887535671501e-02	9.47215285389229750e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	dtt-frame	3.57024383354308528e-02	9.47215285389229750e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	spin	2.01680960672550746e+00	1.35316469341318531e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	spin-derivative	3.63504737150691815e-01	5.57924095979910190e-02	3.57071421427142521e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	reference-Ricci	1.22093444500829200e+01	1.35316469341318531e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	reference-Riemann	4.07091173015131158e+00	1.35316469341318531e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	source-q	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	source-delta	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	source-curvature	2.44186889001658400e+01	1.35316469341318531e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	source-qq	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	source-delta-product	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	source-damping	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	source-frame-correction	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	source-total	2.44186889001658400e+01	1.35316469341318531e-02	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	qdot-W-logrho	2.34178787215447981e+00	6.76582346706592654e-03	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	qdot2-W2-logrho2	5.48397043816980556e+00	6.76582346706592654e-03	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	dt-frame	1.47650170621656581e-02	4.73607642694614875e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	dtt-frame	2.10972576274517203e-02	4.73607642694614875e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	spin	2.34178787215447981e+00	6.76582346706592654e-03	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	spin-derivative	3.35945067469336611e-01	2.78962047989955095e-02	3.57071421427142521e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	reference-Ricci	1.64552965856096236e+01	6.76582346706592654e-03	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	reference-Riemann	5.48566307371990813e+00	6.76582346706592654e-03	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	source-q	0.00000000000000000e+00	4.73607642694614875e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	source-delta	0.00000000000000000e+00	4.73607642694614875e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	source-curvature	3.29105931712192472e+01	6.76582346706592654e-03	8.66025403784438597e-01
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	source-qq	0.00000000000000000e+00	4.73607642694614875e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	source-delta-product	0.00000000000000000e+00	4.73607642694614875e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	source-damping	0.00000000000000000e+00	4.73607642694614875e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	source-frame-correction	0.00000000000000000e+00	4.73607642694614875e-02	6.06217782649107040e+00
dynamic	4.00000000000000000e+00	2.00000000000000000e+00	7.81250000000000000e-03	source-total	3.29105931712192472e+01	6.76582346706592654e-03	8.66025403784438597e-01
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	qdot-W-logrho	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	qdot2-W2-logrho2	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	dt-frame	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	dtt-frame	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	spin	7.31693488833408234e-01	2.23169638391964076e-01	3.57071421427142521e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	spin-derivative	5.50082974651274093e-01	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	reference-Ricci	2.41342445694364360e-01	3.10933574095818732e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	reference-Riemann	1.61707411690821368e-01	2.23169638391964076e-01	3.57071421427142521e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-q	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-delta	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-curvature	4.82684891388728721e-01	3.10933574095818732e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-qq	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-delta-product	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-damping	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-frame-correction	0.00000000000000000e+00	3.78886114155691900e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	6.25000000000000000e-02	source-total	4.82684891388728721e-01	3.10933574095818732e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	qdot-W-logrho	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	qdot2-W2-logrho2	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	dt-frame	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	dtt-frame	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	spin	5.85039511533339662e-01	1.48779758927976014e-01	3.57071421427142432e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	spin-derivative	3.54963719707148795e-01	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	reference-Ricci	1.62055687523715242e-01	2.07289049397212460e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	reference-Riemann	1.07323812555696452e-01	1.48779758927976014e-01	3.57071421427142432e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-q	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-delta	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-curvature	3.24111375047430483e-01	2.07289049397212460e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-qq	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-delta-product	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-damping	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-frame-correction	0.00000000000000000e+00	2.52590742770461230e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	4.16666666666666644e-02	source-total	3.24111375047430483e-01	2.07289049397212460e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	qdot-W-logrho	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	qdot2-W2-logrho2	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	dt-frame	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	dtt-frame	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	spin	5.01399623942322181e-01	1.11584819195982038e-01	3.57071421427142521e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	spin-derivative	2.58130545530899036e-01	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	reference-Ricci	1.20351075945812902e-01	1.55466787047909366e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	reference-Riemann	8.04154101391688081e-02	1.11584819195982038e-01	3.57071421427142521e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-q	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-delta	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-curvature	2.40702151891625804e-01	1.55466787047909366e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-qq	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-delta-product	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-damping	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-frame-correction	0.00000000000000000e+00	1.89443057077845950e-01	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	3.12500000000000000e-02	source-total	2.40702151891625804e-01	1.55466787047909366e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	qdot-W-logrho	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	qdot2-W2-logrho2	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	dt-frame	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	dtt-frame	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	spin	4.05519540071553719e-01	7.43898794639880068e-02	3.57071421427142432e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	spin-derivative	1.66148792908709458e-01	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	reference-Ricci	7.90207380503473444e-02	1.03644524698606230e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	reference-Riemann	5.35905664177438040e-02	7.43898794639880068e-02	3.57071421427142432e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-q	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-delta	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-curvature	1.58041476100694689e-01	1.03644524698606230e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-qq	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-delta-product	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-damping	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-frame-correction	0.00000000000000000e+00	1.26295371385230615e-01	6.06217782649106951e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	2.08333333333333322e-02	source-total	1.58041476100694689e-01	1.03644524698606230e-01	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	qdot-W-logrho	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	qdot2-W2-logrho2	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	dt-frame	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	dtt-frame	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	spin	3.49754097474192283e-01	5.57924095979910190e-02	3.57071421427142521e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	spin-derivative	1.22478810472761795e-01	9.47215285389229750e-02	6.06217782649107040e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	reference-Ricci	5.87670341355005510e-02	7.77333935239546830e-02	4.97493718553309971e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	reference-Riemann	4.01923682759455642e-02	5.57924095979910190e-02	3.57071421427142521e+00
static	4.00000000000000000e+00	2.00000000000000000e+00	1.56250000000000000e-02	source-q	0.00000000000000000e+00	9.47215285389229750e-02	6.06217782649107040e+00
