block,level,x,y,z,r,h,w,rho,alpha,K,local_rate,rate_gradient_norm,product_derivative_defect,half_ell_factorized,half_ell_direct,energy_rate_margin,frozen_spectral_abscissa
0,1,-7.75,-7.75,-7.75,13.423393758658799,0.5,0.9300961446062384,0.9993816793495988,0.9295210469531697,4.0337787765366445e-05,16.0,0.0,9.485676011762273e-08,0.00035249426815638074,0.00035258912491649836,15.999816195854756,-15.999896348495975
0,1,-4.25,-4.25,-7.25,9.41740410091868,0.5,0.9020097687330845,0.9989101906145491,0.9010267500213508,-3.3894151629164463e-06,16.0,0.0,2.0574794945952297e-06,7.709050179846281e-06,9.509995057911141e-06,15.998847051771861,-15.999738354111292
0,1,-4.25,-7.25,-5.25,9.908960591303208,0.5,0.9065161374709583,0.9988564883065245,0.905479525667436,-5.435614162995612e-06,16.0,0.0,1.5221301973968252e-06,6.949323718135648e-06,8.157531037217422e-06,15.999069392368005,-15.999706492441899
1,1,-0.25,-4.75,-4.75,6.722164829874376,0.5,0.8661724158553052,1.0012562823865223,0.8672605730050358,-0.0005254641083315221,16.0,0.0,4.1377885293370156e-06,2.927404546248527e-08,4.167047517184556e-06,15.99697282162188,-15.998706692125657
2,1,-6.75,-0.25,-7.75,10.280442597476044,0.5,0.9099651098532944,0.999171520149763,0.9092112220953622,-1.0547695647602444e-05,16.0,0.0,9.010245449082642e-07,0.0003750726642564973,0.00037548486235544333,15.999328833131816,-15.999816849215069
2,1,-4.75,-3.75,-4.75,7.693341276714559,0.5,0.8816444837691966,0.9998955129583714,0.8815523633453194,-2.5366129709703313e-05,16.0,0.0,2.83272660467454e-06,2.034690063246556e-08,2.852388770688257e-06,15.998341198235073,-15.999796708927018
3,1,-0.25,-0.25,-4.75,4.763139720814412,0.5,0.8182985586693563,1.009700867662979,0.8262367646958142,-0.002949927356167467,16.0,0.0,1.823236664283185e-05,1.3386461603508215e-05,4.845935909500712e-06,15.98707596352619,-15.993427621849154
4,1,-4.25,-7.75,-0.25,8.842369591913696,0.5,0.8963708801293764,0.9993399377434221,0.8957792195435075,-8.043573782166127e-05,16.0,0.0,1.456708658421414e-06,0.00057328851065056,0.0005718368133860389,15.998699113265832,-15.999783401392325
6,1,-5.75,-0.75,-2.75,6.417748826496718,0.5,0.8603721390355561,1.0024533918374512,0.8624829690186363,-0.0009165498686275353,16.0,0.0,7.18019130364054e-06,1.4813108197774982e-07,7.036594467649247e-06,15.995973339428518,-15.997924088566641
7,2,-3.625,-3.625,-2.125,5.549493220105778,0.25,0.841026546504144,1.0056633759281208,0.8457895960025261,-0.001114280902195624,16.0,0.0,9.976713101737333e-06,1.3479545343974019e-05,2.345624623202815e-05,15.994130261428278,-15.997317258751476
8,2,-0.125,-2.375,-2.375,3.361082414937188,0.25,0.7567666686177885,1.0317860222774446,0.7808212708053012,-0.00897697043427025,16.0,0.0,2.0000350849533123e-05,5.317109066032555e-07,1.9468788126523923e-05,15.963298008689105,-15.979225819456985
9,2,-2.375,-1.125,-2.625,3.7144144895259066,0.25,0.7756865073063677,1.0244174374867991,0.7946267841078745,-0.007096852163537533,16.0,0.0,1.812833447925306e-05,6.668927970587978e-07,1.746395057110867e-05,15.972756713806314,-15.983906154134665
10,2,-0.125,-0.125,-2.375,2.381569860407206,0.25,0.6840406968836492,1.0643276304647409,0.7280434140556244,-0.013688393261433493,16.0,0.0,4.0200801637443914e-05,1.2873802771351376e-05,2.732714127794104e-05,15.911822364357652,-15.964711063743428
11,2,-3.375,-2.625,-0.375,4.292071178347349,0.25,0.8011901193873775,1.0160788205933078,0.814072311578138,-0.004716749836619202,16.0,0.0,2.4293091948201975e-05,3.9090638353359584e-06,2.7870435266495846e-05,15.982068808191098,-15.989535843991073
13,2,-2.625,-0.625,-1.375,3.0285103598964294,0.25,0.7360083609653246,1.0400484809587562,0.7654843777949298,-0.01033687565594328,16.0,0.0,3.06917476045305e-05,3.3739914526719505e-06,2.732138053464064e-05,15.952161694491483,-15.975276115657149
14,3,-1.0625,-1.9375,-1.0625,2.451880655741629,0.125,0.690613321088336,1.061153884132203,0.732847008106328,-0.013439712593122459,16.0,0.0,2.8352806009794967e-05,5.224854634801798e-05,8.041622229385472e-05,15.92927801285587,-15.965682494750943
15,3,-0.0625,-1.0625,-1.3125,1.6898132293244719,0.125,0.6004464098928544,1.1086317265336734,0.6656739400904609,-0.014698928273086252,16.0,0.0,1.4208502912792614e-05,9.347372585660523e-07,1.3288778388976134e-05,15.869663883232858,-15.916206386420498
16,3,-1.0625,-0.8125,-1.3125,1.8739580438206187,0.125,0.6267613131196946,1.093895869235025,0.685611611417954,-0.014860632582814705,16.0,0.0,1.2293645194010932e-05,9.357977484405271e-07,1.1375759372415838e-05,15.895140547195686,-15.933684113540629
17,3,-0.0625,-0.0625,-1.1875,1.190784930203603,0.125,0.5055754883990844,1.1705834686714087,0.5918183088854417,-0.010647225452336569,16.0,0.0,7.092649418226837e-06,2.23936257846289e-06,9.318368601198608e-06,15.76825002616467,-15.842502629285615
18,3,-1.6875,-1.4375,-0.1875,2.2246839663197107,0.125,0.6682791266500769,1.0722822037010242,0.7165838146117404,-0.014460564233923442,16.0,0.0,2.7156271059379192e-05,5.2437360117589286e-06,3.175859224354499e-05,15.914124783114238,-15.957515010825317
