#MeshBlock 0 on rank=0 with cost=1
#  Logical level 2, location = (0 0 0)
-128 -128 -128
-64 -128 -128
-64 -64 -128
-128 -64 -128
-128 -128 -128
-128 -128 -64
-64 -128 -64
-64 -128 -128
-64 -128 -64
-64 -64 -64
-64 -64 -128
-64 -64 -64
-128 -64 -64
-128 -64 -128
-128 -64 -64
-128 -128 -64
-128 -128 -128


#MeshBlock 1 on rank=0 with cost=1
#  Logical level 2, location = (1 0 0)
-64 -128 -128
0 -128 -128
0 -64 -128
-64 -64 -128
-64 -128 -128
-64 -128 -64
0 -128 -64
0 -128 -128
0 -128 -64
0 -64 -64
0 -64 -128
0 -64 -64
-64 -64 -64
-64 -64 -128
-64 -64 -64
-64 -128 -64
-64 -128 -128


#MeshBlock 2 on rank=0 with cost=1
#  Logical level 2, location = (0 1 0)
-128 -64 -128
-64 -64 -128
-64 0 -128
-128 0 -128
-128 -64 -128
-128 -64 -64
-64 -64 -64
-64 -64 -128
-64 -64 -64
-64 0 -64
-64 0 -128
-64 0 -64
-128 0 -64
-128 0 -128
-128 0 -64
-128 -64 -64
-128 -64 -128


#MeshBlock 3 on rank=0 with cost=1
#  Logical level 2, location = (1 1 0)
-64 -64 -128
0 -64 -128
0 0 -128
-64 0 -128
-64 -64 -128
-64 -64 -64
0 -64 -64
0 -64 -128
0 -64 -64
0 0 -64
0 0 -128
0 0 -64
-64 0 -64
-64 0 -128
-64 0 -64
-64 -64 -64
-64 -64 -128


#MeshBlock 4 on rank=0 with cost=1
#  Logical level 2, location = (0 0 1)
-128 -128 -64
-64 -128 -64
-64 -64 -64
-128 -64 -64
-128 -128 -64
-128 -128 0
-64 -128 0
-64 -128 -64
-64 -128 0
-64 -64 0
-64 -64 -64
-64 -64 0
-128 -64 0
-128 -64 -64
-128 -64 0
-128 -128 0
-128 -128 -64


#MeshBlock 5 on rank=0 with cost=1
#  Logical level 2, location = (1 0 1)
-64 -128 -64
0 -128 -64
0 -64 -64
-64 -64 -64
-64 -128 -64
-64 -128 0
0 -128 0
0 -128 -64
0 -128 0
0 -64 0
0 -64 -64
0 -64 0
-64 -64 0
-64 -64 -64
-64 -64 0
-64 -128 0
-64 -128 -64


#MeshBlock 6 on rank=0 with cost=1
#  Logical level 2, location = (0 1 1)
-128 -64 -64
-64 -64 -64
-64 0 -64
-128 0 -64
-128 -64 -64
-128 -64 0
-64 -64 0
-64 -64 -64
-64 -64 0
-64 0 0
-64 0 -64
-64 0 0
-128 0 0
-128 0 -64
-128 0 0
-128 -64 0
-128 -64 -64


