resolution,time,axisTau,dt,C-norm2,H-norm2,M-norm2,Z-norm2,axisKret,maxAbsKret,max_abs_K,nmb_total,maxRefLev,axisLapse
n128,0.0,0.0,0.010823312937405826,0.1305083885462906,0.1297873911159934,0.0,0.00018024935757430345,0.000565373933538557,95.15344528541235,0.0,32.0,0.0,0.6158765633256535
n128,0.026973719119913555,0.016612481431690786,0.005375004924462099,0.09125632282288243,0.06898234315855362,0.0001850047028979387,0.005519326302731523,0.0005654303528825037,104.88505667565904,0.025996808411454343,50.0,2.0,0.6158765633239051
n128,0.04838516080371319,0.02979928655183264,0.005339693918142037,0.08715869665401285,0.06435256560098304,0.0009497171338685966,0.00545472315735996,0.000565425760243765,104.06226939072758,0.046781111885484034,50.0,2.0,0.6158765633411304
n128,0.06963968257991751,0.04288944837958393,0.005298866709897852,0.08050473753959683,0.05678816851103937,0.0022291759326950704,0.005352277744964034,0.0005654183324494585,102.71293181390723,0.06716221714405796,50.0,2.0,0.6158765634289898
n128,0.09073899979421875,0.05588402335834173,0.005259185140443019,0.07221396725713547,0.04732851481419652,0.003863051669962477,0.005222865313699386,0.0005654081764075651,100.8928746813432,0.08703639342832034,50.0,2.0,0.6158765636586471
n128,0.1116797472071714,0.0687809389198626,0.005221687009920401,0.0633334066071013,0.03715519584119546,0.005664195255804961,0.005080561412570029,0.0005653954153426046,98.66183224395786,0.10629945681523587,50.0,2.0,0.6158765641232823
n128,0.13248331376832062,0.08159336802283974,0.005187758629106487,0.05481699397802334,0.027371562604147175,0.0074481080261218705,0.004935109202191075,0.0005653801659245761,96.08060229990372,0.12487443981644888,50.0,2.0,0.6158765649371278
n128,0.15315299427158036,0.0943233398620223,0.005156117473930231,0.04740462264710832,0.018873634114652413,0.009050849203678246,0.004789391631097805,0.0005653625603170211,93.21737437458395,0.14267368968009803,50.0,2.0,0.6158765662333195
n128,0.1737137045298852,0.10698619951391468,0.00513145974139332,0.04158119952895955,0.01227395272528237,0.010346117281149021,0.004643841645856971,0.0005653427145071938,90.14140952461709,0.15963691707107425,50.0,2.0,0.615876568164922
n128,0.194188117755589,0.11959591089314126,0.005110500992876403,0.03761476540421563,0.007914124341165448,0.011249609621944049,0.004501710122192976,0.0005653207416898188,86.92096339821273,0.17571220338002383,50.0,2.0,0.6158765709045673
n128,0.21458386567925675,0.1321571742217457,0.005092812226920972,0.03557795351231262,0.005880890865144192,0.011719929023812716,0.004370168984014777,0.0005652967680920647,83.6199083980575,0.1908494988373773,50.0,2.0,0.6158765746419788
n128,0.23492474775215633,0.1446846470461932,0.005081428564441222,0.03534969192993302,0.006023691679730972,0.011756687300617942,0.0042567964781512245,0.0005652708980144103,80.7434213356942,0.20502601290691097,50.0,2.0,0.6158765795887764
n128,0.2552349970869142,0.15719325399947479,0.005075958264383697,0.036637462214947375,0.008003828109085894,0.011392803456823558,0.00416480731437467,0.0005652432269685839,78.07405811833667,0.21823229723189247,50.0,2.0,0.6158765859788986
n128,0.2755300922014874,0.169692527969917,0.005072408530290193,0.03902982473807147,0.011360221353795462,0.010686741674642893,0.004091723030246658,0.0005652138543420808,75.34033764069989,0.23046555986758704,50.0,2.0,0.6158765940666887
n128,0.29581977766913037,0.18218847044911382,0.005073103098891185,0.04207970793860989,0.015589356510758427,0.009714732770105743,0.004032196516349992,0.0005651828810888669,72.71706495876879,0.24173176599566779,50.0,2.0,0.6158766041264894
n128,0.3211958685842119,0.19781701134123972,0.010170887000948172,0.034193288621192176,0.014320836587438298,0.005038803949039239,0.003531087612352764,0.000565142044545909,69.18135418226997,0.2550107442830464,44.0,1.0,0.6158766199328497
n128,0.361953763001151,0.222918846252131,0.010205496406647231,0.03768719875730102,0.019733208384752517,0.003856387813710272,0.003334470404038853,0.0005650720345900239,63.038370148989,0.27342747252881006,44.0,1.0,0.6158766542930988
n128,0.4029433048915606,0.2481633491114707,0.010276838110417713,0.039483819202320684,0.023114455706999687,0.0032382471565179875,0.003077000471260618,0.0005649967341680543,56.788437659810846,0.2882637679456503,44.0,1.0,0.615876702470909
n128,0.44430066168337057,0.27363438293135045,0.010380634543613888,0.03929281433034694,0.02397941486780895,0.0032139343719787042,0.002797791058587884,0.0005649162982306634,50.46970262582418,0.2995678724293534,44.0,1.0,0.6158767680741991
n128,0.48612130232951023,0.29939074568059537,0.01049679489207428,0.0370599675680449,0.022278571415654046,0.0036735884888656986,0.0025226988238259717,0.000564830674414824,44.14294376269223,0.3073800292708534,44.0,1.0,0.6158768553082968
n128,0.5284192966383602,0.32544110371202767,0.010624572467644023,0.03300912271264802,0.01846027374651456,0.004419067240821469,0.0022465055760097874,0.000564739665447879,37.89827995984484,0.31174381233611387,44.0,1.0,0.6158769688721444
n128,0.5712939437459774,0.351846614423707,0.010778090036156844,0.027839678258635057,0.013515575611030074,0.005224107403025303,0.0019554994122725454,0.0005646425430821722,31.821178736718252,0.312733190975932,44.0,1.0,0.6158771144136788
n128,0.6148050835623011,0.37864413352800025,0.010934240926958853,0.022696555984225878,0.008730180047392733,0.005878836135269342,0.0016702795874820814,0.0005645382734411519,26.00574432701086,0.3104259928089759,44.0,1.0,0.6158772983869719
n128,0.658949069755913,0.4058314173918066,0.011099871914611327,0.018666431315825623,0.005224638916447453,0.00623085018677562,0.0014237923215986493,0.0005644255983232397,20.556378758321397,0.30491695287938797,44.0,1.0,0.6158775278983187
n128,0.7037955421014684,0.43345135808351215,0.011275076261023921,0.01627431892922128,0.0035570059351371693,0.0062128644330747464,0.0012270346075499506,0.000564302737974561,15.570157770913637,0.29630124944336045,44.0,1.0,0.6158778114355558
n128,0.7493144436089831,0.46148544718737156,0.011445268264283976,0.015524224804938156,0.0037268322010987885,0.005847282591437069,0.0010766785713170908,0.0005641679272525386,11.15226123379648,0.28486050262341495,44.0,1.0,0.6158781580144771
n128,0.7955477795417808,0.48995955841342986,0.011621490664297313,0.016036594154348632,0.0052732482302287435,0.005227450465518894,0.0009694376898060877,0.0005640190796093289,10.994686969060073,0.27273297594926477,44.0,1.0,0.6158785783158068
