axisTau,field,n128,n256,n512,E_128_256,E_256_512,Q,p
0.0,C-norm2,0.1305083885462906,0.0006854074319407438,2.9331766164378906e-06,0.12982298111434987,0.0006824742553243058,190.22399761095622,7.5715554499080895
0.003849449455583227,C-norm2,0.12141288745268233,0.0007488093953827644,3.24975840274973e-06,0.12066407805729956,0.0007455596369800147,161.8436300361765,7.338456773758214
0.007698898911166454,C-norm2,0.11231738635907405,0.000812211358824785,3.5383465234885563e-06,0.11150517500024927,0.0008086730123012964,137.8866034899957,7.1073384869646254
0.011548348366749681,C-norm2,0.10322188526546579,0.0008756133222668056,4.7591379763385044e-06,0.10234627194319898,0.0008708541842904671,117.52400549879212,6.8768116621121065
0.015397797822332908,C-norm2,0.09412638417185751,0.0008868711364475929,4.381210148668482e-06,0.09323951303540992,0.0008824899262989245,105.6550451815889,6.723217849472308
0.019247247277916137,C-norm2,0.09043760400646143,0.0008546263139665057,3.770950029387033e-06,0.08958297769249493,0.0008508553639371187,105.28578826602478,6.718166900764639
0.023096696733499362,C-norm2,0.08924143824218199,0.0008069664818565913,3.074270451458748e-06,0.0884344717603254,0.0008038922114051325,110.0078723312293,6.781462958677746
0.026946146189082587,C-norm2,0.08804527247790254,0.0007547057900331595,2.408924884530975e-06,0.08729056668786939,0.0007522968651486285,116.03207554324145,6.858379864355929
0.030795595644665816,C-norm2,0.08665225524738497,0.0006918578503034306,1.8836341807203432e-06,0.08596039739708154,0.0006899742161227102,124.5849415651116,6.960985891826805
0.034645045100249044,C-norm2,0.08469551249450627,0.0006273782013322989,1.580507909188235e-06,0.08406813429317397,0.0006257976934231106,134.33755856996157,7.069718904720458
0.03849449455583227,C-norm2,0.08273876974162757,0.000560564811765983,1.5752949879865034e-06,0.08217820492986158,0.0005589895167779966,147.0120681395511,7.199790779737374
0.042343944011415495,C-norm2,0.08078202698874887,0.0004966874943499087,1.8298748734131167e-06,0.08028533949439896,0.0004948576194764955,162.23927112475695,7.341979265799495
0.046193393466998724,C-norm2,0.07839676172735205,0.00043422028349973614,2.2891969437663696e-06,0.07796254144385231,0.0004319310865559698,180.49763925419595,7.495836157864806
