selection_rank,gid,i,j,rho,z,variable,value
1,30,8,31,5.1328125,-0.0078125,Gamma_x,0.13843150689232497
1,30,8,31,5.1328125,-0.0078125,Gamma_y,-0.006421981876435704
1,30,8,31,5.1328125,-0.0078125,Gamma_z,0.0
1,30,8,31,5.1328125,-0.0078125,Theta,-0.3082776435763329
2,51,8,0,5.1328125,0.0078125,Gamma_x,0.13842499349981674
2,51,8,0,5.1328125,0.0078125,Gamma_y,0.006789677233092896
2,51,8,0,5.1328125,0.0078125,Gamma_z,0.0
2,51,8,0,5.1328125,0.0078125,Theta,-0.30484143474710396
3,30,6,30,5.1015625,-0.0234375,Gamma_x,0.06061275587342129
3,30,6,30,5.1015625,-0.0234375,Gamma_y,-0.048539935514065276
3,30,6,30,5.1015625,-0.0234375,Gamma_z,0.0
3,30,6,30,5.1015625,-0.0234375,Theta,-0.12270142123534886
4,51,6,1,5.1015625,0.0234375,Gamma_x,0.060661066264921744
4,51,6,1,5.1015625,0.0234375,Gamma_y,0.04878597384181491
4,51,6,1,5.1015625,0.0234375,Gamma_z,0.0
4,51,6,1,5.1015625,0.0234375,Theta,-0.11966884677544953
5,30,4,31,5.0703125,-0.0078125,Gamma_x,-0.007023728578264829
5,30,4,31,5.0703125,-0.0078125,Gamma_y,-0.0206974064948322
5,30,4,31,5.0703125,-0.0078125,Gamma_z,0.0
5,30,4,31,5.0703125,-0.0078125,Theta,0.031813056773809
6,51,4,0,5.0703125,0.0078125,Gamma_x,-0.006938358599351607
6,51,4,0,5.0703125,0.0078125,Gamma_y,0.020837088218334347
6,51,4,0,5.0703125,0.0078125,Gamma_z,0.0
6,51,4,0,5.0703125,0.0078125,Theta,0.03163525493303775
7,30,7,31,5.1171875,-0.0078125,Gamma_x,0.09785162898668266
7,30,7,31,5.1171875,-0.0078125,Gamma_y,0.0024019726952024707
7,30,7,31,5.1171875,-0.0078125,Gamma_z,0.0
7,30,7,31,5.1171875,-0.0078125,Theta,-0.43705703943132046
8,51,7,0,5.1171875,0.0078125,Gamma_x,0.09784155376338982
8,51,7,0,5.1171875,0.0078125,Gamma_y,-0.001994757898003471
8,51,7,0,5.1171875,0.0078125,Gamma_z,0.0
8,51,7,0,5.1171875,0.0078125,Theta,-0.4335555226487524
9,30,9,30,5.1484375,-0.0234375,Gamma_x,0.16671782488567588
9,30,9,30,5.1484375,-0.0234375,Gamma_y,-0.060225984370419434
9,30,9,30,5.1484375,-0.0234375,Gamma_z,0.0
9,30,9,30,5.1484375,-0.0234375,Theta,-0.02770925661926915
10,51,9,1,5.1484375,0.0234375,Gamma_x,0.16666519637867025
10,51,9,1,5.1484375,0.0234375,Gamma_y,0.06045553458686251
10,51,9,1,5.1484375,0.0234375,Gamma_z,0.0
10,51,9,1,5.1484375,0.0234375,Theta,-0.025092426764540317
11,30,7,30,5.1171875,-0.0234375,Gamma_x,0.09721483093225283
11,30,7,30,5.1171875,-0.0234375,Gamma_y,-0.046805867419069516
11,30,7,30,5.1171875,-0.0234375,Gamma_z,0.0
11,30,7,30,5.1171875,-0.0234375,Theta,-0.1632612934510393
12,51,7,1,5.1171875,0.0234375,Gamma_x,0.097209720728352
12,51,7,1,5.1171875,0.0234375,Gamma_y,0.04707966124346182
12,51,7,1,5.1171875,0.0234375,Gamma_z,0.0
12,51,7,1,5.1171875,0.0234375,Theta,-0.15904387856045532
