case	target	time	xi	xi_dot	xi_ddot	e_G	e_alpha	Delta_q_kind	Delta_q	GH_RMS	reduction_RMS	curl_RMS	condition	rel_lapse_min	rel_lapse_max	v2_max
prescribed_fixed_core	0.0	0.0	0.0	0.0	0.0	0.0	0.0	minus_eG_over_2_proxy	-0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
prescribed_fixed_core	0.2	0.2027770168412347	0.02534712710515434	0.125	0.0	8.49552628958539e-05	0.0001273227316726344	minus_eG_over_2_proxy	-4.247763144792695e-05	9.528706716246084e-08	9.377489430320924e-10	1.3632174244036966e-07	1.001570038279494	1.000000003158299	1.000238776859747	2.213409286017232e-10
prescribed_fixed_core	0.5	0.5007295609230548	0.06259119511538185	0.125	0.0	0.0006233368858228846	0.0009323207221553458	minus_eG_over_2_proxy	-0.0003116684429114423	1.3867264703426956e-06	3.8723016600280094e-08	2.565984541921059e-06	1.00953188062591	1.000000015299279	1.001995459965263	5.134136554486318e-08
prescribed_fixed_core	1.0	1.001391074458855	0.1251738843073568	0.125	0.0	0.003485154698973696	0.00521555957942606	minus_eG_over_2_proxy	-0.001742577349486848	1.2473690562903468e-05	7.776706066657978e-07	2.8000751500964088e-05	1.037628756730339	1.000000030236072	1.012176608045644	3.320399990815765e-06
prescribed_fixed_core	2.0	2.001918876259942	0.2502398595324927	0.125	0.0	0.02475449318589053	0.03762113389292357	minus_eG_over_2_proxy	-0.012377246592945266	0.00010620629004019571	1.751301981271281e-05	0.00031053086411791047	1.219475247767169	0.99999914615141	1.087894744809284	0.0002007787761382885
prescribed_fixed_core	3.0	3.000161459321784	0.3750201824152229	0.125	0.0	0.08316220654063988	0.1296088002587872	minus_eG_over_2_proxy	-0.04158110327031994	0.00041356951489463807	0.00012824465210371956	0.0016197380034213198	1.809367716663401	0.9999777518248565	1.286126490605038	0.001968439782515791
prescribed_fixed_core	4.0	4.0	0.5	0.125	0.0	0.1855699435792141	0.2986916247912325	minus_eG_over_2_proxy	-0.09278497178960705	0.0024821744972174033	0.0006697452628027469	0.00798434195986558	3.660741242901822	0.9999052336822483	1.606643297550715	0.03941405228857957
prescribed_fixed_core	4.2	4.20084532838386	0.5251056660479825	0.125	0.0	0.208978232237622	0.3386737126519138	minus_eG_over_2_proxy	-0.104489116118811	0.004148586248244972	0.0009825360945736313	0.012813007831987135	4.436741945456227	0.9998806608581157	1.668475692513258	0.07394463547101875
prescribed_fixed_core	4.5	4.503957873151315	0.5629947341439143	0.125	0.0	0.2434575549536787	0.3985737221094446	minus_eG_over_2_proxy	-0.12172877747683936	0.010231030197411135	0.0020548168982377287	0.02985946050447642	6.179690925098141	0.9998355914407833	1.776512440451017	0.1899940849358122
prescribed_fixed_core	4.8	4.802607747943973	0.6003259684929967	0.125	0.0	0.2741893068998751	0.4533956366948415	minus_eG_over_2_proxy	-0.13709465344993754	0.028953213587939796	0.004978000320956103	0.07274728073373869	9.030863758323887	0.9997811798751259	1.932188625731688	0.5347935109764195
