axis_tau,region,family,variable,observed_order_rms,difference_128_256_rms,difference_256_512_rms,worst_rho,worst_z,N128_value,N256_value,N512_value,worst_abs_difference_256_512
0.25,outer_layer_1,constraints,con_C,-0.37566167048528426,2.2291348668640685e-10,2.8921564081154946e-10,15.875,0.0,6.46345664188999e-09,7.112827454390064e-09,6.318754041290081e-09,7.94073413099983e-10
0.25,outer_layer_1,constraints,con_Mx,-0.3720366677633796,8.189334532407493e-07,1.0598461066946714e-06,15.875,0.0,4.051845060803655e-05,4.281881539171218e-05,3.9986435503990787e-05,2.832379887721394e-06
0.25,outer_layer_1,rhs,rhs_z4c_Axy,-0.2501616607933049,3.122691824583954e-07,3.713943477348229e-07,15.875,-15.625,6.918350205453843e-06,7.5997424798669694e-06,8.544658759743173e-06,9.449162798762034e-07
0.5,outer_layer_0,rhs,rhs_z4c_Theta,-0.23385401594594174,6.266697866414887e-07,7.369462786768302e-07,16.0,0.0,8.661153582664538e-06,7.12336664954156e-06,5.302397423094445e-06,1.8209692264471148e-06
0.5,outer_layer_1,rhs,rhs_z4c_Ayy,-2.041960665432329,1.896604805626308e-07,7.810309731080693e-07,15.875,0.0,1.6528795516586627e-05,1.6245550027230828e-05,1.772725670256758e-05,1.4817066753367527e-06
0.5,outer_layer_1,rhs,rhs_z4c_Axx,-1.8788575627136386,2.709869184360917e-07,9.966457297236642e-07,15.875,0.0,-3.359008158757595e-05,-3.279796154122703e-05,-3.5650872240041146e-05,2.8529106988141163e-06
0.5,outer_layer_1,state,state_z4c_Ayy,-1.8586724212939276,1.1612695231511778e-07,4.2116199992288935e-07,0.0,15.875,-3.0254564623098803e-05,-3.0047822207225202e-05,-3.0816785012757216e-05,7.68962805532014e-07
0.5,outer_layer_1,state,state_z4c_Axx,-1.5044088302367895,1.876721781493091e-07,5.324417205392037e-07,15.875,0.0,-4.209447174657668e-05,-4.150968567157554e-05,-4.3014649738011e-05,1.5049640664354587e-06
0.5,outer_layer_1,rhs,rhs_z4c_Azz,-1.460859099255087,2.0006547602273078e-07,5.507247064211015e-07,15.875,0.0,1.7054538347354864e-05,1.6545868453943526e-05,1.7916792639904402e-05,1.3709241859608757e-06
0.5,outer_layer_1,state,state_z4c_Azz,-1.42888662712326,1.1081494553660602e-07,2.983568906796928e-07,15.875,0.0,2.1123644153189438e-05,2.0797870147405946e-05,2.1533925697231768e-05,7.360555498258216e-07
