axis_tau,variable,N128,N256,N512,difference_128_256,difference_256_512,observed_order
0.5,time,0.811850627149205,0.8118505857043254,0.8118505357146671,4.144487952828513e-08,4.9989658301718976e-08,-0.27043579642636845
0.5,dt,0.011671433334459885,0.005846246325211353,0.002925768413018834,0.005825187009248532,0.002920477912192519,0.9960998925562236
0.5,C-norm2,0.007000164601084469,0.0027748186279621997,0.002701411838337367,0.0042253459731222695,7.340678962483279e-05,5.847012155846988
0.5,H-norm2,0.003077896170024616,0.0024075454245647758,0.0020980793288331925,0.0006703507454598402,0.00030946609573158325,1.1151347894654522
0.5,M-norm2,0.0032939197356541415,0.0002762378355480055,0.0003031024864543216,0.003017681900106136,2.686465090631613e-05,6.811587835266377
0.5,Z-norm2,0.00014303322953534444,1.2404976220608559e-05,5.640465495323844e-05,0.00013062825331473587,4.399967873262988e-05,1.569902073219357
0.5,Mx-norm2,0.0034745078693559166,0.0004682319000712339,0.0005310483241164376,0.0030062759692846826,6.281642404520367e-05,5.580691824296023
0.5,My-norm2,0.00248876106703215,5.458552795208801e-05,4.377550868911519e-05,0.002434175539080062,1.0810019262972822e-05,7.814920306755153
0.5,Mz-norm2,0.0,0.0,0.0,0.0,0.0,
0.5,Theta-norm,5.621577726433364e-05,4.141546296698435e-05,7.461140323689917e-05,1.480031429734929e-05,3.319594026991482e-05,-1.1653790035102378
0.5,Volume,47761.000491055784,47761.36309402636,47761.504828692065,0.3626029705774272,0.1417346657035523,1.355198086020864
0.5,max_abs_K,0.25839484528982837,0.25712867259694533,0.2570923760464732,0.0012661726928830386,3.629655047210356e-05,5.124497931844343
0.5,nmb_total,32.0,32.0,32.0,0.0,0.0,
0.5,maxAbsKret,11.774506357213763,11.86226390825629,12.036079737769237,0.08775755104252703,0.1738158295129466,-0.9859643036015506
0.5,maxRefLev,0.0,0.0,0.0,0.0,0.0,
0.5,maxNmbRank,32.0,32.0,32.0,0.0,0.0,
0.5,ahStatus,0.0,0.0,0.0,0.0,0.0,
0.5,ahLastCyc,-1.0,-1.0,-1.0,0.0,0.0,
0.5,cycle,76.42980336196696,152.88579204155312,305.7639628445292,76.45598867958616,152.8781708029761,-0.9996810063930074
0.5,axisLapse,0.61587859759481,0.6158786759656737,0.6158791678622428,7.837086368756019e-08,4.918965691436128e-07,-2.649965691191419
0.5,axisTau,0.5,0.5,0.5,0.0,0.0,
0.5,axisKret,0.0005566253415128193,0.000549972563953407,0.000684280375263382,6.65277755941226e-06,0.000134307811309975,-4.335442606836479
0.5,ax-C2,5.720201337964766e-05,8.860187856797818e-05,0.0004512494763620633,3.139986518833051e-05,0.00036264759779408513,-3.5297380222153447
0.5,ax-H2,5.6664519741012196e-05,8.081820716302512e-05,0.00036473010056381423,2.4153687422012926e-05,0.0002839118934007891,-3.5551279265228564
0.5,ax-M2,1.1685913123197352e-07,4.5509155737886795e-06,6.196995144547079e-05,4.434056442556706e-06,5.741903587168211e-05,-3.694830066350777
0.5,ax-Z2,3.764756469939373e-08,5.472459238096223e-07,4.871613063588844e-06,5.095983591102286e-07,4.324367139779222e-06,-3.0850564761337087
0.5,ax-N,1285.0,2565.0,5125.0,1280.0,2560.0,-1.0
0.5,off-C2,0.006998956657458156,0.00277449974360879,0.002701132091491098,0.004224456913849366,7.336765211769227e-05,5.847477956293368
0.5,off-H2,0.003076707884551984,0.0024072720667187306,0.002097872623789267,0.0006694358178332533,0.00030939944292946364,1.1134751445445323
0.5,off-M2,0.0032939138986705137,0.00027620554374063267,0.00030304282117606714,0.003017708354929881,2.6837277435434476e-05,6.813071252060271
0.5,off-Z2,0.0001430322034614547,1.2402807128689348e-05,5.640201086233807e-05,0.00013062939633276535,4.399920373364872e-05,1.569930271688717
0.5,off-Vol,47681.42409139509,47741.47212300933,47756.53227877938,60.04803161423479,15.060155770050187,1.9953802627356407
0.5,L0-C2,1.1629820531662469e-05,3.028156517705081e-05,0.00020976016113274994,1.865174464538834e-05,0.00017947859595569913,-3.2664293145050247
0.5,L0-H2,1.1503189499711733e-05,2.748596257854699e-05,0.000183299779871621,1.598277307883526e-05,0.00015581381729307402,-3.285233525913522
0.5,L0-M2,4.1784573730368386e-08,2.138470611971178e-06,2.143249117953092e-05,2.0966860382408095e-06,1.9294020567559742e-05,-3.2019710586384083
0.5,L0-Z2,7.537425575221591e-09,1.0963285244011143e-07,9.928778615352123e-07,1.0209542686488984e-07,8.832450090951008e-07,-3.112895446597802
0.5,L0-N,257.0,513.0,1025.0,256.0,512.0,-1.0
0.5,L1-C2,1.1345569688960826e-05,1.46534763141644e-05,0.00012542224995031124,3.307906625203574e-06,0.00011076877363614684,-5.065488913290388
0.5,L1-H2,1.123628880698398e-05,1.2925474823683072e-05,0.00010064924034989357,1.6891860166990927e-06,8.77237655262105e-05,-5.698567626157889
0.5,L1-M2,2.5251117670505127e-08,1.0828925914354202e-06,1.9822291272379484e-05,1.057641473764915e-06,1.8739398680944064e-05,-4.147152098609084
0.5,L1-Z2,7.543486911251577e-09,1.0987674083109615e-07,9.827426778535314e-07,1.0233325391984457e-07,8.728659370224353e-07,-3.092485052864523
0.5,L1-N,257.0,513.0,1025.0,256.0,512.0,-1.0
0.5,L2-C2,1.130633234874214e-05,1.5099993998487153e-05,4.411282201891529e-05,3.7936616497450136e-06,2.901282802042814e-05,-2.9350280107681166
0.5,L2-H2,1.1205925657422464e-05,1.39543015465216e-05,2.668428068596963e-05,2.748375889099135e-06,1.272997913944803e-05,-2.211578818232397
0.5,L2-M2,1.6435889796061132e-08,5.013863339277536e-07,1.2565148473374843e-05,4.849504441316924e-07,1.2063762139447089e-05,-4.63669874878565
0.5,L2-Z2,7.529620055144834e-09,1.0921815865735322e-07,9.671071408144733e-07,1.0168853860220838e-07,8.578889821571201e-07,-3.0766338822508015
0.5,L2-N,257.0,513.0,1025.0,256.0,512.0,-1.0
0.5,L3-C2,1.1440547709842358e-05,1.4714477871277898e-05,3.5397459905165566e-05,3.27393016143554e-06,2.068298203388767e-05,-2.659348753652367
0.5,L3-H2,1.1339701205169112e-05,1.370009157152611e-05,2.5976453888213523e-05,2.3603903663569976e-06,1.2276362316687414e-05,-2.3787857499294365
0.5,L3-M2,1.6903553528265627e-08,3.7103462205138705e-07,4.566605794517948e-06,3.541310685231214e-07,4.195571172466561e-06,-3.566511903715492
0.5,L3-Z2,7.523277122773668e-09,1.0924240259833199e-07,9.648498476555376e-07,1.0171912547555831e-07,8.556074450572056e-07,-3.072358072445196
0.5,L3-N,257.0,513.0,1025.0,256.0,512.0,-1.0
0.5,L4-C2,1.1479743100439758e-05,1.3852365206997751e-05,3.65567833549216e-05,2.3726221065579934e-06,2.270441814792385e-05,-3.258418822608774
0.5,L4-H2,1.1379414571724915e-05,1.2752376642747355e-05,2.8120345768116177e-05,1.37296207102244e-06,1.5367969125368822e-05,-3.4845628499572907
0.5,L4-M2,1.648399650677322e-08,4.5713141440294047e-07,3.583414725667587e-06,4.4064741789616723e-07,3.1262833112646467e-06,-2.8267518683804203
0.5,L4-Z2,7.513755035002057e-09,1.0927576928273007e-07,9.640355357301607e-07,1.0176201424772801e-07,8.547597664474306e-07,-3.070319869619038
0.5,L4-N,257.0,513.0,1025.0,256.0,512.0,-1.0
0.5,C-Linf,0.008174834202622078,0.005895936476791154,0.006317119485089003,0.0022788977258309234,0.00042118300829784884,2.4358170393586196
0.5,C-rho,5.151862710122935,5.1875,2.88239164572405,0.03563728987706494,2.30510835427595,-6.015303129730322
0.5,C-z,-0.125,0.0,0.11024767778307636,0.125,0.11024767778307636,0.18117982718732017
0.5,H-Linf,0.004928021723715993,0.005801560627300059,0.006205916228101528,0.0008735389035840662,0.0004043556008014688,1.1112473612505576
0.5,H-rho,5.165294065184402,5.1875,5.15625,0.02220593481559785,0.03125,-0.4929108832551415
0.5,H-z,0.0,0.0,0.0,0.0,0.0,
0.5,M-Linf,0.007324118686436648,0.0016733943555429008,0.0022599292479650646,0.0056507243308937475,0.0005865348924221638,3.268146968883183
0.5,M-rho,5.125,5.625,0.0,0.5,5.625,-3.491853096329675
0.5,M-z,-0.125,0.0,0.1875,0.125,0.1875,-0.5849625007211563
0.5,Z-Linf,0.0011546938443320084,0.00021461745866304245,0.0004798908158091875,0.0009400763856689659,0.0002652733571461451,1.825298202283291
0.5,Z-rho,4.875,16.0,16.0,11.125,0.0,
0.5,Z-z,0.0,0.0,0.0,0.0,0.0,
0.5,muMin,0.25839484528982837,0.25712867259694533,0.2570923760464732,0.0012661726928830386,3.629655047210356e-05,5.124497931844343
0.5,muMax,0.25839484528982837,0.25712867259694533,0.2570923760464732,0.0012661726928830386,3.629655047210356e-05,5.124497931844343
1.0,time,1.6236846737868136,1.623684579022071,1.6236846571124677,9.476474249758837e-08,7.809039659356642e-08,0.27920526057722916
1.0,dt,0.013749834894470236,0.006879198709175566,0.0034409575220386976,0.0068706361852946705,0.0034382411871368684,0.9987729401881417
