# reproduction_conditioned_linf=3.94430452610505903e-31
# production_rerun_conditioned_linf=0.00000000000000000e+00
# tolerance=4.99999999999999990e-13
# global_actual_maximum=5.80750631801021725e-14 component=10 radius=1.55623744974859157e+00 rank=0 gid=0
# at_global_max_actual=5.80750631801021725e-14 principal=1.38415015525282459e-16 vacuum=5.67804240284055353e-14 ordinary_gauge=1.28470824131400861e-15 gamma0=1.89174605287627989e-18 gamma2=-1.27124748030785766e-16 driver=0.00000000000000000e+00 KO=-3.25110316474429363e-18 sum=5.80750631801021725e-14
sector	family	maximum	component	radius	rank	gid	x	y	z	i	j	k
actual	Psi	3.99680288865056401e-17	0	1.63458710382775263e+00	0	0	-6.25000000000000000e-01	-6.25000000000000000e-01	-1.37500000000000000e+00	5	5	2
actual	Pi	5.80750631801021725e-14	10	1.55623744974859157e+00	0	0	-1.12500000000000000e+00	-8.75000000000000000e-01	-6.25000000000000000e-01	3	4	5
actual	Phi	1.02160041257947833e-15	40	2.35518046017709670e+00	0	0	-8.75000000000000000e-01	-1.87500000000000000e+00	-1.12500000000000000e+00	4	0	3
actual	Hhat	2.02083250307183431e-15	50	9.60143218483575978e-01	0	0	-8.75000000000000000e-01	-3.75000000000000000e-01	-1.25000000000000000e-01	4	6	7
actual	theta	4.17238943048459089e-16	56	8.92678553567856303e-01	0	0	-1.25000000000000000e-01	-8.75000000000000000e-01	-1.25000000000000000e-01	7	4	7
actual	Upsilon	2.22044604925031308e-16	58	1.19242400177118202e+00	0	0	-1.12500000000000000e+00	-1.25000000000000000e-01	-3.75000000000000000e-01	3	7	6
principal	Psi	4.54519466875387661e-32	0	1.67238602003245651e+00	0	0	-8.75000000000000000e-01	-1.37500000000000000e+00	-3.75000000000000000e-01	4	2	6
principal	Pi	2.40991410498929022e-16	10	2.81458256229942538e+00	0	0	-1.62500000000000000e+00	-1.62500000000000000e+00	-1.62500000000000000e+00	1	1	1
principal	Phi	1.83242595102887381e-31	40	8.92678553567856303e-01	0	0	-1.25000000000000000e-01	-1.25000000000000000e-01	-8.75000000000000000e-01	7	7	4
covariant_vacuum_source	Pi	5.68378189727370891e-14	10	1.55623744974859157e+00	0	0	-1.37500000000000000e+00	-6.25000000000000000e-01	-3.75000000000000000e-01	2	5	6
ordinary_gauge_increment	Pi	3.60144800741333982e-15	10	9.60143218483575978e-01	0	0	-1.25000000000000000e-01	-8.75000000000000000e-01	-3.75000000000000000e-01	7	4	6
gamma0_damping	Pi	7.22741061311507477e-17	12	1.51554445662276760e+00	0	0	-6.25000000000000000e-01	-1.37500000000000000e+00	-1.25000000000000000e-01	5	2	7
gamma2_damping	Pi	3.60528606557126050e-16	10	1.24373429638327493e+00	0	0	-8.75000000000000000e-01	-8.75000000000000000e-01	-1.25000000000000000e-01	4	4	7
gamma2_damping	Phi	1.02375929548452865e-15	40	2.35518046017709670e+00	0	0	-8.75000000000000000e-01	-1.87500000000000000e+00	-1.12500000000000000e+00	4	0	3
driver	Hhat	2.00580112415249534e-15	50	9.60143218483575978e-01	0	0	-8.75000000000000000e-01	-3.75000000000000000e-01	-1.25000000000000000e-01	4	6	7
driver	theta	4.11820642691462790e-16	54	8.92678553567856303e-01	0	0	-1.25000000000000000e-01	-1.25000000000000000e-01	-8.75000000000000000e-01	7	7	4
driver	Upsilon	2.22044604925031308e-16	58	1.19242400177118202e+00	0	0	-1.12500000000000000e+00	-1.25000000000000000e-01	-3.75000000000000000e-01	3	7	6
KO	Psi	3.99680288865056401e-17	0	8.92678553567856303e-01	0	0	-1.25000000000000000e-01	-1.25000000000000000e-01	-8.75000000000000000e-01	7	7	4
KO	Pi	1.25232498552175388e-16	10	8.92678553567856303e-01	0	0	-8.75000000000000000e-01	-1.25000000000000000e-01	-1.25000000000000000e-01	4	7	7
KO	Phi	2.97546235777272697e-17	20	8.92678553567856303e-01	0	0	-8.75000000000000000e-01	-1.25000000000000000e-01	-1.25000000000000000e-01	4	7	7
KO	Hhat	2.66106581214842760e-17	52	8.92678553567856303e-01	0	0	-1.25000000000000000e-01	-8.75000000000000000e-01	-1.25000000000000000e-01	7	4	7
KO	theta	1.58683829964978419e-16	56	8.92678553567856303e-01	0	0	-1.25000000000000000e-01	-8.75000000000000000e-01	-1.25000000000000000e-01	7	4	7
KO	Upsilon	0.00000000000000000e+00	58	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
