resolution,transfer_order,variable,mode,k_over_nyquist,power
16,4,Ayz,5,0.625,4.680782864109536e-06
16,4,Ayz,6,0.75,8.282069873051408e-05
16,4,Ayz,7,0.875,5.6119140877280066e-05
16,4,Ayz,8,1.0,1.45068234920045e-05
16,4,Azz,0,0.0,0.0
16,4,Azz,1,0.125,8.824149853223877e-07
16,4,Azz,2,0.25,4.862186232868681e-06
16,4,Azz,3,0.375,3.321214595140021e-06
16,4,Azz,4,0.5,3.9760512384590074e-06
16,4,Azz,5,0.625,8.696765351770778e-06
16,4,Azz,6,0.75,8.554111121256673e-05
16,4,Azz,7,0.875,9.054124405004592e-06
16,4,Azz,8,1.0,2.2554479935244352e-05
16,4,Gamx,0,0.0,0.0
16,4,Gamx,1,0.125,1.802175054395071e-06
16,4,Gamx,2,0.25,4.3902419989054616e-05
16,4,Gamx,3,0.375,3.238662505206291e-05
16,4,Gamx,4,0.5,3.665653276285065e-05
16,4,Gamx,5,0.625,7.336457938959587e-05
16,4,Gamx,6,0.75,0.0006021166537519468
16,4,Gamx,7,0.875,2.452352467877967e-05
16,4,Gamx,8,1.0,7.802550278343113e-05
16,4,Gamy,0,0.0,0.0
16,4,Gamy,1,0.125,1.901706917295195e-06
16,4,Gamy,2,0.25,2.6327421764684786e-05
16,4,Gamy,3,0.375,3.8060317527875776e-05
16,4,Gamy,4,0.5,4.6809458171226475e-05
16,4,Gamy,5,0.625,9.709498933932311e-05
16,4,Gamy,6,0.75,0.0008291285664122051
16,4,Gamy,7,0.875,6.823607669865623e-05
16,4,Gamy,8,1.0,0.0001079698467663802
16,4,Gamz,0,0.0,0.0
16,4,Gamz,1,0.125,2.687573658068157e-07
16,4,Gamz,2,0.25,3.222271696452913e-05
16,4,Gamz,3,0.375,2.178231491305964e-05
16,4,Gamz,4,0.5,2.6248654229992734e-05
16,4,Gamz,5,0.625,5.475014768340778e-05
16,4,Gamz,6,0.75,0.0004891110296584517
16,4,Gamz,7,0.875,9.734304879148769e-05
16,4,Gamz,8,1.0,5.109225138569212e-05
16,4,Theta,0,0.0,0.0
16,4,Theta,1,0.125,3.2279496342508207e-06
16,4,Theta,2,0.25,2.162854967465157e-05
16,4,Theta,3,0.375,5.681241428145679e-06
16,4,Theta,4,0.5,7.424802043722623e-06
16,4,Theta,5,0.625,1.7580773997796683e-05
16,4,Theta,6,0.75,0.00018949448210367365
16,4,Theta,7,0.875,1.6668938453935337e-05
16,4,Theta,8,1.0,6.785104796064809e-05
16,4,alpha,0,0.0,0.0
16,4,alpha,1,0.125,1.5518830829297107e-13
16,4,alpha,2,0.25,2.2843037305936263e-14
16,4,alpha,3,0.375,6.41922972864218e-13
16,4,alpha,4,0.5,8.530751110304581e-13
16,4,alpha,5,0.625,1.8032852336198633e-12
16,4,alpha,6,0.75,1.5296087756055495e-11
16,4,alpha,7,0.875,1.277661226370526e-12
16,4,alpha,8,1.0,2.34222860353816e-12
16,4,betax,0,0.0,0.0
16,4,betax,1,0.125,1.2750658075839365e-13
16,4,betax,2,0.25,2.1229595705364758e-14
16,4,betax,3,0.375,7.001299193260213e-13
16,4,betax,4,0.5,9.323954132629248e-13
16,4,betax,5,0.625,1.953513495477423e-12
16,4,betax,6,0.75,1.600010522570593e-11
16,4,betax,7,0.875,3.7312074415711065e-13
16,4,betax,8,1.0,2.542108620320171e-12
16,4,betay,0,0.0,0.0
16,4,betay,1,0.125,9.441484488301034e-14
16,4,betay,2,0.25,6.934947837834321e-14
16,4,betay,3,0.375,6.847994650287423e-13
16,4,betay,4,0.5,9.146978049755718e-13
16,4,betay,5,0.625,1.917070848194856e-12
16,4,betay,6,0.75,1.5773139328491532e-11
16,4,betay,7,0.875,9.590967494123265e-13
16,4,betay,8,1.0,2.2832435438731014e-12
16,4,betaz,0,0.0,0.0
16,4,betaz,1,0.125,6.385542457933438e-14
16,4,betaz,2,0.25,1.5910340295057782e-13
16,4,betaz,3,0.375,5.896390284900675e-13
16,4,betaz,4,0.5,7.914304673929025e-13
16,4,betaz,5,0.625,1.6806250175522308e-12
16,4,betaz,6,0.75,1.4588598175471578e-11
16,4,betaz,7,0.875,2.915976649847936e-12
16,4,betaz,8,1.0,1.7137620522015757e-12
16,4,Bx,0,0.0,0.0
16,4,Bx,1,0.125,4.1150314434729204e-14
16,4,Bx,2,0.25,2.771409139650118e-13
16,4,Bx,3,0.375,4.311461735538332e-13
16,4,Bx,4,0.5,5.84816817300324e-13
16,4,Bx,5,0.625,1.2892508894029053e-12
16,4,Bx,6,0.75,1.2696890318808472e-11
16,4,Bx,7,0.875,5.741612733469982e-12
16,4,Bx,8,1.0,1.0576544609554936e-12
16,4,By,0,0.0,0.0
16,4,By,1,0.125,2.735973090670992e-14
16,4,By,2,0.25,4.0799667734445026e-13
16,4,By,3,0.375,2.476650215630175e-13
16,4,By,4,0.5,3.4633123282286536e-13
16,4,By,5,0.625,8.41599658416097e-13
16,4,By,6,0.75,1.0579651321276028e-11
16,4,By,7,0.875,8.71098027345917e-12
16,4,By,8,1.0,5.065048544826607e-13
16,4,Bz,0,0.0,0.0
16,4,Bz,1,0.125,2.0233180238297065e-14
16,4,Bz,2,0.25,5.359629794342728e-13
16,4,Bz,3,0.375,9.003720006679092e-14
16,4,Bz,4,0.5,1.4387457741070646e-13
16,4,Bz,5,0.625,4.649041182921514e-13
16,4,Bz,6,0.75,8.824161433198666e-12
16,4,Bz,7,0.875,1.1078798623150664e-11
16,4,Bz,8,1.0,1.5618940492521698e-13
16,6,chi,0,0.0,0.0
16,6,chi,1,0.125,2.2185827494778225e-10
16,6,chi,2,0.25,5.516218868747008e-09
16,6,chi,3,0.375,4.700317362433317e-10
16,6,chi,4,0.5,4.592950789731768e-10
16,6,chi,5,0.625,9.143863410234789e-10
16,6,chi,6,0.75,8.147084740380707e-09
16,6,chi,7,0.875,1.4460937740121053e-09
16,6,chi,8,1.0,1.2639092969044466e-10
16,6,gxx,0,0.0,0.0
16,6,gxx,1,0.125,4.2685885541942594e-10
16,6,gxx,2,0.25,1.0671964943265892e-08
16,6,gxx,3,0.375,1.8855282860695855e-10
16,6,gxx,4,0.5,1.0399058376537832e-10
16,6,gxx,5,0.625,3.6897166070307237e-10
16,6,gxx,6,0.75,7.717087231527055e-09
16,6,gxx,7,0.875,3.977488590785843e-09
