resolution,transfer_order,variable,mode,k_over_nyquist,power
64,4,Axz,7,0.21875,8.944003442480678e-09
64,4,Axz,8,0.25,9.194265642698732e-09
64,4,Axz,9,0.28125,9.538287228854592e-09
64,4,Axz,10,0.3125,9.974636093557363e-09
64,4,Axz,11,0.34375,1.0510177623299949e-08
64,4,Axz,12,0.375,1.1158042645291836e-08
64,4,Axz,13,0.40625,1.1937568735752484e-08
64,4,Axz,14,0.4375,1.2875368283223442e-08
64,4,Axz,15,0.46875,1.4007469107760799e-08
64,4,Axz,16,0.5,1.5382769682543882e-08
64,4,Axz,17,0.53125,1.7068397692130833e-08
64,4,Axz,18,0.5625,1.9158191459553662e-08
64,4,Axz,19,0.59375,2.1786398462688622e-08
64,4,Axz,20,0.625,2.5150526201469403e-08
64,4,Axz,21,0.65625,2.9551261219758385e-08
64,4,Axz,22,0.6875,3.546588812486415e-08
64,4,Axz,23,0.71875,4.3692053308790446e-08
64,4,Axz,24,0.75,5.565250005713256e-08
64,4,Axz,25,0.78125,7.410998225773789e-08
64,4,Axz,26,0.8125,1.0508511576437889e-07
64,4,Axz,27,0.84375,1.6406007908345826e-07
64,4,Axz,28,0.875,3.026464191786944e-07
64,4,Axz,29,0.90625,7.985552290425804e-07
64,4,Axz,30,0.9375,7.604175656090654e-06
64,4,Axz,31,0.96875,8.493889450396881e-06
64,4,Axz,32,1.0,1.9482164248204703e-07
64,4,Ayy,0,0.0,0.0
64,4,Ayy,1,0.03125,5.691566500362295e-08
64,4,Ayy,2,0.0625,7.530150608780232e-07
64,4,Ayy,3,0.09375,3.188151462508511e-08
64,4,Ayy,4,0.125,3.6256625117394605e-08
64,4,Ayy,5,0.15625,3.8264500760546825e-08
64,4,Ayy,6,0.1875,3.987929128882248e-08
64,4,Ayy,7,0.21875,4.150576747392259e-08
64,4,Ayy,8,0.25,4.3298603368211084e-08
64,4,Ayy,9,0.28125,4.534768299863131e-08
64,4,Ayy,10,0.3125,4.7726329057685745e-08
64,4,Ayy,11,0.34375,5.050938111483337e-08
64,4,Ayy,12,0.375,5.3783116887800765e-08
64,4,Ayy,13,0.40625,5.765321160910647e-08
64,4,Ayy,14,0.4375,6.225382845594077e-08
64,4,Ayy,15,0.46875,6.77593195497433e-08
64,4,Ayy,16,0.5,7.440077723765498e-08
64,4,Ayy,17,0.53125,8.249057095984888e-08
64,4,Ayy,18,0.5625,9.245994033829743e-08
64,4,Ayy,19,0.59375,1.0491848038758762e-07
64,4,Ayy,20,0.625,1.2075186815244904e-07
64,4,Ayy,21,0.65625,1.4128937931652204e-07
64,4,Ayy,22,0.6875,1.6860482982296586e-07
64,4,Ayy,23,0.71875,2.0609180718098723e-07
64,4,Ayy,24,0.75,2.596463366544296e-07
64,4,Ayy,25,0.78125,3.403407419176782e-07
64,4,Ayy,26,0.8125,4.71275628241103e-07
64,4,Ayy,27,0.84375,7.085159229490955e-07
64,4,Ayy,28,0.875,1.2246963947749404e-06
64,4,Ayy,29,0.90625,2.8470402827674824e-06
64,4,Ayy,30,0.9375,2.000734635768169e-05
64,4,Ayy,31,0.96875,5.993924739662197e-06
64,4,Ayy,32,1.0,9.825350094396981e-07
64,4,Ayz,0,0.0,0.0
64,4,Ayz,1,0.03125,3.04704221181819e-08
64,4,Ayz,2,0.0625,4.802816988492024e-07
64,4,Ayz,3,0.09375,4.57941579690853e-09
64,4,Ayz,4,0.125,3.4559839399118875e-09
64,4,Ayz,5,0.15625,3.2159132185558893e-09
64,4,Ayz,6,0.1875,3.1674023171235043e-09
64,4,Ayz,7,0.21875,3.1986472958314186e-09
64,4,Ayz,8,0.25,3.278911934593118e-09
64,4,Ayz,9,0.28125,3.3983090862329764e-09
64,4,Ayz,10,0.3125,3.554819236471598e-09
64,4,Ayz,11,0.34375,3.7504751286180964e-09
64,4,Ayz,12,0.375,3.990208384456814e-09
64,4,Ayz,13,0.40625,4.281726623297196e-09
64,4,Ayz,14,0.4375,4.63595439759944e-09
64,4,Ayz,15,0.46875,5.068014780042393e-09
64,4,Ayz,16,0.5,5.598871770681372e-09
64,4,Ayz,17,0.53125,6.2579385365949426e-09
64,4,Ayz,18,0.5625,7.087332776124768e-09
64,4,Ayz,19,0.59375,8.148981956994053e-09
64,4,Ayz,20,0.625,9.536882259358812e-09
64,4,Ayz,21,0.65625,1.1399335313421696e-08
64,4,Ayz,22,0.6875,1.3981637598483671e-08
64,4,Ayz,23,0.71875,1.771367787844783e-08
64,4,Ayz,24,0.75,2.3405333208631253e-08
64,4,Ayz,25,0.78125,3.273124470118321e-08
64,4,Ayz,26,0.8125,4.961236108765925e-08
64,4,Ayz,27,0.84375,8.498222652061545e-08
64,4,Ayz,28,0.875,1.7870841364761096e-07
64,4,Ayz,29,0.90625,5.670170894392725e-07
64,4,Ayz,30,0.9375,6.847929684402992e-06
64,4,Ayz,31,0.96875,8.315811191531984e-06
64,4,Ayz,32,1.0,1.741091299329843e-06
64,4,Azz,0,0.0,0.0
64,4,Azz,1,0.03125,2.9628060775123544e-08
64,4,Azz,2,0.0625,2.798746672037376e-07
64,4,Azz,3,0.09375,1.2132784023869477e-08
64,4,Azz,4,0.125,1.0435337229286049e-08
64,4,Azz,5,0.15625,1.0127091467375823e-08
64,4,Azz,6,0.1875,1.0155570791280733e-08
64,4,Azz,7,0.21875,1.0348966952163566e-08
64,4,Azz,8,0.25,1.0658200128576843e-08
64,4,Azz,9,0.28125,1.1069769065951166e-08
64,4,Azz,10,0.3125,1.1584673102776098e-08
64,4,Azz,11,0.34375,1.2212181281009262e-08
64,4,Azz,12,0.375,1.2968204829306041e-08
64,4,Azz,13,0.40625,1.3875454670968448e-08
64,4,Azz,14,0.4375,1.4964824569966246e-08
64,4,Azz,15,0.46875,1.6277855923912823e-08
64,4,Azz,16,0.5,1.787072739786106e-08
64,4,Azz,17,0.53125,1.982030048410414e-08
64,4,Azz,18,0.5625,2.223368116313434e-08
64,4,Azz,19,0.59375,2.5263620144559922e-08
64,4,Azz,20,0.625,2.9134035663171482e-08
64,4,Azz,21,0.65625,3.41842761971367e-08
64,4,Azz,22,0.6875,4.095005631529349e-08
64,4,Azz,23,0.71875,5.032061569157066e-08
64,4,Azz,24,0.75,6.386810976230812e-08
64,4,Azz,25,0.78125,8.461014907091405e-08
64,4,Azz,26,0.8125,1.1901998153584663e-07
64,4,Azz,27,0.84375,1.8337739782893672e-07
64,4,Azz,28,0.875,3.301953334228141e-07
64,4,Azz,29,0.90625,8.254171034860399e-07
64,4,Azz,30,0.9375,6.720007759852307e-06
64,4,Azz,31,0.96875,2.513536056616001e-06
64,4,Azz,32,1.0,2.334137737109545e-06
64,4,Gamx,0,0.0,0.0
64,4,Gamx,1,0.03125,1.218354222687545e-07
64,4,Gamx,2,0.0625,2.7924683531524674e-06
64,4,Gamx,3,0.09375,1.1920146814818162e-07
64,4,Gamx,4,0.125,1.0133427037493232e-07
64,4,Gamx,5,0.15625,9.775316162824343e-08
64,4,Gamx,6,0.1875,9.775947334915118e-08
64,4,Gamx,7,0.21875,9.945298257406148e-08
64,4,Gamx,8,0.25,1.0230380317196414e-07
64,4,Gamx,9,0.28125,1.0615671973151785e-07
64,4,Gamx,10,0.3125,1.1100729642795013e-07
64,4,Gamx,11,0.34375,1.1693521633177866e-07
64,4,Gamx,12,0.375,1.2408509842144294e-07
64,4,Gamx,13,0.40625,1.3266662682771228e-07
64,4,Gamx,14,0.4375,1.4296611808729785e-07
64,4,Gamx,15,0.46875,1.553687966829369e-07
64,4,Gamx,16,0.5,1.7039437919122434e-07
64,4,Gamx,17,0.53125,1.8875193121053338e-07
64,4,Gamx,18,0.5625,2.114254936573275e-07
64,4,Gamx,19,0.59375,2.398109518662125e-07
64,4,Gamx,20,0.625,2.7594164180415587e-07
64,4,Gamx,21,0.65625,3.22875783346909e-07
64,4,Gamx,22,0.6875,3.8539577330697344e-07
64,4,Gamx,23,0.71875,4.713477900852007e-07
64,4,Gamx,24,0.75,5.944056324300394e-07
64,4,Gamx,25,0.78125,7.80343464370509e-07
64,4,Gamx,26,0.8125,1.083187576608034e-06
64,4,Gamx,27,0.84375,1.634820996558107e-06
64,4,Gamx,28,0.875,2.8440858574977926e-06
64,4,Gamx,29,0.90625,6.686426966008891e-06
64,4,Gamx,30,0.9375,4.773673662891277e-05
64,4,Gamx,31,0.96875,1.1409957693819388e-05
64,4,Gamx,32,1.0,8.642614902340318e-06
64,4,Gamy,0,0.0,0.0
64,4,Gamy,1,0.03125,2.4106635369096064e-08
64,4,Gamy,2,0.0625,1.3983625733141132e-06
64,4,Gamy,3,0.09375,1.3973146632835668e-07
64,4,Gamy,4,0.125,1.2655716918303415e-07
64,4,Gamy,5,0.15625,1.2470001815037565e-07
64,4,Gamy,6,0.1875,1.2596018035366433e-07
64,4,Gamy,7,0.21875,1.2886259015197545e-07
64,4,Gamy,8,0.25,1.3302033021123262e-07
64,4,Gamy,9,0.28125,1.383536577467163e-07
64,4,Gamy,10,0.3125,1.4491548488628023e-07
64,4,Gamy,11,0.34375,1.5284164910856594e-07
64,4,Gamy,12,0.375,1.6234022284814348e-07
64,4,Gamy,13,0.40625,1.7369806064723125e-07
64,4,Gamy,14,0.4375,1.8729916931978087e-07
64,4,Gamy,15,0.46875,2.0365573405587744e-07
64,4,Gamy,16,0.5,2.2345604012833634e-07
64,4,Gamy,17,0.53125,2.476375897258505e-07
64,4,Gamy,18,0.5625,2.775007969811637e-07
64,4,Gamy,19,0.59375,3.1489061560276505e-07
64,4,Gamy,20,0.625,3.6249614234146175e-07
64,4,Gamy,21,0.65625,4.2436568714815073e-07
64,4,Gamy,22,0.6875,5.068379375031971e-07
64,4,Gamy,23,0.71875,6.203294683928119e-07
64,4,Gamy,24,0.75,7.830320633491521e-07
64,4,Gamy,25,0.78125,1.0293303094652582e-06
64,4,Gamy,26,0.8125,1.4315609701957271e-06
64,4,Gamy,27,0.84375,2.167174740573292e-06
64,4,Gamy,28,0.875,3.790127634361252e-06
64,4,Gamy,29,0.90625,9.00381281903953e-06
64,4,Gamy,30,0.9375,6.605923274340715e-05
64,4,Gamy,31,0.96875,2.015785525151536e-05
64,4,Gamy,32,1.0,1.2531932657917458e-05
64,4,Gamz,0,0.0,0.0
64,4,Gamz,1,0.03125,2.8445820729483916e-08
64,4,Gamz,2,0.0625,1.6395121160069874e-06
64,4,Gamz,3,0.09375,7.504418335560012e-08
64,4,Gamz,4,0.125,6.612507174045391e-08
64,4,Gamz,5,0.15625,6.4602080135816e-08
64,4,Gamz,6,0.1875,6.500177709310798e-08
64,4,Gamz,7,0.21875,6.635858291796583e-08
64,4,Gamz,8,0.25,6.841211472578385e-08
64,4,Gamz,9,0.28125,7.109705886178979e-08
64,4,Gamz,10,0.3125,7.44293010205696e-08
64,4,Gamz,11,0.34375,7.847284880642047e-08
64,4,Gamz,12,0.375,8.333154207430349e-08
64,4,Gamz,13,0.40625,8.915124314630172e-08
64,4,Gamz,14,0.4375,9.612876915948672e-08
64,4,Gamz,15,0.46875,1.0452769757189872e-07
64,4,Gamz,16,0.5,1.147031201677282e-07
64,4,Gamz,17,0.53125,1.2713958591668668e-07
64,4,Gamz,18,0.5625,1.4251028330903758e-07
64,4,Gamz,19,0.59375,1.6177190049727098e-07
64,4,Gamz,20,0.625,1.863214911185362e-07
64,4,Gamz,21,0.65625,2.1826684802692843e-07
64,4,Gamz,22,0.6875,2.609170661489191e-07
64,4,Gamz,23,0.71875,3.197282159065763e-07
64,4,Gamz,24,0.75,4.0426900632788894e-07
64,4,Gamz,25,0.78125,5.327237358692149e-07
64,4,Gamz,26,0.8125,7.436239637578573e-07
64,4,Gamz,27,0.84375,1.1324253746105978e-06
64,4,Gamz,28,0.875,2.001318694278365e-06
64,4,Gamz,29,0.90625,4.857572560343878e-06
64,4,Gamz,30,0.9375,3.778669111424618e-05
64,4,Gamz,31,0.96875,1.8659096948146456e-05
64,4,Gamz,32,1.0,6.584400586827595e-06
64,4,Theta,0,0.0,0.0
64,4,Theta,1,0.03125,6.366602660405063e-08
64,4,Theta,2,0.0625,7.106430428313218e-07
64,4,Theta,3,0.09375,2.742977765113889e-08
64,4,Theta,4,0.125,2.4189499823271667e-08
64,4,Theta,5,0.15625,2.3674651414656274e-08
64,4,Theta,6,0.1875,2.3847094981539846e-08
64,4,Theta,7,0.21875,2.436247435176941e-08
64,4,Theta,8,0.25,2.5130042187002442e-08
64,4,Theta,9,0.28125,2.6128146829560664e-08
64,4,Theta,10,0.3125,2.736407339330823e-08
64,4,Theta,11,0.34375,2.8862414127681568e-08
64,4,Theta,12,0.375,3.0662395640246295e-08
64,4,Theta,13,0.40625,3.281877723732671e-08
64,4,Theta,14,0.4375,3.540539895584859e-08
64,4,Theta,15,0.46875,3.852124488022729e-08
64,4,Theta,16,0.5,4.229979109840706e-08
64,4,Theta,17,0.53125,4.692361872552547e-08
64,4,Theta,18,0.5625,5.2647159691438324e-08
64,4,Theta,19,0.59375,5.983314652119146e-08
64,4,Theta,20,0.625,6.90134341904523e-08
64,4,Theta,21,0.65625,8.099438010233935e-08
64,4,Theta,22,0.6875,9.704956636490961e-08
64,4,Theta,23,0.71875,1.1929376207352417e-07
64,4,Theta,24,0.75,1.5146803658113005e-07
64,4,Theta,25,0.78125,2.007586422207407e-07
64,4,Theta,26,0.8125,2.8259065774706315e-07
64,4,Theta,27,0.84375,4.357736145010745e-07
64,4,Theta,28,0.875,7.853127074271939e-07
64,4,Theta,29,0.90625,1.967929075781399e-06
64,4,Theta,30,0.9375,1.5962582703879378e-05
64,4,Theta,31,0.96875,5.116455321647034e-06
64,4,Theta,32,1.0,6.264358171612745e-06
64,4,alpha,0,0.0,0.0
64,4,alpha,1,0.03125,1.847984628206281e-16
64,4,alpha,2,0.0625,1.2997858508145988e-15
64,4,alpha,3,0.09375,2.6100876592811897e-16
64,4,alpha,4,0.125,2.4051911179666944e-16
64,4,alpha,5,0.15625,2.3838580197384834e-16
64,4,alpha,6,0.1875,2.414330611462583e-16
64,4,alpha,7,0.21875,2.473588340512471e-16
64,4,alpha,8,0.25,2.555681555275615e-16
64,4,alpha,9,0.28125,2.65968351403741e-16
64,4,alpha,10,0.3125,2.786897751167477e-16
64,4,alpha,11,0.34375,2.940084811891469e-16
64,4,alpha,12,0.375,3.123327259662857e-16
64,4,alpha,13,0.40625,3.3421838269327707e-16
64,4,alpha,14,0.4375,3.604058047297741e-16
64,4,alpha,15,0.46875,3.918794434431443e-16
64,4,alpha,16,0.5,4.2996044934740516e-16
64,4,alpha,17,0.53125,4.764459813046173e-16
64,4,alpha,18,0.5625,5.338266386762608e-16
64,4,alpha,19,0.59375,6.056328318277856e-16
64,4,alpha,20,0.625,6.970042824344025e-16
64,4,alpha,21,0.65625,8.156696030011086e-16
64,4,alpha,22,0.6875,9.737123089111345e-16
64,4,alpha,23,0.71875,1.1909534669846006e-15
64,4,alpha,24,0.75,1.501932223601045e-15
64,4,alpha,25,0.78125,1.971746525983932e-15
64,4,alpha,26,0.8125,2.7368468040339906e-15
64,4,alpha,27,0.84375,4.130366472389071e-15
64,4,alpha,28,0.875,7.185878090880187e-15
64,4,alpha,29,0.90625,1.690018417367109e-14
64,4,alpha,30,0.9375,1.2144328554087877e-13
64,4,alpha,31,0.96875,3.591576551618597e-14
64,4,alpha,32,1.0,1.8834068883462168e-14
64,4,betax,0,0.0,0.0
64,4,betax,1,0.03125,9.750958527144155e-17
64,4,betax,2,0.0625,1.3539960767623662e-15
64,4,betax,3,0.09375,2.6527559592590596e-16
64,4,betax,4,0.125,2.4542359869834144e-16
64,4,betax,5,0.15625,2.435475731683721e-16
64,4,betax,6,0.1875,2.4679987790028514e-16
64,4,betax,7,0.21875,2.529357796350209e-16
64,4,betax,8,0.25,2.6138033312085435e-16
64,4,betax,9,0.28125,2.72052026115543e-16
64,4,betax,10,0.3125,2.850905585207253e-16
64,4,betax,11,0.34375,3.007818872639487e-16
64,4,betax,12,0.375,3.195457792953595e-16
64,4,betax,13,0.40625,3.419523687098691e-16
64,4,betax,14,0.4375,3.687601563627459e-16
64,4,betax,15,0.46875,4.0097767070716858e-16
64,4,betax,16,0.5,4.3995762618691774e-16
64,4,betax,17,0.53125,4.875403942451925e-16
64,4,betax,18,0.5625,5.462764734831577e-16
64,4,betax,19,0.59375,6.197809198650578e-16
64,4,betax,20,0.625,7.133175487577649e-16
64,4,betax,21,0.65625,8.348021576013733e-16
64,4,betax,22,0.6875,9.966123422375736e-16
64,4,betax,23,0.71875,1.2190542402259282e-15
64,4,betax,24,0.75,1.5375168062380856e-15
64,4,betax,25,0.78125,2.0187097233305014e-15
64,4,betax,26,0.8125,2.8024734060127177e-15
64,4,betax,27,0.84375,4.230202484138538e-15
64,4,betax,28,0.875,7.360607229459421e-15
64,4,betax,29,0.90625,1.730319459158617e-14
64,4,betax,30,0.9375,1.2358810912430707e-13
64,4,betax,31,0.96875,2.938458467674022e-14
64,4,betax,32,1.0,2.2697858673041737e-14
64,4,betay,0,0.0,0.0
64,4,betay,1,0.03125,3.09657584539581e-17
64,4,betay,2,0.0625,1.5048961661286386e-15
64,4,betay,3,0.09375,2.4399512334349244e-16
64,4,betay,4,0.125,2.262890512528859e-16
64,4,betay,5,0.15625,2.2474777325796e-16
64,4,betay,6,0.1875,2.278407973168108e-16
64,4,betay,7,0.21875,2.3356032308456943e-16
64,4,betay,8,0.25,2.413962114385576e-16
64,4,betay,9,0.28125,2.512819555606156e-16
64,4,betay,10,0.3125,2.6335115029733624e-16
64,4,betay,11,0.34375,2.7787084831819856e-16
64,4,betay,12,0.375,2.9523113204567036e-16
64,4,betay,13,0.40625,3.159609790960118e-16
64,4,betay,14,0.4375,3.407637926136771e-16
64,4,betay,15,0.46875,3.705748182951e-16
64,4,betay,16,0.5,4.0664874986301355e-16
64,4,betay,17,0.53125,4.506932384064848e-16
64,4,betay,18,0.5625,5.050760382555521e-16
64,4,betay,19,0.59375,5.731553006376999e-16
64,4,betay,20,0.625,6.598245619617966e-16
64,4,betay,21,0.65625,7.724498098121124e-16
64,4,betay,22,0.6875,9.22562521559594e-16
64,4,betay,23,0.71875,1.129108673657476e-15
64,4,betay,24,0.75,1.4251686919560535e-15
64,4,betay,25,0.78125,1.8732516906665562e-15
64,4,betay,26,0.8125,2.604811712291817e-15
64,4,betay,27,0.84375,3.942161120034354e-15
64,4,betay,28,0.875,6.890939094722541e-15
64,4,betay,29,0.90625,1.634940266395612e-14
64,4,betay,30,0.9375,1.196648247593783e-13
64,4,betay,31,0.96875,3.5959635553093474e-14
64,4,betay,32,1.0,2.2804907457048456e-14
64,4,betaz,0,0.0,0.0
64,4,betaz,1,0.03125,3.631525040642451e-18
64,4,betaz,2,0.0625,1.7311422994461878e-15
64,4,betaz,3,0.09375,1.9842316345111633e-16
64,4,betaz,4,0.125,1.8408490272883088e-16
64,4,betaz,5,0.15625,1.8288744519158773e-16
64,4,betaz,6,0.1875,1.8544056154161193e-16
64,4,betaz,7,0.21875,1.9012320455730695e-16
64,4,betaz,8,0.25,1.9652622396451852e-16
64,4,betaz,9,0.28125,2.045988585349096e-16
64,4,betaz,10,0.3125,2.1445232017225684e-16
64,4,betaz,11,0.34375,2.2630634085986346e-16
64,4,betaz,12,0.375,2.404811601106793e-16
64,4,betaz,13,0.40625,2.574108644410313e-16
64,4,betaz,14,0.4375,2.776728292620142e-16
64,4,betaz,15,0.46875,3.0203520947448823e-16
64,4,betaz,16,0.5,3.3152943239193033e-16
64,4,betaz,17,0.53125,3.6756082017659283e-16
64,4,betaz,18,0.5625,4.120805350041353e-16
64,4,betaz,19,0.59375,4.67860352874466e-16
64,4,betaz,20,0.625,5.389472457199959e-16
64,4,betaz,21,0.65625,6.314474714845007e-16
64,4,betaz,22,0.6875,7.549485872371223e-16
64,4,betaz,23,0.71875,9.25260821253753e-16
64,4,betaz,24,0.75,1.1701186917433489e-15
64,4,betaz,25,0.78125,1.5422470289634974e-15
64,4,betaz,26,0.8125,2.153412580857147e-15
64,4,betaz,27,0.84375,3.2806495610002577e-15
64,4,betaz,28,0.875,5.801761775952442e-15
64,4,betaz,29,0.90625,1.4095006898606469e-14
64,4,betaz,30,0.9375,1.0996219251076295e-13
64,4,betaz,31,0.96875,5.4796605373622905e-14
64,4,betaz,32,1.0,1.9583634016749078e-14
64,4,Bx,0,0.0,0.0
64,4,Bx,1,0.03125,1.99506361633105e-17
64,4,Bx,2,0.0625,1.99402797564093e-15
64,4,Bx,3,0.09375,1.3668551665704163e-16
64,4,Bx,4,0.125,1.263589080247005e-16
64,4,Bx,5,0.15625,1.25460320268089e-16
64,4,Bx,6,0.1875,1.2719332815992634e-16
64,4,Bx,7,0.21875,1.3040672057281878e-16
64,4,Bx,8,0.25,1.3481124513498306e-16
64,4,Bx,9,0.28125,1.4037016710081237e-16
64,4,Bx,10,0.3125,1.4716025797547863e-16
64,4,Bx,11,0.34375,1.5533415224465484e-16
64,4,Bx,12,0.375,1.6511476026716184e-16
64,4,Bx,13,0.40625,1.7680473039019648e-16
64,4,Bx,14,0.4375,1.9080730366020836e-16
64,4,Bx,15,0.46875,2.0766001160066896e-16
64,4,Bx,16,0.5,2.2808626143509937e-16
64,4,Bx,17,0.53125,2.530743386000602e-16
64,4,Bx,18,0.5625,2.8400073577236306e-16
64,4,Bx,19,0.59375,3.2282824190458143e-16
64,4,Bx,20,0.625,3.724356199568208e-16
64,4,Bx,21,0.65625,4.3719026283659237e-16
64,4,Bx,22,0.6875,5.239954193813143e-16
64,4,Bx,23,0.71875,6.443291373460576e-16
64,4,Bx,24,0.75,8.185356928530457e-16
64,4,Bx,25,0.78125,1.0858029710166814e-15
64,4,Bx,26,0.8125,1.5306300478227735e-15
64,4,Bx,27,0.84375,2.3672470244271096e-15
64,4,Bx,28,0.875,4.295780224058827e-15
64,4,Bx,29,0.90625,1.0969676481080972e-14
64,4,Bx,30,0.9375,9.643007811994059e-14
64,4,Bx,31,0.96875,8.151812110951667e-14
64,4,Bx,32,1.0,1.443057330808138e-14
64,4,By,0,0.0,0.0
64,4,By,1,0.03125,6.740319960353324e-17
64,4,By,2,0.0625,2.2445790381549045e-15
64,4,By,3,0.09375,7.277158699355653e-17
64,4,By,4,0.125,6.633225182372066e-17
64,4,By,5,0.15625,6.566365144710804e-17
64,4,By,6,0.1875,6.650574267692587e-17
64,4,By,7,0.21875,6.816767759093676e-17
64,4,By,8,0.25,7.047626457056347e-17
64,4,By,9,0.28125,7.340583529873063e-17
64,4,By,10,0.3125,7.69955752141932e-17
64,4,By,11,0.34375,8.132726476646822e-17
64,4,By,12,0.375,8.65218035139079e-17
64,4,By,13,0.40625,9.274444674570875e-17
64,4,By,14,0.4375,1.0021661649880876e-16
64,4,By,15,0.46875,1.092351678063224e-16
64,4,By,16,0.5,1.2020214079268535e-16
64,4,By,17,0.53125,1.3367076671604487e-16
64,4,By,18,0.5625,1.5041807712860632e-16
64,4,By,19,0.59375,1.715629970584294e-16
64,4,By,20,0.625,1.9876572949435387e-16
64,4,By,21,0.65625,2.345798554099935e-16
64,4,By,22,0.6875,2.831085999285451e-16
64,4,By,23,0.71875,3.513110232059377e-16
64,4,By,24,0.75,4.518223516976918e-16
64,4,By,25,0.78125,6.097092214273585e-16
64,4,By,26,0.8125,8.810251612753376e-16
64,4,By,27,0.84375,1.4144804089425605e-15
64,4,By,28,0.875,2.724829804613747e-15
64,4,By,29,0.90625,7.709261063229208e-15
64,4,By,30,0.9375,8.231064364081482e-14
64,4,By,31,0.96875,1.0941042821049675e-13
64,4,By,32,1.0,9.029500546395715e-15
64,4,Bz,0,0.0,0.0
64,4,Bz,1,0.03125,1.209249144483916e-16
64,4,Bz,2,0.0625,2.433518329263363e-15
64,4,Bz,3,0.09375,2.327377797145122e-17
64,4,Bz,4,0.125,1.9798981000627587e-17
64,4,Bz,5,0.15625,1.9297310385881762e-17
64,4,Bz,6,0.1875,1.9444016494684795e-17
64,4,Bz,7,0.21875,1.9900464591880222e-17
64,4,Bz,8,0.25,2.0582171893829007e-17
64,4,Bz,9,0.28125,2.1471577421835277e-17
64,4,Bz,10,0.3125,2.2578503322034315e-17
64,4,Bz,11,0.34375,2.3929664503269862e-17
64,4,Bz,12,0.375,2.5566771435931126e-17
64,4,Bz,13,0.40625,2.754846403481449e-17
64,4,Bz,14,0.4375,2.995509460790168e-17
64,4,Bz,15,0.46875,3.289679061262692e-17
64,4,Bz,16,0.5,3.652626207548009e-17
64,4,Bz,17,0.53125,4.105920017523758e-17
64,4,Bz,18,0.5625,4.680752359773947e-17
64,4,Bz,19,0.59375,5.4235384602651847e-17
64,4,Bz,20,0.625,6.405742041640393e-17
64,4,Bz,21,0.65625,7.741964063005782e-17
64,4,Bz,22,0.6875,9.625216085098637e-17
64,4,Bz,23,0.71875,1.2400641095752274e-16
64,4,Bz,24,0.75,1.6733293369624775e-16
64,4,Bz,25,0.78125,2.403335345700543e-16
64,4,Bz,26,0.8125,3.7696840985747047e-16
64,4,Bz,27,0.84375,6.750403069494872e-16
64,4,Bz,28,0.875,1.5051988826317598e-15
64,4,Bz,29,0.90625,5.176276603807357e-15
64,4,Bz,30,0.9375,7.132346385282371e-14
64,4,Bz,31,0.96875,1.312541264020461e-13
64,4,Bz,32,1.0,4.766269707884575e-15
64,6,chi,0,0.0,0.0
64,6,chi,1,0.03125,3.98426432963263e-16
64,6,chi,2,0.0625,6.677849599008153e-14
64,6,chi,3,0.09375,2.878836427873766e-16
64,6,chi,4,0.125,1.7156844216513728e-16
64,6,chi,5,0.15625,1.452639079695529e-16
64,6,chi,6,0.1875,1.3625617121683276e-16
64,6,chi,7,0.21875,1.3366231825286963e-16
64,6,chi,8,0.25,1.343728142375719e-16
64,6,chi,9,0.28125,1.3729029616638684e-16
64,6,chi,10,0.3125,1.4202822696346938e-16
64,6,chi,11,0.34375,1.4842952646211707e-16
64,6,chi,12,0.375,1.565419288547276e-16
64,6,chi,13,0.40625,1.6659408953963856e-16
64,6,chi,14,0.4375,1.7888450165517835e-16
64,6,chi,15,0.46875,1.9381098808555524e-16
64,6,chi,16,0.5,2.120230496346012e-16
64,6,chi,17,0.53125,2.344282308751151e-16
64,6,chi,18,0.5625,2.621513005747929e-16
64,6,chi,19,0.59375,2.9685154854107763e-16
64,6,chi,20,0.625,3.4113366592582413e-16
64,6,chi,21,0.65625,3.987275739297543e-16
64,6,chi,22,0.6875,4.753135955908584e-16
64,6,chi,23,0.71875,5.806359152293058e-16
64,6,chi,24,0.75,7.316851647363993e-16
64,6,chi,25,0.78125,9.59523988835333e-16
64,6,chi,26,0.8125,1.3294994824679266e-15
64,6,chi,27,0.84375,2.0033400274394986e-15
64,6,chi,28,0.875,3.478721098569569e-15
64,6,chi,29,0.90625,8.162328058642136e-15
64,6,chi,30,0.9375,5.92983781580192e-14
64,6,chi,31,0.96875,2.3447022541369576e-14
64,6,chi,32,1.0,1.120565406238111e-15
64,6,gxx,0,0.0,0.0
64,6,gxx,1,0.03125,1.6028848751760637e-15
64,6,gxx,2,0.0625,2.6053944325059354e-13
64,6,gxx,3,0.09375,5.936174499093869e-16
64,6,gxx,4,0.125,2.663120406177977e-16
64,6,gxx,5,0.15625,1.9608730746403328e-16
64,6,gxx,6,0.1875,1.6959193916206197e-16
64,6,gxx,7,0.21875,1.581776751024764e-16
64,6,gxx,8,0.25,1.5388133054558528e-16
64,6,gxx,9,0.28125,1.5374097579273858e-16
64,6,gxx,10,0.3125,1.5648786094264756e-16
64,6,gxx,11,0.34375,1.6165226746994806e-16
64,6,gxx,12,0.375,1.6908480507993629e-16
64,6,gxx,13,0.40625,1.7881382319095367e-16
64,6,gxx,14,0.4375,1.9110201061198584e-16
64,6,gxx,15,0.46875,2.064272867902145e-16
64,6,gxx,16,0.5,2.2539934990322964e-16
