resolution,transfer_order,category,variable,count,rms,linf,order_from_previous
16,4,all,Axx,405,4.155293617325397e-07,3.976759216749924e-06,
16,4,all,Axy,405,4.1592827220916316e-07,4.223469696726286e-06,
16,4,all,Axz,405,4.1633360959572715e-07,4.6510573482904706e-06,
16,4,all,Ayy,405,4.1674535513929415e-07,4.809614081372165e-06,
16,4,all,Ayz,405,4.1716348986506915e-07,4.878805885777615e-06,
16,4,all,Azz,405,4.1758799458041884e-07,5.058994546409642e-06,
16,4,all,Bx,405,4.216919171231884e-07,4.884172281385016e-06,
16,4,all,By,405,4.221790211023415e-07,4.743759648670633e-06,
16,4,all,Bz,405,4.2267227073216023e-07,4.515898708314954e-06,
16,4,all,Gamx,405,4.1801884987885935e-07,4.959205003382208e-06,
16,4,all,Gamy,405,4.184560361441294e-07,4.572583648315871e-06,
16,4,all,Gamz,405,4.1889953355420066e-07,3.964019251698588e-06,
16,4,all,Khat,405,4.1513689669296487e-07,4.429666936400984e-06,
16,4,all,Theta,405,4.1934932208537556e-07,4.161961439569264e-06,
16,4,all,alpha,405,4.1980538149955936e-07,4.380314902130422e-06,
16,4,all,betax,405,4.2026769143214465e-07,4.923544232930281e-06,
16,4,all,betay,405,4.2073623122857336e-07,5.2150597939344895e-06,
16,4,all,betaz,405,4.212109801158967e-07,5.2020219840208815e-06,
16,4,all,chi,405,4.125716206691992e-07,3.6563515333210006e-06,
16,4,all,gxx,405,4.1291846870625043e-07,3.989429607664796e-06,
16,4,all,gxy,405,4.1327188519404683e-07,4.532446300734708e-06,
16,4,all,gxz,405,4.1363185332191697e-07,4.866003134828054e-06,
16,4,all,gyy,405,4.139983559990054e-07,4.936253718224037e-06,
16,4,all,gyz,405,4.1437137588046966e-07,4.738413581904422e-06,
16,4,all,gzz,405,4.147508953884986e-07,4.630346676970376e-06,
16,4,coarse_all,Axx,81,0.0,0.0,
16,4,coarse_all,Axy,81,0.0,0.0,
16,4,coarse_all,Axz,81,0.0,0.0,
16,4,coarse_all,Ayy,81,0.0,0.0,
16,4,coarse_all,Ayz,81,0.0,0.0,
16,4,coarse_all,Azz,81,2.1295741898380194e-21,1.3552527156068805e-20,
16,4,coarse_all,Bx,81,0.0,0.0,
16,4,coarse_all,By,81,0.0,0.0,
16,4,coarse_all,Bz,81,0.0,0.0,
16,4,coarse_all,Gamx,81,0.0,0.0,
16,4,coarse_all,Gamy,81,0.0,0.0,
16,4,coarse_all,Gamz,81,0.0,0.0,
16,4,coarse_all,Khat,81,0.0,0.0,
16,4,coarse_all,Theta,81,0.0,0.0,
16,4,coarse_all,alpha,81,0.0,0.0,
16,4,coarse_all,betax,81,0.0,0.0,
16,4,coarse_all,betay,81,0.0,0.0,
16,4,coarse_all,betaz,81,0.0,0.0,
16,4,coarse_all,chi,81,0.0,0.0,
16,4,coarse_all,gxx,81,0.0,0.0,
16,4,coarse_all,gxy,81,0.0,0.0,
16,4,coarse_all,gxz,81,0.0,0.0,
16,4,coarse_all,gyy,81,0.0,0.0,
16,4,coarse_all,gyz,81,0.0,0.0,
16,4,coarse_all,gzz,81,0.0,0.0,
16,4,coarse_interior,Axx,36,0.0,0.0,
16,4,coarse_interior,Axy,36,0.0,0.0,
16,4,coarse_interior,Axz,36,0.0,0.0,
16,4,coarse_interior,Ayy,36,0.0,0.0,
16,4,coarse_interior,Ayz,36,0.0,0.0,
