resolution,transfer_order,category,variable,count,rms,linf,order_from_previous
16,4,coincident_interface,Khat,19,0.0011930656035564393,0.002666730054536215,
16,4,coincident_interface,Theta,19,0.0007454286556495049,0.0014930733913757184,
16,4,coincident_interface,alpha,19,2.479000220933293e-07,5.628534833412858e-07,
16,4,coincident_interface,betax,19,2.4518641318788043e-07,5.007627399837177e-07,
16,4,coincident_interface,betay,19,2.4118778845285873e-07,4.854509992028135e-07,
16,4,coincident_interface,betaz,19,2.355729836581888e-07,4.6058192846070796e-07,
16,4,coincident_interface,chi,19,2.087259567460663e-05,4.023629659926178e-05,
16,4,coincident_interface,gxx,19,2.0904576135240967e-05,3.494324204940367e-05,
16,4,coincident_interface,gxy,19,3.050701818025534e-05,6.703411970930529e-05,
16,4,coincident_interface,gxz,19,1.7179341913409171e-06,3.848349306816742e-06,
16,4,coincident_interface,gyy,19,4.131371212693701e-05,7.550362624571369e-05,
16,4,coincident_interface,gyz,19,3.2149899653200244e-05,5.557942138483159e-05,
16,4,coincident_interface,gzz,19,2.0628458765255788e-05,3.9620462646573155e-05,
16,4,fine_all,Axx,324,0.00022551970472517295,0.0013627701677238814,
16,4,fine_all,Axy,324,0.00032622047167747936,0.0020697764096407807,
16,4,fine_all,Axz,324,0.0002744463634004692,0.002306730385075885,
16,4,fine_all,Ayy,324,0.00034265905855644316,0.002121063000011917,
16,4,fine_all,Ayz,324,0.00026765151614041523,0.0022959778503471536,
16,4,fine_all,Azz,324,0.00023675549102069164,0.0020318002545797165,
16,4,fine_all,Bx,324,9.358065014124606e-08,7.592291092787065e-07,
16,4,fine_all,By,324,9.26274394010081e-08,7.640373399019703e-07,
16,4,fine_all,Bz,324,9.191360789692728e-08,7.443560371941331e-07,
16,4,fine_all,Gamx,324,0.000608399350495471,0.005087231765768125,
16,4,fine_all,Gamy,324,0.0006856954672680802,0.006096410721843472,
16,4,fine_all,Gamz,324,0.0005524703184826026,0.0050165594149524945,
16,4,fine_all,Khat,324,0.0005591467733420013,0.003996978709757625,
16,4,fine_all,Theta,324,0.0003627558950110497,0.0032165496715913493,
16,4,fine_all,alpha,324,9.604063795999662e-08,6.445827825984907e-07,
16,4,fine_all,betax,324,9.572765077539076e-08,7.45960671875573e-07,
16,4,fine_all,betay,324,9.522845945427636e-08,8.012549948493877e-07,
16,4,fine_all,betaz,324,9.450127805813299e-08,8.056726693137776e-07,
16,4,fine_all,chi,324,6.851538805690209e-06,4.023629659926178e-05,
16,4,fine_all,gxx,324,9.695394961160227e-06,6.184066089201209e-05,
16,4,fine_all,gxy,324,9.441968595548277e-06,6.703411970930529e-05,
16,4,fine_all,gxz,324,6.058187736479736e-06,4.876102572376726e-05,
16,4,fine_all,gyy,324,1.1375987944813284e-05,7.550362624571369e-05,
16,4,fine_all,gyz,324,8.074193141654728e-06,5.557942138483159e-05,
16,4,fine_all,gzz,324,6.560530768232854e-06,3.9620462646573155e-05,
16,4,fine_interior,Axx,234,1.2678776132380195e-19,1.734723475976807e-18,
16,4,fine_interior,Axy,234,6.41500968347231e-19,6.938893903907228e-18,
16,4,fine_interior,Axz,234,4.5360968485606385e-19,3.469446951953614e-18,
16,4,fine_interior,Ayy,234,0.0,0.0,
16,4,fine_interior,Ayz,234,2.7016877375795975e-19,2.6020852139652106e-18,
16,4,fine_interior,Azz,234,0.0,0.0,
16,4,fine_interior,Bx,234,7.988558192628925e-22,7.58690057833637e-21,
16,4,fine_interior,By,234,4.375802718406654e-22,4.336080771002971e-21,
16,4,fine_interior,Bz,234,5.670251148882247e-22,6.50494833711701e-21,
16,4,fine_interior,Gamx,234,1.5263319252004413e-18,1.8648277366750676e-17,
16,4,fine_interior,Gamy,234,2.5496637364278357e-18,2.7755575615628914e-17,
16,4,fine_interior,Gamz,234,3.0259540157919088e-18,3.122502256758253e-17,
16,4,fine_interior,Khat,234,0.0,0.0,
16,4,fine_interior,Theta,234,0.0,0.0,
16,4,fine_interior,alpha,234,0.0,0.0,
16,4,fine_interior,betax,234,3.701820510318003e-22,4.341043854678289e-21,
16,4,fine_interior,betay,234,6.108130262486966e-22,5.419687373447437e-21,
16,4,fine_interior,betaz,234,6.539485332834764e-22,5.555344993906134e-21,
16,4,fine_interior,chi,234,4.009381052170194e-20,4.336808689942018e-19,
16,4,fine_interior,gxx,234,4.5933230403729e-20,4.336808689942018e-19,
16,4,fine_interior,gxy,234,9.40283203711826e-20,8.673617379884035e-19,
16,4,fine_interior,gxz,234,9.131799942319058e-20,9.75781955236954e-19,
16,4,fine_interior,gyy,234,4.009381052170194e-20,4.336808689942018e-19,
16,4,fine_interior,gyz,234,0.0,0.0,
16,4,fine_interior,gzz,234,2.4552344405500288e-20,2.168404344971009e-19,
16,4,hanging_interface,Axx,8,0.000442222834949233,0.0007718138761521171,
16,4,hanging_interface,Axy,8,0.0014502992584846607,0.0020697764096407807,
16,4,hanging_interface,Axz,8,0.0014380412671135556,0.002306730385075885,
16,4,hanging_interface,Ayy,8,0.0013395217006429924,0.0019013647389584882,
16,4,hanging_interface,Ayz,8,0.001423543050678769,0.0022959778503471536,
