# Athena++ data at time=2.500000e+00  cycle=321 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00174 0004 -9.68750e+00  8.17771e-01  1.00040e+00 -2.08955e-05 -2.08955e-05  9.99798e-01  6.74255e-07  9.99798e-01 -8.63023e-05 -1.97768e-04  1.03287e-05  1.03287e-05  9.88237e-05 -3.39872e-07  9.88237e-05  4.36691e-05 -1.06832e-06 -1.06832e-06 -6.11000e-06  9.04495e-01  9.97643e-06 -2.25394e-07 -2.25394e-07
00174 0005 -9.06250e+00  8.06810e-01  1.00064e+00 -3.52196e-05 -3.52196e-05  9.99678e-01  1.20681e-06  9.99678e-01 -1.20826e-04 -2.91893e-04  1.59555e-05  1.59555e-05  1.45805e-04 -5.51535e-07  1.45805e-04  6.28583e-05 -1.70887e-06 -1.70887e-06 -6.56026e-06  8.98509e-01  1.41452e-05 -3.57957e-07 -3.57957e-07
00174 0006 -8.43750e+00  7.94455e-01  1.00092e+00 -5.28047e-05 -5.28047e-05  9.99540e-01  1.94081e-06  9.99540e-01 -1.68764e-04 -4.18196e-04  2.41561e-05  2.41561e-05  2.08807e-04 -8.89442e-07  2.08807e-04  7.70390e-05 -2.26899e-06 -2.26899e-06 -6.60392e-06  8.91724e-01  1.61631e-05 -4.55065e-07 -4.55065e-07
00174 0007 -7.81250e+00  7.80420e-01  1.00125e+00 -7.62169e-05 -7.62169e-05  9.99375e-01  3.03412e-06  9.99375e-01 -2.37024e-04 -5.89834e-04  3.61508e-05  3.61508e-05  2.94358e-04 -1.43589e-06  2.94358e-04  9.10764e-05 -3.07303e-06 -3.07303e-06 -6.37637e-06  8.83969e-01  1.78074e-05 -5.86261e-07 -5.86261e-07
00174 0008 -7.18750e+00  7.64342e-01  1.00168e+00 -1.10525e-04 -1.10525e-04  9.99159e-01  4.79910e-06  9.99159e-01 -3.35251e-04 -8.17124e-04  5.38390e-05  5.38390e-05  4.07520e-04 -2.33479e-06  4.07520e-04  1.09555e-04 -4.38518e-06 -4.38518e-06 -2.28256e-06  8.75026e-01  2.04392e-05 -8.18566e-07 -8.18566e-07
00174 0009 -6.56250e+00  7.45743e-01  1.00230e+00 -1.64617e-04 -1.64617e-04  9.98853e-01  7.84892e-06  9.98853e-01 -4.78168e-04 -1.13951e-03  8.18039e-05  8.18039e-05  5.67768e-04 -3.90486e-06  5.67768e-04  1.32702e-04 -6.12189e-06 -6.12189e-06  1.59906e-06  8.64611e-01  2.33581e-05 -1.11496e-06 -1.11496e-06
00174 0010 -5.93750e+00  7.23991e-01  1.00320e+00 -2.53377e-04 -2.53377e-04  9.98402e-01  1.33659e-05  9.98402e-01 -6.92832e-04 -1.63242e-03  1.28913e-04  1.28913e-04  8.12238e-04 -6.80087e-06  8.12238e-04  1.61282e-04 -8.24661e-06 -8.24661e-06  1.40431e-06  8.52344e-01  2.64272e-05 -1.37134e-06 -1.37134e-06
00174 0011 -5.31250e+00  6.98221e-01  1.00459e+00 -4.05419e-04 -4.05419e-04  9.97713e-01  2.38749e-05  9.97713e-01 -1.03188e-03 -2.41048e-03  2.12755e-04  2.12755e-04  1.19682e-03 -1.25073e-05  1.19682e-03  1.79058e-04 -1.05044e-05 -1.05044e-05 -4.03325e-08  8.37711e-01  2.69427e-05 -1.56254e-06 -1.56254e-06
00175 0004 -4.84375e+00  6.74768e-01  1.00625e+00 -3.01935e-04 -3.01935e-04  9.96890e-01  9.74523e-06  9.96890e-01 -1.43720e-03 -3.37724e-03  1.63072e-04  1.63072e-04  1.67281e-03 -5.25115e-06  1.67281e-03  1.51085e-04 -5.20263e-06 -5.20263e-06 -5.61798e-07  8.24306e-01  2.06288e-05 -6.55794e-07 -6.55794e-07
00175 0005 -4.53125e+00  6.57560e-01  1.00768e+00 -3.96870e-04 -3.96870e-04  9.96181e-01  1.36944e-05  9.96181e-01 -1.80085e-03 -4.24129e-03  2.18759e-04  2.18759e-04  2.09627e-03 -7.54678e-06  2.09627e-03  7.74935e-05 -2.86690e-06 -2.86690e-06  2.81264e-08  8.14424e-01  9.35459e-06 -2.71067e-07 -2.71067e-07
00175 0006 -4.21875e+00  6.38465e-01  1.00953e+00 -5.29048e-04 -5.29048e-04  9.95267e-01  1.96116e-05  9.95267e-01 -2.27623e-03 -5.38138e-03  2.98158e-04  2.98158e-04  2.65235e-03 -1.10537e-05  2.65235e-03 -7.84414e-05  3.42974e-06  3.42974e-06  1.86437e-06  8.03412e-01 -1.20531e-05  4.37766e-07  4.37766e-07
00175 0007 -3.90625e+00  6.17168e-01  1.01196e+00 -7.16239e-04 -7.16239e-04  9.94075e-01  2.86796e-05  9.94075e-01 -2.90137e-03 -6.92596e-03  4.13703e-04  4.13703e-04  3.40120e-03 -1.65648e-05  3.40120e-03 -4.01402e-04  1.61830e-05  1.61830e-05 -2.55576e-06  7.91072e-01 -5.09783e-05  2.00881e-06  2.00881e-06
00175 0008 -3.59375e+00  5.93281e-01  1.01515e+00 -9.86002e-04 -9.86002e-04  9.92511e-01  4.29140e-05  9.92511e-01 -3.72880e-03 -9.02542e-03  5.84951e-04  5.84951e-04  4.41094e-03 -2.54522e-05  4.41094e-03 -1.02091e-03  4.51184e-05  4.51184e-05  1.52616e-06  7.77154e-01 -1.16549e-04  5.12160e-06  5.12160e-06
00175 0009 -3.28125e+00  5.66327e-01  1.01941e+00 -1.38265e-03 -1.38265e-03  9.90434e-01  6.58853e-05  9.90434e-01 -4.81427e-03 -1.19255e-02  8.45210e-04  8.45210e-04  5.79094e-03 -4.02417e-05  5.79094e-03 -2.19023e-03  1.04765e-04  1.04765e-04 -1.06016e-06  7.61336e-01 -2.27944e-04  1.08947e-05  1.08947e-05
00175 0010 -2.96875e+00  5.35725e-01  1.02516e+00 -1.97883e-03 -1.97883e-03  9.87655e-01  1.04176e-04  9.87655e-01 -6.24107e-03 -1.59985e-02  1.25053e-03  1.25053e-03  7.70175e-03 -6.57832e-05  7.70175e-03 -4.42577e-03  2.32484e-04  2.32484e-04 -5.34111e-06  7.43189e-01 -4.13102e-04  2.17092e-05  2.17092e-05
00175 0011 -2.65625e+00  5.00752e-01  1.03298e+00 -2.89523e-03 -2.89523e-03  9.83913e-01  1.70307e-04  9.83913e-01 -8.09364e-03 -2.17944e-02  1.89784e-03  1.89784e-03  1.03690e-02 -1.11593e-04  1.03690e-02 -8.64302e-03  5.07860e-04  5.07860e-04 -4.59082e-06  7.22121e-01 -7.11427e-04  4.17973e-05  4.17973e-05
00176 0004 -2.42188e+00  4.70118e-01  1.04137e+00 -1.98293e-03 -1.98293e-03  9.79941e-01  6.39676e-05  9.79941e-01 -9.87677e-03 -2.82585e-02  1.34129e-03  1.34129e-03  1.32908e-02 -4.32426e-05  1.32908e-02 -1.44103e-02  4.65216e-04  4.65216e-04 -3.05749e-06  7.03277e-01 -1.05919e-03  3.41620e-05  3.41620e-05
00176 0005 -2.26562e+00  4.48360e-01  1.04784e+00 -2.44787e-03 -2.44787e-03  9.76911e-01  8.44181e-05  9.76911e-01 -1.12125e-02 -3.34704e-02  1.69386e-03  1.69386e-03  1.55946e-02 -5.83797e-05  1.55946e-02 -2.00206e-02  6.89770e-04  6.89770e-04 -4.83554e-06  6.89606e-01 -1.35275e-03  4.66571e-05  4.66571e-05
00176 0006 -2.10938e+00  4.24918e-01  1.05548e+00 -3.04451e-03 -3.04451e-03  9.73372e-01  1.12777e-04  9.73372e-01 -1.26943e-02 -3.98291e-02  2.15767e-03  2.15767e-03  1.83531e-02 -7.98930e-05  1.83531e-02 -2.78468e-02  1.03301e-03  1.03301e-03 -7.71988e-06  6.74550e-01 -1.71168e-03  6.34006e-05  6.34006e-05
00176 0007 -1.95312e+00  3.99627e-01  1.06451e+00 -3.81601e-03 -3.81601e-03  9.69242e-01  1.52671e-04  9.69242e-01 -1.43327e-02 -4.76416e-02  2.77613e-03  2.77613e-03  2.16694e-02 -1.11038e-04  2.16694e-02 -3.88342e-02  1.55339e-03  1.55339e-03 -1.36604e-05  6.57850e-01 -2.14294e-03  8.57154e-05  8.57154e-05
00176 0008 -1.79688e+00  3.72312e-01  1.07516e+00 -4.82274e-03 -4.82274e-03  9.64434e-01  2.09715e-04  9.64434e-01 -1.61183e-02 -5.72652e-02  3.61196e-03  3.61196e-03  2.56519e-02 -1.56999e-04  2.56519e-02 -5.43489e-02  2.36172e-03  2.36172e-03 -1.32619e-05  6.39172e-01 -2.64906e-03  1.15166e-04  1.15166e-04
00176 0009 -1.64062e+00  3.42800e-01  1.08771e+00 -6.14873e-03 -6.14873e-03  9.58869e-01  2.92824e-04  9.58869e-01 -1.80432e-02 -6.92078e-02  4.75667e-03  4.75667e-03  3.04523e-02 -2.26459e-04  3.04523e-02 -7.64496e-02  3.63954e-03  3.63954e-03 -1.17399e-05  6.18082e-01 -3.22279e-03  1.53434e-04  1.53434e-04
00176 0010 -1.48438e+00  3.10921e-01  1.10238e+00 -7.91050e-03 -7.91050e-03  9.52489e-01  4.16363e-04  9.52489e-01 -2.00899e-02 -8.40448e-02  6.34759e-03  6.34759e-03  3.62195e-02 -3.34045e-04  3.62195e-02 -1.08229e-01  5.69532e-03  5.69532e-03 -5.81658e-06  5.94013e-01 -3.83966e-03  2.02051e-04  2.02051e-04
00176 0011 -1.32812e+00  2.76548e-01  1.11927e+00 -1.02675e-02 -1.02675e-02  9.45313e-01  6.03959e-04  9.45313e-01 -2.22361e-02 -1.02470e-01  8.59384e-03  8.59384e-03  4.31184e-02 -5.05429e-04  4.31184e-02 -1.54448e-01  9.08447e-03  9.08447e-03 -7.22814e-06  5.66203e-01 -4.44734e-03  2.61569e-04  2.61569e-04
00177 0004 -1.21094e+00  2.48188e-01  1.13494e+00 -6.33687e-03 -6.33687e-03  9.38706e-01  2.04433e-04  9.38706e-01 -2.39475e-02 -1.20676e-01  5.50584e-03  5.50584e-03  4.98456e-02 -1.77649e-04  4.98456e-02 -2.05325e-01  6.62316e-03  6.62316e-03 -7.18679e-06  5.41473e-01 -4.86712e-03  1.56997e-04  1.56997e-04
00177 0005 -1.13281e+00  2.29016e-01  1.14499e+00 -7.26322e-03 -7.26322e-03  9.34587e-01  2.50459e-04  9.34587e-01 -2.50867e-02 -1.33488e-01  6.48730e-03  6.48730e-03  5.43991e-02 -2.23645e-04  5.43991e-02 -2.47273e-01  8.52621e-03  8.52621e-03 -5.00965e-06  5.23648e-01 -5.06699e-03  1.74700e-04  1.74700e-04
00177 0006 -1.05469e+00  2.09245e-01  1.15517e+00 -8.33278e-03 -8.33278e-03  9.30475e-01  3.08630e-04  9.30475e-01 -2.62502e-02 -1.47519e-01  7.67056e-03  7.67056e-03  5.93054e-02 -2.84082e-04  5.93054e-02 -2.98542e-01  1.10570e-02  1.10570e-02 -6.72028e-06  5.04167e-01 -5.18810e-03  1.92137e-04  1.92137e-04
00177 0007 -9.76562e-01  1.88927e-01  1.16509e+00 -9.55711e-03 -9.55711e-03  9.26526e-01  3.82296e-04  9.26526e-01 -2.74590e-02 -1.62625e-01  9.10039e-03  9.10039e-03  6.45190e-02 -3.64002e-04  6.45190e-02 -3.61195e-01  1.44475e-02  1.44475e-02 -8.22557e-06  4.82794e-01 -5.20228e-03  2.08063e-04  2.08063e-04
