system	radius	alpha	beta	chi_beta	angle_sweep_worst_condition	angle_sweep_worst_angle	angle_sweep_min_geometric_dimension	angle_sweep_max_imaginary
compatible_gamma2_0	0.03	0.014913033114622045	0.7094535448806336	47.57271974304296	95.15594855057896	1.5707963267948966	50	4.16120134549785e-17
compatible_gamma2_1	0.03	0.014913033114622045	0.7094535448806336	47.57271974304296	95.17696435907779	1.5707963267948966	50	2.917313807271307e-17
standard_gamma2_1	0.03	0.014913033114622045	0.7094535448806336	47.57271974304296	2.414213562373101	0.0	50	0.0
standard_gamma2_1_driver	0.03	0.014913033114622045	0.7094535448806336	47.57271974304296	4.685557720283005	0.0	61	1.442222014787673e-16
compatible_gamma2_0	0.05	0.025797974402379183	0.6989910379813078	27.09480314535254	211.23526975680858	1.5271630954950384	50	3.599212915939117e-17
compatible_gamma2_1	0.05	0.025797974402379183	0.6989910379813078	27.09480314535254	211.239220258057	1.5271630954950384	50	3.4711287448250075e-17
standard_gamma2_1	0.05	0.025797974402379183	0.6989910379813078	27.09480314535254	2.4142135623731056	1.5271630954950384	50	5.434150920177133e-18
standard_gamma2_1_driver	0.05	0.025797974402379183	0.6989910379813078	27.09480314535254	4.685557720282965	0.0	61	1.9229626863835638e-16
compatible_gamma2_0	0.08	0.042461141961337025	0.6830144679073602	16.085635862767862	77.34900121390154	1.5271630954950384	50	7.763296452027376e-17
compatible_gamma2_1	0.08	0.042461141961337025	0.6830144679073602	16.085635862767862	77.36632985086453	1.5271630954950384	50	7.763296452027376e-17
standard_gamma2_1	0.08	0.042461141961337025	0.6830144679073602	16.085635862767862	2.4142135623731	0.4363323129985824	50	0.0
standard_gamma2_1_driver	0.08	0.042461141961337025	0.6830144679073602	16.085635862767862	4.685557720282978	0.0	61	6.359601310784502e-17
compatible_gamma2_0	0.125	0.06756281570304905	0.6590412563472278	9.754496604224354	92.02553782780798	1.48352986419518	50	9.225076119881666e-17
compatible_gamma2_1	0.125	0.06756281570304905	0.6590412563472278	9.754496604224354	92.03815464909492	1.48352986419518	50	9.511854474873706e-17
standard_gamma2_1	0.125	0.06756281570304905	0.6590412563472278	9.754496604224354	2.4142135623731007	1.48352986419518	50	1.9325194591118383e-17
standard_gamma2_1_driver	0.125	0.06756281570304905	0.6590412563472278	9.754496604224354	4.685557720282966	0.0	61	4.6027415078689346e-17
compatible_gamma2_0	0.2	0.10859267735908444	0.6201126946704503	5.7104466871179325	947.7845041058958	1.3962634015954636	50	1.3601366038761432e-16
compatible_gamma2_1	0.2	0.10859267735908444	0.6201126946704503	5.7104466871179325	947.7855680912497	1.3962634015954636	50	1.7309777840785e-16
standard_gamma2_1	0.2	0.10859267735908444	0.6201126946704503	5.7104466871179325	2.414213562373233	1.3962634015954636	50	3.5121772160663216e-17
standard_gamma2_1_driver	0.2	0.10859267735908444	0.6201126946704503	5.7104466871179325	4.685557720282973	0.0	61	1.594436429147036e-16
compatible_gamma2_0	0.4	0.20881373343791912	0.526521487919542	2.5214887893189184	93.97114814438324	1.1780972450961724	50	2.4337567986419736e-16
compatible_gamma2_1	0.4	0.20881373343791912	0.526521487919542	2.5214887893189184	93.98217118742987	1.1780972450961724	50	2.566063222408557e-16
standard_gamma2_1	0.4	0.20881373343791912	0.526521487919542	2.5214887893189184	2.414213562373114	1.1344640137963142	50	7.850462293418876e-17
standard_gamma2_1_driver	0.4	0.20881373343791912	0.526521487919542	2.5214887893189184	4.685557720282968	0.0	61	5.551115123125783e-17
compatible_gamma2_0	0.8	0.36626738114458873	0.3848306712133451	1.0506823458063503	217.58532342646672	0.30543261909900765	50	2.1857479240410793e-15
compatible_gamma2_1	0.8	0.36626738114458873	0.3848306712133451	1.0506823458063503	217.58991004224217	0.30543261909900765	50	2.1857479240410793e-15
standard_gamma2_1	0.8	0.36626738114458873	0.3848306712133451	1.0506823458063503	2.414213562374244	0.30543261909900765	50	1.0211319743076317e-16
standard_gamma2_1_driver	0.8	0.36626738114458873	0.3848306712133451	1.0506823458063503	4.685557720282968	0.0	61	4.8308233509418156e-17
compatible_gamma2_0	1.5	0.5421309731192219	0.2376922852303218	0.43844070347563424	1.5303336700544157	1.5707963267948966	50	4.300362044799879e-17
compatible_gamma2_1	1.5	0.5421309731192219	0.2376922852303218	0.43844070347563424	2.5725111653269312	1.5707963267948966	50	7.76950451193906e-17
standard_gamma2_1	1.5	0.5421309731192219	0.2376922852303218	0.43844070347563424	2.4142135623730994	0.04363323129985824	50	1.1102230246251568e-16
standard_gamma2_1_driver	1.5	0.5421309731192219	0.2376922852303218	0.43844070347563424	4.685557720282964	0.0	61	6.727102432936726e-17
compatible_gamma2_0	3.0	0.721568851571684	0.10776369504067192	0.1493463788049423	1.1604370477670045	1.5707963267948966	50	7.947244264317537e-17
compatible_gamma2_1	3.0	0.721568851571684	0.10776369504067192	0.1493463788049423	2.4331681425415277	1.5707963267948966	50	1.017621499207851e-16
standard_gamma2_1	3.0	0.721568851571684	0.10776369504067192	0.1493463788049423	2.4142135623731007	0.0	50	5.0872078419997244e-17
standard_gamma2_1_driver	3.0	0.721568851571684	0.10776369504067192	0.1493463788049423	4.6855577202829695	0.0	61	2.1499376424746292e-16
compatible_gamma2_0	5.0	0.8197022854451026	0.051362022601565804	0.06265936244605681	1.0646205371939346	1.5707963267948966	50	7.654025076424632e-17
compatible_gamma2_1	5.0	0.8197022854451026	0.051362022601565804	0.06265936244605681	2.4175621763377158	1.5707963267948966	50	9.778639058736823e-17
standard_gamma2_1	5.0	0.8197022854451026	0.051362022601565804	0.06265936244605681	2.4142135623730994	1.4398966328953218	50	3.1031676915590914e-17
standard_gamma2_1_driver	5.0	0.8197022854451026	0.051362022601565804	0.06265936244605681	4.685557720282966	0.0	61	3.040470972244059e-16
