block,level,x,y,z,r,h,w,rho,alpha,K,product_derivative_defect,half_ell_factorized,half_ell_direct,energy_rate_margin,frozen_spectral_abscissa
0,1,-7.75,-7.75,-7.75,13.423393758658799,0.5,0.930265925295571,0.9991368225751354,0.929462940749735,9.004016628102609e-06,7.540981928466679e-08,0.0004112389609322716,0.00041131437075155627,15.999664716667407,-15.999945856251747
0,1,-4.25,-4.75,-7.25,9.65336728815391,0.5,0.9041982762171742,0.999772962722655,0.9039929895023618,-0.00035429658995513475,1.0121493151253224e-06,3.4167400525099683e-06,4.2297013400933885e-06,15.99807614163128,-15.999146333534242
0,1,-6.75,-6.75,-5.75,11.143944544011335,0.5,0.9162145851016589,0.9992777299405124,0.9155528307387741,-0.0001502111711371424,7.590016374334049e-07,9.59520217364084e-07,1.1637347647092566e-06,15.99901274629701,-15.99964796932646
1,1,-0.75,-4.75,-5.25,7.119515432949071,0.5,0.8723637599390349,1.0056709835164894,0.877310920442032,-0.0020107649002886205,2.8315799615770143e-06,6.453682526752628e-08,2.7679369779018906e-06,15.992776282665393,-15.995648147996738
2,1,-6.75,-3.25,-7.75,10.779030568655049,0.5,0.913949593049322,0.9993257719344056,0.9133333825831496,-0.0001594171943250585,6.11598146143361e-07,0.00032054866679203005,0.0003209369682134692,15.998877585357183,-15.999630502756734
2,1,-4.25,-0.25,-6.25,7.562241731127087,0.5,0.8793538606451397,1.0038527616461332,0.8827418014728124,-0.001474176201338468,3.1278274085499004e-06,2.764670062001625e-07,3.0875719923423588e-06,15.994340421247076,-15.996774693816896
3,1,-0.75,-1.75,-4.75,5.11737237261468,0.5,0.828154233436432,1.0262040867091669,0.8498552587779639,-0.0058268997860985725,1.2061625698275354e-05,1.5340969496144588e-05,3.2901868722114348e-06,15.975841698441144,-15.98735757613068
4,1,-6.25,-7.25,-1.25,9.65336728815391,0.5,0.9042224420553451,0.9998728454936616,0.9041074660971055,-0.0003544031907478087,1.293496964101971e-06,2.9355540492544144e-06,3.6905084860489803e-06,15.998004016526927,-15.99917984327754
5,1,-3.75,-4.25,-2.75,6.299801584177076,0.5,0.8573671782121683,1.0103660124879894,0.866254657088308,-0.003402785672525365,2.3497089352280887e-06,2.473773273156788e-05,2.3226024058736636e-05,15.988500569522772,-15.99272460014934
7,2,-3.625,-3.125,-3.875,6.158073968376801,0.25,0.8544004774744611,1.0118713762627003,0.8645433870215913,-0.0035812391418240516,9.757880327953922e-06,2.4158627943082614e-05,3.32991222424763e-05,15.987642170499582,-15.99225618754764
7,2,-2.125,-2.125,-2.125,3.680607966083864,0.25,0.7745583139678301,1.0583433025914706,0.8197486040543945,-0.006332870559471744,1.7337961301264973e-05,3.354241707627573e-07,1.7002537130502217e-05,15.957593702580462,-15.981645026465737
8,2,-0.625,-3.375,-2.375,4.173951964266,0.25,0.7959801470622881,1.0463719525204214,0.8328913006490586,-0.007541736436600482,3.833800898409227e-05,5.894060367853582e-06,4.385031011200053e-05,15.962527645664261,-15.982453476532724
10,2,-0.375,-0.625,-2.625,2.724311839712921,0.25,0.7183716745653682,1.0882963138648607,0.7818012454144175,-0.003605867375614407,7.495548010657921e-05,8.935294159117307e-06,6.602470564417325e-05,15.909431518255639,-15.949376964779375
11,2,-3.125,-2.375,-1.625,4.248161366991607,0.25,0.798964456279438,1.0435724934767565,0.8337773298388341,-0.006738102101492009,2.6481416479743707e-05,3.6657813478232397e-07,2.6139354711134388e-05,15.96631174152264,-15.984206469022588
11,2,-2.125,-2.125,-1.625,3.416412592179112,0.25,0.7612647998129726,1.0662993195872452,0.8117361380662931,-0.005958117809369345,1.8286288498817474e-05,1.3123060308309992e-06,1.7016258762882162e-05,15.951085164490397,-15.975661181700124
13,2,-2.375,-0.875,-1.375,2.8804296554507283,0.25,0.7292668789100408,1.0840136289963442,0.7905352359141109,-0.004725963563174893,4.660044561108625e-05,4.800666075515523e-05,6.700609326531777e-06,15.92782341458076,-15.95718948902385
14,3,-1.0625,-1.0625,-1.3125,1.995111212439046,0.125,0.6524158521076133,1.113416896390058,0.7264108332093339,0.006519804040867771,4.765339953414565e-05,1.1061595476216815e-06,4.671430838990048e-05,15.886642842833233,-15.888939583338804
15,3,-0.6875,-1.9375,-1.6875,2.6597403538691515,0.125,0.7135033175361554,1.0920073611913705,0.7791508749839455,-0.0037205893561145656,9.382630649990207e-05,0.00027904859137713005,0.0003653896875016714,15.919140668549897,-15.946014069070017
