time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,Mx-norm2,My-norm2,Mz-norm2,Theta-norm,Volume,max_abs_K,nmb_total,maxAbsKret,maxRefLev,maxNmbRank,ahStatus,ahLastCyc,cycle,axisLapse,axisTau,axisKret,ax-C2,ax-H2,ax-M2,ax-Z2,ax-N,off-C2,off-H2,off-M2,off-Z2,off-Vol,L0-C2,L0-H2,L0-M2,L0-Z2,L0-N,L1-C2,L1-H2,L1-M2,L1-Z2,L1-N,L2-C2,L2-H2,L2-M2,L2-Z2,L2-N,L3-C2,L3-H2,L3-M2,L3-Z2,L3-N,L4-C2,L4-H2,L4-M2,L4-Z2,L4-N,C-Linf,C-rho,C-z,H-Linf,H-rho,H-z,M-Linf,M-rho,M-z,Z-Linf,Z-rho,Z-z,muMin,muMax,segment
0.0,0.010825573171132733,0.006788026301282291,0.00678452083299192,0.0,8.763670725927916e-07,0.0,0.0,0.0,0.0,47761.35772252527,0.0,32.0,92.71650721348777,0.0,32.0,0.0,-1.0,0.0,0.6158873637484358,0.0,0.0005646155346164565,5.7803843948624955e-05,5.780384394862492e-05,0.0,3.2615891062256793e-25,1280.0,0.006785171825352222,0.006781666357061881,0.0,8.763670725927906e-07,47661.8848046676,1.1542001097906406e-05,1.1542001097906406e-05,0.0,1.1174089872308848e-28,256.0,1.1531406648035564e-05,1.1531406648035568e-05,0.0,7.990030049157254e-29,256.0,1.152905408226087e-05,1.1529054082260869e-05,0.0,7.267618052310452e-28,256.0,1.1519443043279124e-05,1.1519443043279124e-05,0.0,1.605059865881829e-26,256.0,1.1681939077142964e-05,1.1681939077142964e-05,0.0,3.0918990895930353e-25,256.0,0.011207681938085828,5.4375,-0.0625,0.011207636146490578,5.4375,-0.0625,0.0,0.0625,-15.9375,0.00010392303349232506,5.1875,-0.0625,0.0,0.0,0.0
0.021598514003002063,0.0026892123743513987,0.007845822036179215,0.007728341577199057,9.563895916996808e-06,2.6946885994267463e-05,9.503775694034701e-06,3.4156807518072287e-06,0.0,1.2901908609122939e-07,47761.201843116054,0.01917588962437704,50.0,95.26977104836106,2.0,50.0,0.0,-1.0,4.0,0.6158792140664933,0.01330220800039391,0.0005647271440046263,5.7568355557671937e-05,5.756694111253752e-05,1.3824470556205275e-09,1.0350395370983164e-13,1600.0,0.007843025902198639,0.007725545503656093,9.563836956123457e-06,2.6946885989232368e-05,47689.9894093952,1.153796100423359e-05,1.1537734193037292e-05,2.1974319843139812e-10,2.0726663149387708e-14,320.0,1.1514840629765198e-05,1.1514561108478381e-05,2.735750636399297e-10,2.0720148250730828e-14,320.0,1.1519423901927e-05,1.1519169015947157e-05,2.484679727757342e-10,2.0707218975706508e-14,320.0,1.1502687861409873e-05,1.150235618291487e-05,3.2564979835464527e-10,2.0687856580557516e-14,320.0,1.1493442160336243e-05,1.149312061215981e-05,3.150110224188206e-10,2.066206675344901e-14,320.0,0.011732828093427038,5.390625,0.140625,0.011683107957903107,5.421875,0.140625,0.0005112232604050038,5.234375,0.046875,0.0006653112966823316,5.515625,-0.234375,0.01917588962437704,0.01917588962437704,0.0
0.0323339362027115,0.0026804678239990168,0.007703043888487468,0.0075583627831623985,3.761791208666081e-05,2.668234774026561e-05,3.479126090562115e-05,1.5006988502785548e-05,0.0,3.3380227734552855e-07,47761.20036341542,0.02865191868854781,50.0,95.12997863152698,2.0,50.0,0.0,-1.0,8.0,0.6158792153573134,0.019913931393885045,0.0005647320371933085,5.7538791697158606e-05,5.753557419393012e-05,3.145053741863959e-09,4.836443987344622e-13,1600.0,0.0077002491307998295,0.007555568160341594,3.761778055188712e-05,2.6682347716741586e-05,47689.98792810493,1.1532150450020998e-05,1.1531663593704372e-05,4.710091307802785e-10,9.684773920412142e-14,320.0,1.1509382130705227e-05,1.1508772819899918e-05,5.959440534292547e-10,9.681779242665011e-14,320.0,1.1513464052882734e-05,1.1512884583553714e-05,5.649562032480886e-10,9.675839551418328e-14,320.0,1.1496643449768053e-05,1.1495887488696654e-05,7.421544225921012e-10,9.666946857297173e-14,320.0,1.1487151613781483e-05,1.1486365708075434e-05,7.709899318142384e-10,9.655100301653613e-14,320.0,0.011516221718911805,5.421875,0.140625,0.011487647620706918,5.421875,0.140625,0.0009514921395207217,5.734375,-0.015625,0.0006561650338207446,5.515625,-0.234375,0.02865191868854781,0.02865191868854781,0.0
0.043032267444340654,0.0026711535002255453,0.007481758412228403,0.0072942229319802165,8.178074487316474e-05,2.6279717977706666e-05,7.431909852949896e-05,3.342894235647598e-05,0.0,6.358634641955172e-07,47761.19831369012,0.03806266046978171,50.0,94.93258805338193,2.0,50.0,0.0,-1.0,12.0,0.6158792171711779,0.026502811253897883,0.000564736645474709,5.7501113850053155e-05,5.749547359601774e-05,5.511154984745453e-09,1.407977516554361e-12,1600.0,0.007478965402925616,0.007291430156371104,8.17805171094921e-05,2.6279717909223287e-05,47689.98587616385,1.1524785610544588e-05,1.1523959522582611e-05,7.979941978832267e-10,2.8193537726929924e-13,320.0,1.1502466816731884e-05,1.1501422719356488e-05,1.020336167476414e-09,2.81849690945664e-13,320.0,1.1505890665215682e-05,1.1504875614048216e-05,9.892153892124227e-10,2.816798548204443e-13,320.0,1.1488849761086357e-05,1.1487523250032253e-05,1.3017564649114732e-09,2.814256527879155e-13,320.0,1.1479120996474646e-05,1.1477692489998158e-05,1.4018527652619155e-09,2.8108694073103893e-13,320.0,0.01119916429254259,5.421875,0.140625,0.011163650717321479,5.421875,0.140625,0.0013912829839773946,5.734375,-0.015625,0.0006447799788735879,4.890625,-0.234375,0.03806266046978171,0.03806266046978171,0.0
0.05369155011141458,0.002661073242869494,0.007211945792940595,0.006971135100598365,0.0001366266750238421,2.5792966611983197e-05,0.00012359032159342084,5.6206209915286925e-05,0.0,1.0121508704543998e-06,47761.195710435684,0.04739625666285275,50.0,94.67942078106503,2.0,50.0,0.0,-1.0,16.0,0.6158792194429223,0.03306764193025075,0.000564741159010134,5.7456569821315573e-05,5.7448006839923e-05,8.361379689584022e-09,3.1580546662577774e-12,1600.0,0.007209154846931164,0.006968344506559477,0.00013662633231172156,2.5792966458374616e-05,47689.98327007654,1.1516094012477747e-05,1.1514866149336248e-05,1.1841170587409155e-09,6.323588020703846e-13,320.0,1.1494330565663735e-05,1.1492765772562231e-05,1.5276995121752868e-09,6.321700997802929e-13,320.0,1.1496942717015157e-05,1.149540413202726e-05,1.4982661568113255e-09,6.317964406363805e-13,320.0,1.1479590855765622e-05,1.1477573461617462e-05,1.9786042388920987e-09,6.312371979640994e-13,320.0,1.1469611670393308e-05,1.1467397324379878e-05,2.172692722964386e-09,6.304921258066195e-13,320.0,0.010761701377778328,5.421875,0.140625,0.0107201034214734,5.421875,0.015625,0.001807923229543598,5.734375,-0.015625,0.000629188496186669,4.890625,0.234375,0.04739625666285275,0.04739625666285275,0.0
0.06431114897518597,0.0026509970039454286,0.00692779460419337,0.006629462989621989,0.00019574340998023483,2.528810551614114e-05,0.0001772619707928855,8.043540753980579e-05,0.0,1.4357825265820506e-06,47761.192572432934,0.05664226426972573,50.0,94.38714916489158,2.0,50.0,0.0,-1.0,20.0,0.6158792220977791,0.03960803220307104,0.0005647458443454737,5.7406503572567494e-05,5.73946478269303e-05,1.1566397322043573e-08,5.9995990035781214e-12,1600.0,0.0069250059752470955,0.006626674845105339,0.00019574293884396988,2.5288105224312027e-05,47689.98012862726,1.1506317548596164e-05,1.1504642547542637e-05,1.6123091352966838e-09,1.2013114208684383e-12,320.0,1.1485226120219477e-05,1.148307472983181e-05,2.0981086538881876e-09,1.2009599257279366e-12,320.0,1.1486875691675118e-05,1.1484750586771624e-05,2.067261900267447e-09,1.2002648051531635e-12,320.0,1.1469178391603476e-05,1.1466378029762394e-05,2.744588733353068e-09,1.1992242464058928e-12,320.0,1.1458905820473264e-05,1.1455801933021847e-05,3.044128899238196e-09,1.1978386054226813e-12,320.0,0.010394674920416078,5.421875,0.015625,0.01035769511066764,5.421875,0.015625,0.002190616351229479,5.734375,-0.015625,0.0006092698565610351,4.890625,0.234375,0.05664226426972573,0.05664226426972573,0.0
0.0748899401529913,0.0026410297163541375,0.006661752298120933,0.0063079882931028715,0.00025263434316663596,2.481243547129036e-05,0.00022988381350226637,0.0001031982963863946,0.0,1.8799199662636922e-06,47761.18892094299,0.06579012761707298,50.0,94.04695276473782,2.0,50.0,0.0,-1.0,24.0,0.6158792250530256,0.04612328989980216,0.000564751040489777,5.735230604040414e-05,5.7336921777726185e-05,1.499283613459419e-08,1.0153533206231463e-11,1600.0,0.0066589661771101595,0.006305202797809983,0.0002526337354458605,2.481243497739405e-05,47689.97647308629,1.1495704431777215e-05,1.1493553900603188e-05,2.0657722404980083e-09,2.033008655639867e-12,320.0,1.1475413196746974e-05,1.1472629481407007e-05,2.7115269251911667e-09,2.0324264940785675e-12,320.0,1.147595307465377e-05,1.1473204119760231e-05,2.6707265034404576e-09,2.0312770472819323e-12,320.0,1.1457938433042907e-05,1.1454292467363156e-05,3.5704635977627833e-09,2.0295557012598325e-12,320.0,1.1447296904183314e-05,1.1443241808592625e-05,3.97434686770176e-09,2.0272653079712724e-12,320.0,0.009974177966290356,5.421875,0.015625,0.009928027596170506,5.421875,0.015625,0.0025276152140932336,5.734375,-0.015625,0.0005871379743498871,4.890625,0.234375,0.06579012761707298,0.06579012761707298,0.0
0.0854285202391188,0.002630793830705619,0.006439830310143676,0.006038385938510665,0.00030157678335918184,2.438654007038497e-05,0.00027661288987804964,0.00012194596849573475,0.0,2.321427992290175e-06,47761.184778767594,0.07483117795842802,50.0,93.65655991819783,2.0,50.0,0.0,-1.0,28.0,0.6158792282205638,0.05261378245294904,0.0005647571565321326,5.729535044272982e-05,5.7276333777839384e-05,1.8510016253894576e-08,1.5776330050808587e-11,1600.0,0.006437046826180205,0.0060356032252088295,0.0003015760360166251,2.438653930295509e-05,47689.97232626217,1.1484498264594046e-05,1.1481859749424347e-05,2.5287962141540262e-09,3.158752921058397e-12,320.0,1.1465145837499257e-05,1.1461703533426944e-05,3.3486788049438837e-09,3.157869833669443e-12,320.0,1.146443480553135e-05,1.146104963379353e-05,3.283932404817989e-09,3.156129420803163e-12,320.0,1.144619476105268e-05,1.1441669871296822e-05,4.42717002067054e-09,3.153522034961757e-12,320.0,1.1435076774052478e-05,1.1430050989897662e-05,4.921438809308152e-09,3.1500558403158004e-12,320.0,0.009499568173075193,5.421875,0.015625,0.009444766635473096,5.421875,0.015625,0.0028069830215558932,5.734375,-0.015625,0.0005633391419407987,4.890625,0.234375,0.07483117795842802,0.07483117795842802,0.0
0.09592755515941805,0.0026212511496685035,0.006279163308510419,0.005842042779663183,0.0003382730027306072,2.402601191913694e-05,0.00031376271755369824,0.00013478659274656575,0.0,2.743478440079596e-06,47761.180170463034,0.08375726854310454,50.0,93.2161814039489,2.0,50.0,0.0,-1.0,32.0,0.6158792315084517,0.05907991999391309,0.000564764663863053,5.7236951446706264e-05,5.721432298723686e-05,2.199488676276332e-08,2.294721121014236e-11,1600.0,0.006276382531863341,0.005839262917470104,0.0003382721174730878,2.4026010802842633e-05,47689.967712716876,1.1472931813058333e-05,1.1469807227040579e-05,2.9872955706327954e-09,4.594369802853948e-12,320.0,1.1454664228141737e-05,1.1450555280059159e-05,3.991592206326058e-09,4.593119795115022e-12,320.0,1.145257051293834e-05,1.1448559983343703e-05,3.88394158640297e-09,4.590661296779334e-12,320.0,1.143425712846986e-05,1.1428848242349998e-05,5.286765660563072e-09,4.58697674252379e-12,320.0,1.1422527764097954e-05,1.1416552254443473e-05,5.845291738838423e-09,4.582083572870265e-12,320.0,0.008984789196289292,5.421875,-0.015625,0.008922172327760117,5.421875,-0.015625,0.003017491723382995,5.734375,-0.015625,0.0005366874267731175,4.890625,0.234375,0.08375726854310454,0.08375726854310454,0.0
0.1063879499601375,0.0026114734300152717,0.006187331576905284,0.0057288874178618105,0.000360262306686038,2.3761201362210663e-05,0.00033916002314707315,0.00014066370621986147,0.0,3.137046908592549e-06,47761.175122087036,0.09256098728766918,50.0,92.72597179669344,2.0,50.0,0.0,-1.0,36.0,0.6158792348227742,0.06552225992239684,0.0005647740838745467,5.717832360517562e-05,5.715221636150316e-05,2.533668864834863e-08,3.1662871894986475e-11,1600.0,0.006184553523728322,0.005726110417513901,0.00036026128941359515,2.376119982186764e-05,47689.9626585133,1.1461220672281117e-05,1.1457624246835856e-05,3.4292779527982004e-09,6.339151343976042e-12,320.0,1.1444186507666586e-05,1.1439419299733282e-05,4.624103083647593e-09,6.3374796166720296e-12,320.0,1.1440592509635804e-05,1.1435987996348459e-05,4.450569000400694e-09,6.334199707923299e-12,320.0,1.142240949156145e-05,1.1416137789948175e-05,6.123339028398798e-09,6.32928141122868e-12,320.0,1.14099144240307e-05,1.14030470286374e-05,6.709399583103319e-09,6.322759815186446e-12,320.0,0.00843839714185041,5.421875,-0.015625,0.008368905083866946,5.421875,-0.015625,0.0031497040398786773,5.734375,-0.015625,0.0005059774147487504,4.890625,-0.265625,0.09256098728766918,0.09256098728766918,0.0
