time	cycle	diagnostic	maximum	radius	level	rank	gid	x	y	z	i	j	k
0.00000000000000000e+00	0	ADM_H	1.10718894675344431e-01	2.59807621135331601e+00	0	0	0	1.50000000000000000e+00	1.50000000000000000e+00	1.50000000000000000e+00	4	4	4
0.00000000000000000e+00	0	ADM_momentum	0.00000000000000000e+00	1.81865334794732121e+01	0	0	0	1.05000000000000000e+01	1.05000000000000000e+01	1.05000000000000000e+01	7	7	7
