[  1%] Built target kokkossimd
[  2%] Built target athena_amr_history_format_unit_test
[  2%] Built target athena_z4c_cartoon_regular_functionals_unit_test
[  9%] Built target kokkoscore
[  9%] Built target AlwaysCheckGit
[  9%] Built target kokkosalgorithms
[ 10%] Built target kokkoscontainers
[ 11%] Built target impl_git_version
[ 12%] Built target athena_z4c_cartoon_axis_boundary_unit_test
[ 12%] Built target athena_z4c_symmetry_dispatch_unit_test
[ 14%] Built target athena_z4c_cartoon_vertex_axis_unit_test
[ 14%] Built target athena_z4c_vertex_topology_unit_test
[ 15%] Built target athena_z4c_vertex_boundary_indices_unit_test
[ 15%] Built target athena_z4c_vertex_history_quadrature_unit_test
[ 17%] Built target athena_z4c_vertex_derivatives_unit_test
[ 17%] Built target athena_z4c_symmetry_validation_unit_test
[ 18%] Built target athena_cartoon_mms_structure_unit_test
[ 19%] Built target athena_z4c_vertex_amr_unit_test
[ 19%] Built target athena_z4c_irisk_coordinate_map_unit_test
[ 19%] Built target athena_z4c_shared_geometry_policy_unit_test
[ 20%] Built target athena_stored_domain_bounds_unit_test
[ 21%] Built target athena_z4c_cartoon_axis_parity_unit_test
[ 22%] Built target athena_z4c_vertex_to_cell_unit_test
[ 23%] Built target athena_z4c_cartoon_lattice_index_unit_test
[ 23%] Built target athena_z4c_amr_radius_unit_test
[ 24%] Built target athena_z4c_chi_preupdate_diagnostic_unit_test
[ 25%] Built target athena_z4c_cartoon_axis_centered_derivatives_unit_test
[ 26%] Built target athena_cartoon_mms_generated_reference_unit_test
[ 27%] Built target athena_z4c_chi_prolongation_unit_test
[ 29%] Built target athena_z4c_telegraph_damping_unit_test
[ 30%] Built target athena_z4c_timestep_contract_unit_test
[ 30%] Built target athena_z4c_cartoon_amr_transfer_qualification_unit_test
[ 31%] Built target athena_z4c_state_admissibility_unit_test
[ 32%] Built target athena_amr_cadence_unit_test
[ 32%] Built target athena_z4c_cartoon_m0_fastflow_unit_test
[ 33%] Built target athena_z4c_grid_layout_unit_test
[ 34%] Built target athena_z4c_amr_shadow_sensor_unit_test
[ 34%] Built target athena_z4c_coarse_cache_ownership_unit_test
[ 34%] Built target athena_pdf_scatter_unit_test
[ 35%] Built target athena_pdf_validation_unit_test
[ 37%] Built target athena_z4c_amr_jump_diagnostic_unit_test
[ 38%] Building CXX object src/CMakeFiles/athena.dir/mesh/load_balance.cpp.o
[ 39%] Building CXX object src/CMakeFiles/athena.dir/pgen/tests/z4c_vc_minkowski.cpp.o
[ 39%] Building CXX object src/CMakeFiles/athena.dir/pgen/unit_tests/eos_compose.cpp.o
[ 39%] Building CXX object src/CMakeFiles/athena.dir/pgen/z4c/kerr_puncture.cpp.o
[ 40%] Building CXX object src/CMakeFiles/athena.dir/pgen/unit_tests/gauss_legendre.cpp.o
[ 40%] Building CXX object src/CMakeFiles/athena.dir/pgen/unit_tests/z4c_cartoon_derivatives.cpp.o
[ 40%] Building CXX object src/CMakeFiles/athena.dir/pgen/unit_tests/z4c_cartoon_derivatives_kernels.cpp.o
[ 41%] Building CXX object src/CMakeFiles/athena.dir/radiation/radiation.cpp.o
[ 41%] Building CXX object src/CMakeFiles/athena.dir/radiation/radiation_fluxes.cpp.o
[ 42%] Building CXX object src/CMakeFiles/athena.dir/radiation/radiation_newdt.cpp.o
[ 42%] Building CXX object src/CMakeFiles/athena.dir/radiation/radiation_source.cpp.o
[ 42%] Building CXX object src/CMakeFiles/athena.dir/radiation/radiation_tasks.cpp.o
[ 43%] Building CXX object src/CMakeFiles/athena.dir/radiation/radiation_tetrad.cpp.o
[ 43%] Building CXX object src/CMakeFiles/athena.dir/radiation/radiation_update.cpp.o
[ 43%] Building CXX object src/CMakeFiles/athena.dir/shearing_box/orbital_advection.cpp.o
[ 44%] Building CXX object src/CMakeFiles/athena.dir/shearing_box/orbital_advection_cc.cpp.o
[ 44%] Building CXX object src/CMakeFiles/athena.dir/shearing_box/orbital_advection_fc.cpp.o
[ 44%] Building CXX object src/CMakeFiles/athena.dir/shearing_box/orbital_advection_tasks.cpp.o
[ 45%] Building CXX object src/CMakeFiles/athena.dir/shearing_box/shearing_box.cpp.o
[ 45%] Building CXX object src/CMakeFiles/athena.dir/shearing_box/shearing_box_fc.cpp.o
[ 45%] Building CXX object src/CMakeFiles/athena.dir/shearing_box/shearing_box_cc.cpp.o
[ 46%] Building CXX object src/CMakeFiles/athena.dir/shearing_box/shearing_box_srcterms.cpp.o
[ 46%] Building CXX object src/CMakeFiles/athena.dir/shearing_box/shearing_box_tasks.cpp.o
[ 47%] Building CXX object src/CMakeFiles/athena.dir/srcterms/srcterms.cpp.o
[ 47%] Building CXX object src/CMakeFiles/athena.dir/srcterms/srcterms_newdt.cpp.o
[ 47%] Building CXX object src/CMakeFiles/athena.dir/srcterms/turb_driver.cpp.o
[ 48%] Building CXX object src/CMakeFiles/athena.dir/tasklist/numerical_relativity.cpp.o
[ 48%] Building CXX object src/CMakeFiles/athena.dir/units/units.cpp.o
[ 48%] Building CXX object src/CMakeFiles/athena.dir/utils/change_rundir.cpp.o
[ 50%] Building CXX object src/CMakeFiles/athena.dir/utils/derived_vars.cpp.o
[ 50%] Building CXX object src/CMakeFiles/athena.dir/utils/show_config.cpp.o
[ 50%] Building CXX object src/CMakeFiles/athena.dir/utils/lagrange_interpolator.cpp.o
[ 50%] Building CXX object src/CMakeFiles/athena.dir/utils/tr_table.cpp.o
[ 51%] Building CXX object src/CMakeFiles/athena.dir/utils/tov/tov.cpp.o
[ 51%] Building CXX object src/CMakeFiles/athena.dir/utils/cart_grid.cpp.o
[ 52%] Building CXX object src/CMakeFiles/athena.dir/utils/spherical_surface.cpp.o
[ 53%] Building CXX object src/CMakeFiles/athena.dir/z4c/curvature_diagnostics.cpp.o
[ 53%] Building CXX object src/CMakeFiles/athena.dir/z4c/compact_object_tracker.cpp.o
[ 53%] Building CXX object src/CMakeFiles/athena.dir/z4c/cartoon_m0_fastflow.cpp.o
[ 53%] Building CXX object src/CMakeFiles/athena.dir/z4c/fastflow.cpp.o
[ 54%] Building CXX object src/CMakeFiles/athena.dir/z4c/horizon_dump.cpp.o
[ 55%] Building CXX object src/CMakeFiles/athena.dir/z4c/chi_parent_provenance.cpp.o
[ 55%] Building CXX object src/CMakeFiles/athena.dir/z4c/tmunu.cpp.o
[ 55%] Building CXX object src/CMakeFiles/athena.dir/z4c/amr_jump_diagnostic.cpp.o
[ 55%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c.cpp.o
[ 55%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_adm.cpp.o
[ 56%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_calcrhs.cpp.o
[ 56%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_newdt.cpp.o
[ 56%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_tasks.cpp.o
[ 57%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_update.cpp.o
[ 57%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_gauge.cpp.o
[ 57%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_vertex_topology.cpp.o
[ 58%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_Sbc.cpp.o
[ 59%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_wave_extr.cpp.o
[ 60%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_amr.cpp.o
[ 59%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_restart.cpp.o
[ 60%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_symmetry.cpp.o
[ 60%] Building CXX object src/CMakeFiles/athena.dir/z4c/cce/cce.cpp.o
[ 60%] Building CXX object src/CMakeFiles/athena.dir/__/tst/unit/z4c/cartoon_production_kernel_test.cpp.o
[ 60%] Building CXX object src/CMakeFiles/athena.dir/z4c/z4c_calculate_weyl_scalars.cpp.o
[ 61%] Linking CXX executable athena
[100%] Built target athena
