test	resolution	time	field_Linf	native_constraint_Linf	native_GH_L2sq	bad_state
stationary_trumpet	8	1.0	6.8527483232524085e-10	6.4609428918060985e-10	7.164104177224826e-17	0
stationary_trumpet	12	1.0	6.8377630187200821e-10	5.6789062341522367e-10	6.298149900695531e-17	0
stationary_trumpet	16	1.0	6.2453753735515027e-10	4.0063243000876270e-10	2.450312345856780e-17	0

diagnostic	resolution	time	region	H_L2	H_Linf	M_L2	M_Linf
common_adm	16	0.0	whole	4.0075772739074972e-01	1.1699053860423849e+00	2.8743713652099273e-01	9.3681141058340256e-01
common_adm	24	0.0	whole	4.2847438341865723e-01	1.2665383239442121e+00	3.1769722338090900e-01	1.1964546433478129e+00
common_adm	32	0.0	whole	4.4867956022660321e-01	1.3156860154301779e+00	3.3372584455591203e-01	1.3562781851814620e+00
common_adm	16	0.0	r2to4	5.4637991161757018e-05	1.8825110366153981e-04	1.1928938915822105e-04	3.0066154293785751e-04
common_adm	24	0.0	r2to4	1.2091030206962884e-05	4.1995137895298879e-05	2.4676019823339624e-05	6.9478410146036994e-05
common_adm	32	0.0	r2to4	3.7760591313633033e-06	1.4485316957461860e-05	7.7380839374400261e-06	2.3748875532197849e-05
