region,field,metric,early_median_tau_0p5_2,at_tau_2,at_tau_3,terminal_tau,terminal,minimum_tau_ge_3
R4,C,p_128_256,7.908133335347196,7.765607119795885,7.109821523863624,3.986147425556009,7.315050914515826,7.109848697844284
R4,C,p_256_512,7.9434248904830635,7.929244398262331,7.83829682291364,3.986147425556009,7.831111023135582,7.8283012065470885
R4,C,p_self,7.908045943090174,7.764893120023409,7.1056563666548005,3.986147425556009,7.312311786993874,7.105677307858207
R4,H,p_128_256,8.027310425596117,7.817374561824844,6.984778368876141,3.986147425556009,7.265054566672921,6.987010300339289
R4,H,p_256_512,7.71708715686249,7.871235297549424,7.8346603713759695,3.986147425556009,7.830214647951473,7.82425676756224
R4,H,p_self,8.028653425168478,7.817139154094487,6.979676293028772,3.986147425556009,7.2619978653478245,6.981919241668131
R4,M,p_128_256,7.966744884918423,7.729732955551202,7.004386038172609,3.986147425556009,7.291777679449661,6.996830968642567
R4,M,p_256_512,7.895608500174995,7.907930853773533,7.83648212768814,3.986147425556009,7.7958367099316535,7.7958367099316535
R4,M,p_self,7.9671242616425335,7.728939710973667,6.999430930358945,3.986147425556009,7.289047787512886,6.991747185666661
R4,Z,p_128_256,7.877625935355605,7.773782580231944,7.4700823521611115,3.986147425556009,7.572305197208858,7.460384914120768
R4,Z,p_256_512,8.000895763433661,7.973770953782764,7.84931350604351,3.986147425556009,7.887876465841951,7.850324622665833
R4,Z,p_self,7.877137491966714,7.772925600365794,7.468192069987458,3.986147425556009,7.57080883628578,7.458404781910486
R8,C,p_128_256,7.714614953848607,7.045518890810793,6.847228939492124,3.986147425556009,5.381660585516131,5.381660585516131
R8,C,p_256_512,7.961682010274194,7.49802634561587,7.252899083866525,3.986147425556009,5.119567876305378,5.119567876305378
R8,C,p_self,7.713529187663363,7.042559251673864,6.844134053246525,3.986147425556009,5.388741166410835,5.388741166410835
R8,H,p_128_256,7.923283568225199,7.137115186527367,6.7884617819703115,3.986147425556009,6.618163255915652,6.618163255915652
R8,H,p_256_512,8.117646939933813,7.5391214151357895,7.208100037279187,3.986147425556009,6.901000978330102,6.901000978330102
R8,H,p_self,7.922531546555707,7.13460696530549,6.785141619780579,3.986147425556009,6.6155242400522996,6.6155242400522996
R8,M,p_128_256,7.567723038464971,6.242327651680818,6.2421103702312815,3.986147425556009,4.388458929489002,4.388458929489002
R8,M,p_256_512,7.958008925327617,7.111603624415557,6.8935499754513545,3.986147425556009,4.258099024258762,4.258099024258762
R8,M,p_self,7.565912261844529,6.233613905497281,6.235109289573367,3.986147425556009,4.395315931055891,4.395315931055891
R8,Z,p_128_256,7.532357276904262,7.428411515185657,7.364335043311811,3.986147425556009,6.527702990288675,6.527702990288675
R8,Z,p_256_512,7.884858047265805,7.881499130602611,7.775902778862764,3.986147425556009,6.078659894780703,6.078659894780703
R8,Z,p_self,7.530711155111414,7.426142792219781,7.362150326799063,3.986147425556009,6.533486560073962,6.533486560073962
R12,C,p_128_256,7.705313969610321,6.83499090284618,6.789485007410787,3.986147425556009,5.481140229329981,5.481140229329981
R12,C,p_256_512,7.965386934064392,7.2840321452283785,7.123400702644441,3.986147425556009,5.146166713476825,5.146166713476825
R12,C,p_self,7.704168570131803,6.83158509186829,6.786768301141138,3.986147425556009,5.489800925713094,5.489800925713094
R12,H,p_128_256,7.912196447606208,6.817000183944413,6.705824776290938,3.986147425556009,6.626603927495097,6.626603927495097
R12,H,p_256_512,8.120333181450995,7.207800693256562,7.057330009330806,3.986147425556009,6.8215027865625055,6.8215027865625055
R12,H,p_self,7.911388611457607,6.813940004044997,6.702810584239048,3.986147425556009,6.624741261711746,6.624741261711746
R12,M,p_128_256,7.547770370134665,6.0541783967884495,6.16311654039177,3.986147425556009,4.47555622126894,4.47555622126894
R12,M,p_256_512,7.951865568748612,7.025771740645336,6.7765534850792,3.986147425556009,4.2806881117590665,4.2806881117590665
R12,M,p_self,7.545877834999089,6.0434163179064955,6.156062091772062,3.986147425556009,4.485409495806782,4.485409495806782
R12,Z,p_128_256,7.423293495080405,7.3037797215024725,7.324865143077271,3.986147425556009,6.687159833435535,6.687159833435535
R12,Z,p_256_512,7.855503899143358,7.654382613810005,7.641413559067972,3.986147425556009,6.196204657643557,6.196204657643557
R12,Z,p_self,7.421255551939016,7.301798581260063,7.323082310480448,3.986147425556009,6.692902253832586,6.692902253832586
R14,C,p_128_256,7.7053139696132105,6.834990907623207,6.7894875358001086,3.986147425556009,5.48115269201663,5.48115269201663
R14,C,p_256_512,7.96538693406055,7.28403214860043,7.123401227566805,3.986147425556009,5.146186137872605,5.146186137872605
R14,C,p_self,7.704168570134723,6.831585096665753,6.786770848803296,3.986147425556009,5.489813109339047,5.489813109339047
R14,H,p_128_256,7.912196447606933,6.817000184958278,6.705824880681219,3.986147425556009,6.626536566527985,6.626536566527985
R14,H,p_256_512,8.120333181434166,7.207800693603026,7.057330040710294,3.986147425556009,6.821449026849929,6.821449026849929
R14,H,p_self,7.911388611458396,6.813940005065576,6.70281068940163,3.986147425556009,6.624673691607694,6.624673691607694
R14,M,p_128_256,7.547770370139551,6.05417839733182,6.163116780899888,3.986147425556009,4.475568533550529,4.475568533550529
R14,M,p_256_512,7.951865568744722,7.0257717407029965,6.776553521763915,3.986147425556009,4.280689609275232,4.280689609275232
R14,M,p_self,7.545877835004018,6.043416318457722,6.156062335346181,3.986147425556009,4.485422306335715,4.485422306335715
R14,Z,p_128_256,7.423293495083303,7.303779737222007,7.324869998990998,3.986147425556009,6.687157998977641,6.687157998977641
R14,Z,p_256_512,7.855503899143437,7.654382617710953,7.641414913942866,3.986147425556009,6.196277988614729,6.196277988614729
R14,Z,p_self,7.42125555194193,7.301798597060263,7.323087190052084,3.986147425556009,6.692899387494803,6.692899387494803
full,C,p_128_256,7.705277008880515,6.834964977201498,6.78944672935328,3.986147425556009,5.481127992961351,5.481127992961351
full,C,p_256_512,7.962465132861877,7.282049028886492,7.119681777248325,3.986147425556009,5.14557765210408,5.14557765210408
full,C,p_self,7.704143180716217,6.831571752582554,6.786756573762863,3.986147425556009,5.489805530622689,5.489805530622689
full,H,p_128_256,7.912048867878989,6.816956069002596,6.705798869757186,3.986147425556009,6.626519070299988,6.626519070299988
full,H,p_256_512,8.112238244340936,7.2065369442323055,7.056590396474822,3.986147425556009,6.820987082368384,6.820987082368384
full,H,p_self,7.911269693169913,6.813904104945281,6.702790023695479,3.986147425556009,6.624660138001012,6.624660138001012
full,M,p_128_256,7.547767160453391,6.05417695067856,6.163114908699941,3.986147425556009,4.475567978591148,4.475567978591148
full,M,p_256_512,7.950946372678507,7.025596655586227,6.77636304880624,3.986147425556009,4.280679826160201,4.280679826160201
full,M,p_self,7.5458783365859645,6.043416203811661,6.156062190110822,3.986147425556009,4.485422255900463,4.485422255900463
full,Z,p_128_256,7.423287328534075,7.303747321267936,7.324753188498225,3.986147425556009,6.686977979253603,6.686977979253603
full,Z,p_256_512,7.854327467201912,7.648080854845359,7.62181368038271,3.986147425556009,6.186038480328424,6.186038480328424
full,Z,p_self,7.421255867328992,7.301797479564852,7.32306898945912,3.986147425556009,6.692859686044663,6.692859686044663
