tag,gamma0,dissipation,final_time,ko_rate,final_gh_growth,final_gh_predicted,max_gh_absolute_error,max_reduction_l2,max_curl_l2,pass
g0p25_d0p0,0.25,0.0,0.2,0.0,0.975310207062348,0.9753099120283326,4.5359096023656065e-07,7.181622379379189e-18,0.0,True
g0p5_d0p0,0.5,0.0,0.2,0.0,0.9512297304016523,0.951229424500714,4.834678882792431e-07,7.069462497248288e-18,0.0,True
g1p0_d0p0,1.0,0.0,0.2,0.0,0.9048370018959216,0.9048374180359595,5.343867809370906e-07,6.949287733286053e-18,0.0,True
g0p25_d0p02,0.25,0.02,0.2,5.67534334371256e-07,0.975310207062348,0.9753098013239666,4.92794899775717e-07,7.18158756821916e-18,0.0,True
g0p5_d0p02,0.5,0.02,0.2,5.67534334371256e-07,0.9512297304016523,0.9512293165296485,5.198021636454442e-07,7.069427133792384e-18,0.0,True
g1p0_d0p02,1.0,0.02,0.2,5.67534334371256e-07,0.9048370018959216,0.904837315330705,5.171508163925864e-07,6.949258953298546e-18,0.0,True
