time	metric	coarse	medium	fine	resolution_reversed
0.5	r2to4_H_L2	1.0408510938903475e-06	2.1744828795721868e-07	7.834767951636818e-08	False
0.5	r4to8_H_L2	0.0005994397640017967	0.00138373850355881	0.002485363401467323	True
0.5	r2to4_M_L2	1.0159879041214322e-07	1.9695919102998747e-08	6.146986983764644e-09	False
0.5	r4to8_M_L2	6.211390688047137e-05	6.490643248244476e-05	6.592620404907702e-05	True
1.0	r2to4_H_L2	2.4299520351149735e-06	9.000281963417456e-07	4.962244133100395e-07	False
1.0	r4to8_H_L2	0.003026545883868589	0.006812309910617513	0.011900626710880135	True
1.0	r2to4_M_L2	2.230941386039738e-07	4.283604125755502e-08	1.363466516659022e-08	False
1.0	r4to8_M_L2	6.506599775787713e-05	6.700643731007143e-05	6.771805518587386e-05	True
2.0	r2to4_H_L2	7.835546003261761e-05	9.693172917877351e-05	0.0001162686672780142	True
2.0	r4to8_H_L2	0.008731792331553362	0.018454637665552682	0.030472988265711074	True
2.0	r2to4_M_L2	6.3296040383166836e-06	5.878089934860325e-06	5.500473631558801e-06	False
2.0	r4to8_M_L2	0.00019262568208328092	0.00019344180612518693	0.00019331356756331852	True
2.2	r2to4_H_L2	0.0001960017856990737	0.0003070652159758867	0.0004332074869689631	True
2.2	r4to8_H_L2	0.009750841602379478	0.020710919854608704	0.034412942856498374	True
2.2	r2to4_M_L2	1.1330842106573548e-05	1.1877086159119496e-05	1.1800645693310657e-05	True
2.2	r4to8_M_L2	0.0002447681913403663	0.00024666021864846977	0.0002473137659270098	True
3.0	r2to4_H_L2	0.002323456672929516	0.0045709376734415766	0.0068678656043684805	True
3.0	r4to8_H_L2	0.03437779406434778	0.07642020359502857	0.1316506061437671	True
3.0	r2to4_M_L2	2.645199365778911e-05	2.576474006586615e-05	2.2194696775521478e-05	False
3.0	r4to8_M_L2	0.0005011775894218694	0.000507641573822516	0.0005114266849873644	True
4.0	r2to4_H_L2	0.007361457746445802	0.01349526182888496	0.01899821002643267	True
4.0	r4to8_H_L2	0.14327813342082826	0.3081328261957587	0.5183737474602869	True
4.0	r2to4_M_L2	8.304757784916855e-05	7.398854412048663e-05	6.485555692059889e-05	False
4.0	r4to8_M_L2	0.0008338189108632906	0.000849750196820434	0.0008633989750757233	True
