axis_tau,coordinate_time_N128,coordinate_time_N256,coordinate_time_N512,field,N128,N256,N512,difference_128_256,difference_256_512,observed_order,monotone_decreasing_with_resolution
0.0,0.0,0.0,0.0,C-norm2,0.002218775309294396,0.0007685412781567472,0.0003825371028589201,0.001450234031137649,0.00038600417529782705,1.909597375648491,True
0.0,0.0,0.0,0.0,H-norm2,0.0022152486866750007,0.0007685266635154852,0.0003825370449090532,0.0014467220231595154,0.000385989618606432,1.9061537943248303,True
0.0,0.0,0.0,0.0,M-norm2,0.0,0.0,0.0,0.0,0.0,,True
0.0,0.0,0.0,0.0,Z-norm2,8.816556548488162e-07,3.653660315503079e-09,1.4487466726118349e-11,8.780019945333132e-07,3.6391728487769606e-09,7.914469830779679,True
0.125,0.20296274782465737,0.2029627478344473,0.2029627478432296,C-norm2,0.0026279794730116146,0.0007568990093630921,0.00038020073201256745,0.0018710804636485226,0.00037669827735052467,2.312390260405258,True
0.125,0.20296274782465737,0.2029627478344473,0.2029627478432296,H-norm2,0.002285609780313391,0.0007536902147761205,0.0003773087262389621,0.0015319195655372703,0.0003763814885371584,2.025072970314783,True
0.125,0.20296274782465737,0.2029627478344473,0.2029627478432296,M-norm2,0.00028484811742970244,2.8203988428668204e-06,2.3123434630772635e-06,0.0002820277185868356,5.08055379789557e-07,9.116635482633876,True
0.125,0.20296274782465737,0.2029627478344473,0.2029627478432296,Z-norm2,1.292483137804019e-05,5.685885255315176e-08,7.195894928903529e-08,1.2867972525487038e-05,1.510009673588353e-08,9.735011253528747,False
0.25,0.4059254776060779,0.4059254776937283,0.4059254777693208,C-norm2,0.004726860635376276,0.0007768003149855734,0.0003979829363385389,0.003950060320390703,0.00037881737864703456,3.3823002619011295,True
0.25,0.4059254776060779,0.4059254776937283,0.4059254777693208,H-norm2,0.0026506343016100935,0.0007575858327329395,0.000386686571624294,0.001893048468877154,0.00037089926110864556,2.3516120508431255,True
0.25,0.4059254776060779,0.4059254776937283,0.4059254777693208,M-norm2,0.0016354112819955786,1.2300942358507889e-05,4.423606925080674e-06,0.0016231103396370707,7.877335433427216e-06,7.6868376528170925,True
0.25,0.4059254776060779,0.4059254776937283,0.4059254777693208,Z-norm2,0.00010636466190061308,1.1124346540596757e-06,1.125649154401838e-06,0.0001052522272465534,1.3214500342162363e-08,12.95944126629909,False
0.5,0.8118504055316131,0.8118504057268486,0.8118504062261142,C-norm2,0.0061949946462593565,0.0008717809974244009,0.0005240589137439946,0.005323213648834956,0.0003477220836804063,3.9362908704083073,True
0.5,0.8118504055316131,0.8118504057268486,0.8118504062261142,H-norm2,0.0020169177308959067,0.0007749797094554872,0.00045977749575778115,0.0012419380214404195,0.000315202213697706,1.9782436059351662,True
0.5,0.8118504055316131,0.8118504057268486,0.8118504062261142,M-norm2,0.003545648624150993,2.499685001233087e-05,7.741007309193521e-06,0.003520651774138662,1.725584270313735e-05,7.672613797124144,True
0.5,0.8118504055316131,0.8118504057268486,0.8118504062261142,Z-norm2,0.00014701524490764024,1.271261822661669e-05,1.0408114951515411e-05,0.00013430262668102355,2.3045032751012796e-06,5.864887892943477,True
0.75,1.2177721757572182,1.2177721840041595,1.2177721871076037,C-norm2,0.00489566597673676,0.0011459158675457284,0.0009241098540369586,0.0037497501091910313,0.0002218060135087698,4.079424069876746,True
0.75,1.2177721757572182,1.2177721840041595,1.2177721871076037,H-norm2,0.0028789090348204554,0.000843380430818936,0.0007689556901496266,0.0020355286040015194,7.442474066930943e-05,4.773477395233772,True
0.75,1.2177721757572182,1.2177721840041595,1.2177721871076037,M-norm2,0.0010876101373582506,1.822721635724572e-05,9.977285729378074e-06,0.0010693829210010049,8.249930627867647e-06,7.018180837513586,True
0.75,1.2177721757572182,1.2177721840041595,1.2177721871076037,Z-norm2,0.00020410140451182198,5.401058463092105e-05,2.7414732856885707e-05,0.00015009081988090093,2.6595851774035346e-05,2.4965625916108767,True
1.0,1.6236842927512676,1.6236842882344453,1.6236842922994605,C-norm2,0.006356993814134219,0.0017716113742340393,0.001783531153515742,0.0045853824399001795,1.1919779281702745e-05,8.587540733664767,False
1.0,1.6236842927512676,1.6236842882344453,1.6236842922994605,H-norm2,0.0034347692373734974,0.0010253155193383932,0.0015606332164544896,0.0024094537180351042,0.0005353176971160964,2.1702388366128544,False
1.0,1.6236842927512676,1.6236842882344453,1.6236842922994605,M-norm2,0.0014789869026402642,2.318500369467879e-05,1.1926113983416141e-05,0.0014558018989455856,1.1258889711262647e-05,7.014605677237806,True
1.0,1.6236842927512676,1.6236842882344453,1.6236842922994605,Z-norm2,0.00029930249532296823,0.0001425805663446405,3.884046594725145e-05,0.00015672192897832774,0.00010374010039738903,0.5952333889074083,True
1.25,2.0295746049267973,2.0295746382659248,2.029574652759722,C-norm2,0.007916239293478676,0.002860998797018659,0.0033717845510674044,0.005055240496460016,0.0005107857540487455,3.306989534528136,False
1.25,2.0295746049267973,2.0295746382659248,2.029574652759722,H-norm2,0.0037857006812903405,0.0014086150593057337,0.0031057525696225876,0.0023770856219846067,0.001697137510316854,0.4860904059337768,False
1.25,2.0295746049267973,2.0295746382659248,2.029574652759722,M-norm2,0.0014562219706077226,2.550619571056887e-05,1.5116376881041458e-05,0.0014307157748971538,1.0389818829527413e-05,7.1054227876641045,True
1.25,2.0295746049267973,2.0295746382659248,2.029574652759722,Z-norm2,0.0005526125067181793,0.0002875279079304098,4.29677496479455e-05,0.0002650845987877695,0.00024456015828246434,0.1162634620941919,True
2.0,3.246929130998834,3.2469313838932132,3.246931500521423,C-norm2,0.016860188928967776,0.009155566277814265,0.022177814289693457,0.007704622651153511,0.013022248011879192,-0.757182315571741,False
2.0,3.246929130998834,3.2469313838932132,3.246931500521423,H-norm2,0.004265923047529367,0.004701153531059387,0.015353998765843748,0.00043523048353001983,0.010652845234784361,-4.613315390109523,False
2.0,3.246929130998834,3.2469313838932132,3.246931500521423,M-norm2,0.0010250750431972295,2.9228086210411797e-05,9.33501268695041e-05,0.0009958469569868178,6.41220406590923e-05,3.9570317995932363,False
2.0,3.246929130998834,3.2469313838932132,3.246931500521423,Z-norm2,0.0023844696797891817,0.0009154896683981717,0.0013931274196273954,0.00146898001139101,0.00047763775122922373,1.6208259920457604,False
3.0,4.870037041942559,4.870038103710075,4.8700364261466165,C-norm2,0.05160357749815762,0.023430872444022737,0.21966193984416882,0.02817270505413488,0.1962310674001461,-2.8001834693398315,False
3.0,4.870037041942559,4.870038103710075,4.8700364261466165,H-norm2,0.0076252599592567,0.01756264971311863,0.06932641131315316,0.009937389753861929,0.05176376160003453,-2.3810036046471317,False
3.0,4.870037041942559,4.870038103710075,4.8700364261466165,M-norm2,0.0008965453183837662,6.777442970624408e-05,0.0010545813470908573,0.0008287708886775221,0.0009868069173846132,-0.2517945008186538,False
3.0,4.870037041942559,4.870038103710075,4.8700364261466165,Z-norm2,0.008956873620111378,0.0011929165037371453,0.03203751514875259,0.0077639571163742324,0.030844598645015445,-1.9901538192356516,False
