line	fdng	analytic	lambda	kernel	simd	regs	spill_reals
946	2	1	0	generic_gauge_driver	32	256	887
948	2	1	1	scalar_source_and_pi_rhs	32	256	901
950	3	1	0	generic_gauge_driver	32	256	887
952	3	1	1	scalar_source_and_pi_rhs	32	256	895
954	4	1	0	generic_gauge_driver	32	256	887
956	4	1	1	scalar_source_and_pi_rhs	32	256	908
