metric	value
refgh_dynamic_zone_cycles_per_s	7.36863699999999953e+05
refgh_static_zone_cycles_per_s	7.47096800000000047e+05
z4c_zone_cycles_per_s	7.23006000000000000e+06
dynamic_q_over_static_time	1.01388737157224607e+00
refgh_over_z4c_complete_time	9.81193672588295485e+00
