diss,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
0.10,2.7526274328862836,1.6954177126682424,R4,Z,4.068547919209598e-07,1079.0858415200048,6.955328360572677e-09,0.00014395600233091193,3.9375,-0.0625,4.0,0.0
0.10,2.7526274328862836,1.6954177126682424,R8,C,0.00015145422755209956,6863.446190661792,6.785571551441458e-07,0.0011388666324575487,7.875,-0.9375,7.875,-0.9375
0.10,2.7526274328862836,1.6954177126682424,R8,H,4.2357833112554375e-05,6863.446190661792,2.879844003995415e-07,0.0007073199958540499,4.625,-0.0625,4.625,0.0
0.10,2.7526274328862836,1.6954177126682424,R8,M,4.100353741761381e-05,6863.446190661792,5.820788693411611e-07,0.0010548010866080926,7.875,-0.9375,7.875,-0.9375
0.10,2.7526274328862836,1.6954177126682424,R8,Z,1.4760522463288777e-05,6863.446190661792,2.5631264946072362e-08,0.00020490063947905545,6.125,-0.0625,6.125,0.0
0.10,2.7526274328862836,1.6954177126682424,R12,C,0.00021464529685367016,17532.99815742265,1.193385779912593e-06,0.0012477979769654052,8.0,-1.625,7.9375,-1.3125
0.10,2.7526274328862836,1.6954177126682424,R12,H,6.36446082827213e-05,17532.99815742265,7.174865897908088e-07,0.0008420163067057729,8.0,-1.625,8.0,-1.625
0.10,2.7526274328862836,1.6954177126682424,R12,M,5.924863789653575e-05,17532.99815742265,6.33250014022654e-07,0.0011102807908097577,7.9375,-1.3125,7.9375,-1.3125
0.10,2.7526274328862836,1.6954177126682424,R12,Z,2.0459019837508913e-05,17532.99815742265,1.4846286458955376e-07,0.00026755146090715553,8.5,-0.125,8.5,0.0
0.10,2.7526274328862836,1.6954177126682424,full,C,0.0003248947979984102,47731.033650395606,1.193385779912593e-06,0.0012477979769654052,8.0,-1.625,7.9375,-1.3125
0.10,2.7526274328862836,1.6954177126682424,full,H,8.567760102869636e-05,47731.033650395606,7.174865897908088e-07,0.0008420163067057729,8.0,-1.625,8.0,-1.625
0.10,2.7526274328862836,1.6954177126682424,full,M,6.656547855806227e-05,47731.033650395606,6.33250014022654e-07,0.0011102807908097577,7.9375,-1.3125,7.9375,-1.3125
0.10,2.7526274328862836,1.6954177126682424,full,Z,4.0652809289695334e-05,47731.033650395606,1.4846286458955376e-07,0.00026755146090715553,8.5,-0.125,8.5,0.0
0.10,3.0029236441181664,1.8496368505898182,R4,C,5.4343617903324084e-06,1077.35060672003,8.536071982874946e-08,0.0004320863007195632,3.875,-0.0625,3.875,0.0
0.10,3.0029236441181664,1.8496368505898182,R4,H,1.720879294747227e-06,1077.35060672003,3.59869934807823e-08,0.00028069774270989,3.875,-0.0625,3.875,0.0
0.10,3.0029236441181664,1.8496368505898182,R4,M,7.493270993513701e-07,1077.35060672003,1.1747092051142927e-08,0.0001596265525143493,3.9375,-0.375,3.875,-0.1875
0.10,3.0029236441181664,1.8496368505898182,R4,Z,6.608060390421655e-07,1077.35060672003,1.0505666644845712e-08,0.00015019303711596096,3.9375,-0.0625,3.9375,0.0
0.10,3.0029236441181664,1.8496368505898182,R8,C,0.00016904485057886768,6855.02962361935,5.636197576063346e-07,0.0010430652344695151,7.8125,1.3125,7.8125,1.3125
0.10,3.0029236441181664,1.8496368505898182,R8,H,5.130036763606939e-05,6855.02962361935,3.066873644480681e-07,0.0007543526007793844,4.5,-0.0625,4.5,0.0
0.10,3.0029236441181664,1.8496368505898182,R8,M,4.838437761619959e-05,6855.02962361935,4.3784000005171317e-07,0.0009193398460286794,7.8125,-1.3125,7.8125,-1.3125
0.10,3.0029236441181664,1.8496368505898182,R8,Z,1.4820601305550357e-05,6855.02962361935,2.5441978001463372e-08,0.00020608784960684197,6.25,-0.0625,6.25,0.0
0.10,3.0029236441181664,1.8496368505898182,R12,C,0.00021478892632202675,17521.00838037084,6.861903719875475e-07,0.0010430652344695151,8.0,-2.125,7.8125,1.3125
0.10,3.0029236441181664,1.8496368505898182,R12,H,7.293937318647161e-05,17521.00838037084,5.153628918668443e-07,0.0007543526007793844,8.0,-2.125,4.5,0.0
