diss,C_t6p5,C_t9p2,first_transaction_time,first_accepted_refinement_time,first_late_refinement_after_t6p5,requested_refine_total,created_leaf_total,max_leaf_count,max_ref_level,terminal_time,terminal_axisTau,terminal_C,terminal_H,terminal_M,terminal_Z,minimum_chi,minimum_metric_pivot,max_axisKret_log10_deviation_from_diss0p02,peak_hbm_used_mib,segment_exit_statuses,status
0.02,0.0032850020249102435,1.0321172218073384,0.010823312937405826,0.010823312937405826,10.275815835005098,254,1632,1526,20.0,11.19191699534206,6.846604456067693,1.6114920146479704e+16,1.3696452370612792e+16,2418467775831168.0,5012.081523435757,0.3213600814342499,0.19738458469774756,0.0,5815.0,0;0;130,REACHED_T9P5_NONZERO_EXIT
0.05,0.0026934456375568737,0.6923577575460332,0.010823312937405826,0.010823312937405826,10.365813507616425,7,39,65,3.0,11.3,6.91531987023357,255.51891050378637,125.01122048841319,128.39145570515154,0.40722527743063897,0.32136017084121704,0.19738458469774756,0.027832631016036835,5815.0,0;0;0,REACHED_T11P3
0.10,0.002223800874203182,0.390464198624487,0.010823312937405826,0.010823312937405826,10.73935019548469,12,60,86,4.0,11.3,6.917003386065598,1593.389274143281,700.8514990862666,891.2893479397266,0.12074799104785004,0.3213602900505066,0.19738458469774756,0.05556361020962264,5815.0,0;0;0,REACHED_T11P3
0.20,0.0018501978194133397,0.1675276910149798,0.010823312937405826,0.010823312937405826,11.10447907506535,6,24,50,2.0,11.3,6.919452631449983,53.63171713913177,21.4281102027225,31.678806872770508,0.10149728328044466,0.32136043906211853,0.19738458469774756,0.0860764843845927,36577.0,0;0;0,REACHED_T11P3
0.50,0.0015175926401299622,0.043688664577228975,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,11.3,6.923736666532958,0.26954428974687905,0.1401109470636431,0.0660388602347878,0.003711324196698196,0.3213607966899872,0.19738458469774756,0.11026753734237937,5815.0,0;0;0,REACHED_T11P3
