# commit	case	resolution	time	metric_L1_or_initial_L2	final_L2_or_order	constraint_Linf_or_growth	status
447691bd	exact_minkowski	8^3	0.02	0.0	0.0	0.0	PASS
447691bd	linear_wave	8x8x8	0.05	3.55102211524460643e-10	-	9.67437351889512667e-08	PASS
447691bd	linear_wave	16x8x8	0.05	2.35663571990230025e-11	3.913433670848026	6.78284515108715160e-09	PASS
447691bd	linear_wave	32x8x8	0.05	1.52948834153399105e-12	3.945607754155944	4.36133685571937024e-10	PASS
447691bd	robust_minkowski	8^3	0.20	5.78966451477022527e-11	5.56396565924855974e-11	0.961016937173841956	PASS
447691bd	robust_minkowski	16^3	0.20	5.78345095445798242e-11	5.48584993504415074e-11	0.948542657012689694	PASS
447691bd	robust_minkowski	32^3	0.20	5.78527395195827326e-11	5.37801685934087868e-11	0.929604527633554722	PASS
