backend	commit	n	dx	r_min	time	rhs_Linf	rhs_component	rhs_radius	coordinate_ref_Ricci_Linf	field_Linf	native_constraint_Linf
Serial	704a4b7a38079cb34f6683216a93f717c411d747	64	0.0625	0.0541266	0	2.81236e-09	Pi00	0.0541266	1.39306e-07	0	1.44064e-09
Serial	704a4b7a38079cb34f6683216a93f717c411d747	96	0.0416666666666667	0.0360844	0	6.62851e-08	Pi00	0.0360844	7.23932e-07	0	1.08012e-08
Serial	704a4b7a38079cb34f6683216a93f717c411d747	128	0.03125	0.0270633	0	3.19734e-07	Pi00	0.0270633	2.26079e-06	0	2.44690e-08
A100	704a4b7a38079cb34f6683216a93f717c411d747	64	0.0625	0.0541265877365274	0	4.78640873152355227e-09	Pi00	0.0541265877365274	1.37213646667078137e-07	NA	8.03083821665495634e-10
A100	704a4b7a38079cb34f6683216a93f717c411d747	96	0.0416666666666667	0.0360843918243516	0	8.44213927841363483e-08	Pi00	0.0360843918243516	7.21023752703331411e-07	NA	5.63522917218506336e-09
A100	704a4b7a38079cb34f6683216a93f717c411d747	128	0.03125	0.0270632938682637	0	1.35671426147499202e-07	Pi00	0.0270632938682637	2.31637386605143547e-06	NA	4.18440322391688824e-08
