backend	commit	n	dx	r_min	time	rhs_Linf	rhs_component	rhs_radius	coordinate_ref_Ricci_Linf	field_Linf	native_constraint_Linf
Serial	25df7092	64	0.0625	0.0541266	0	4.01180e-08	Pi23	0.0541266	4.42532e-04	0	1.39880e-09
Serial	25df7092	96	0.0416666666666667	0.0360844	0	8.87289e-08	Pi00	0.0360844	2.72146e-03	0	7.53789e-09
Serial	25df7092	128	0.03125	0.0270633	0	4.32766e-08	Pi00	0.0270633	1.08994e-03	0	6.28061e-08
