case	n	time	metric_L1	metric_Linf	constraint_Linf	initial_L2	final_L2	growth	rate	robust_Linf
exact_minkowski	8	0.02	0	0	0	NA	NA	NA	NA	0
linear_wave	8	0.05	3.55102211524460643e-10	5.45074541058454543e-10	9.67437351889512667e-08	NA	NA	NA	NA	NA
linear_wave	16	0.05	2.35663571990230025e-11	3.74359432342430409e-11	6.78284515108715160e-09	NA	NA	NA	NA	NA
linear_wave	32	0.05	1.52948834153399105e-12	2.41218156560307762e-12	4.36133685571937024e-10	NA	NA	NA	NA	NA
robust_minkowski	8	0.2	NA	NA	NA	5.78966451477022527e-11	5.56396565924855974e-11	9.61016937173841956e-01	-1.98816228183110205e-01	2.15086339757914722e-10
robust_minkowski	16	0.2	NA	NA	NA	5.77705725890718251e-11	5.36585911219348230e-11	9.28822213752562909e-01	-3.69189661344299258e-01	2.16000075720034540e-10
robust_minkowski	32	0.2	NA	NA	NA	5.77541186656084380e-11	5.07087011623600688e-11	8.78010128696781744e-01	-6.50485746562212697e-01	2.37893774827663285e-10
