# Athena++ data at time=2.203125e+00  cycle=142 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00132 0004 -9.68750e+00  8.17786e-01  1.00030e+00 -1.56951e-05 -1.56951e-05  9.99849e-01  5.04660e-07  9.99849e-01 -7.01026e-05 -1.65269e-04  8.68944e-06  8.68944e-06  8.25969e-05 -2.83808e-07  8.25969e-05  3.40423e-05 -7.71235e-07 -7.71235e-07 -6.07418e-06  9.04453e-01  7.42113e-06 -1.56437e-07 -1.56437e-07
00132 0005 -9.06250e+00  8.06828e-01  1.00050e+00 -2.72182e-05 -2.72182e-05  9.99751e-01  9.30263e-07  9.99751e-01 -1.00228e-04 -2.50821e-04  1.37596e-05  1.37596e-05  1.25316e-04 -4.72981e-07  1.25316e-04  4.94418e-05 -1.25995e-06 -1.25995e-06 -6.78700e-06  8.98450e-01  1.06528e-05 -2.52379e-07 -2.52379e-07
00132 0006 -8.43750e+00  7.94479e-01  1.00071e+00 -4.07742e-05 -4.07742e-05  9.99644e-01  1.49750e-06  9.99644e-01 -1.41640e-04 -3.63462e-04  2.09906e-05  2.09906e-05  1.81535e-04 -7.70465e-07  1.81535e-04  5.85373e-05 -1.65673e-06 -1.65673e-06 -7.07517e-06  8.91642e-01  1.17475e-05 -3.16440e-07 -3.16440e-07
00132 0007 -7.81250e+00  7.80452e-01  1.00096e+00 -5.84208e-05 -5.84208e-05  9.99519e-01  2.32757e-06  9.99519e-01 -1.99463e-04 -5.09752e-04  3.11617e-05  3.11617e-05  2.54505e-04 -1.23763e-06  2.54505e-04  6.70033e-05 -2.18311e-06 -2.18311e-06 -5.13182e-06  8.83854e-01  1.25120e-05 -4.05986e-07 -4.05986e-07
00132 0008 -7.18750e+00  7.64383e-01  1.00129e+00 -8.43918e-05 -8.43918e-05  9.99356e-01  3.66606e-06  9.99356e-01 -2.82163e-04 -6.99659e-04  4.59754e-05  4.59754e-05  3.49146e-04 -1.99432e-06  3.49146e-04  8.04461e-05 -3.19846e-06 -3.19846e-06 -7.42019e-07  8.74866e-01  1.42416e-05 -5.73799e-07 -5.73799e-07
00132 0009 -6.56250e+00  7.45798e-01  1.00175e+00 -1.25552e-04 -1.25552e-04  9.99124e-01  5.98235e-06  9.99124e-01 -3.99943e-04 -9.72468e-04  6.97015e-05  6.97015e-05  4.84940e-04 -3.32334e-06  4.84940e-04  9.54564e-05 -4.60696e-06 -4.60696e-06  5.02237e-07  8.64386e-01  1.62964e-05 -7.96120e-07 -7.96120e-07
00132 0010 -5.93750e+00  7.24067e-01  1.00244e+00 -1.92972e-04 -1.92972e-04  9.98783e-01  1.01793e-05  9.98783e-01 -5.73609e-04 -1.38364e-03  1.09434e-04  1.09434e-04  6.89257e-04 -5.77846e-06  6.89257e-04  1.14572e-04 -5.88121e-06 -5.88121e-06  2.21107e-06  8.52025e-01  1.81929e-05 -9.66364e-07 -9.66364e-07
00132 0011 -5.31250e+00  6.98329e-01  1.00349e+00 -3.08033e-04 -3.08033e-04  9.98262e-01  1.81507e-05  9.98262e-01 -8.49453e-04 -2.03514e-03  1.79643e-04  1.79643e-04  1.01216e-03 -1.05725e-05  1.01216e-03  1.25529e-04 -7.27332e-06 -7.27332e-06  3.17890e-07  8.37244e-01  1.82646e-05 -1.04535e-06 -1.04535e-06
00133 0004 -4.84375e+00  6.74908e-01  1.00474e+00 -2.29021e-04 -2.29021e-04  9.97639e-01  7.39546e-06  9.97639e-01 -1.17877e-03 -2.83978e-03  1.37070e-04  1.37070e-04  1.40979e-03 -4.42338e-06  1.40979e-03  1.02550e-04 -3.08418e-06 -3.08418e-06  3.16916e-07  8.23668e-01  1.35683e-05 -3.87680e-07 -3.87680e-07
00133 0005 -4.53125e+00  6.57727e-01  1.00582e+00 -3.00578e-04 -3.00578e-04  9.97104e-01  1.03759e-05  9.97104e-01 -1.47685e-03 -3.55499e-03  1.83520e-04  1.83520e-04  1.76199e-03 -6.32733e-06  1.76199e-03  5.03442e-05 -7.67687e-07 -7.67687e-07  2.33048e-06  8.13634e-01  5.56175e-06 -1.79485e-07 -1.79485e-07
00133 0006 -4.21875e+00  6.38665e-01  1.00722e+00 -4.00343e-04 -4.00343e-04  9.96412e-01  1.48406e-05  9.96412e-01 -1.86662e-03 -4.50355e-03  2.49793e-04  2.49793e-04  2.22742e-03 -9.25252e-06  2.22742e-03 -6.47791e-05  2.00141e-06  2.00141e-06 -1.85506e-07  8.02427e-01 -9.89700e-06  3.15828e-07  3.15828e-07
00133 0007 -3.90625e+00  6.17408e-01  1.00904e+00 -5.41805e-04 -5.41805e-04  9.95512e-01  2.16903e-05  9.95512e-01 -2.38380e-03 -5.78572e-03  3.46080e-04  3.46080e-04  2.85371e-03 -1.38596e-05  2.85371e-03 -3.04833e-04  1.16542e-05  1.16542e-05  4.43220e-08  7.89834e-01 -3.65547e-05  1.44950e-06  1.44950e-06
00133 0008 -3.59375e+00  5.93567e-01  1.01145e+00 -7.45698e-04 -7.45698e-04  9.94326e-01  3.24555e-05  9.94326e-01 -3.06994e-03 -7.52170e-03  4.88769e-04  4.88769e-04  3.69648e-03 -2.12843e-05  3.69648e-03 -7.41848e-04  3.28567e-05  3.28567e-05  3.79194e-06  7.75589e-01 -8.20945e-05  3.56102e-06  3.56102e-06
00133 0009 -3.28125e+00  5.66667e-01  1.01467e+00 -1.04578e-03 -1.04578e-03  9.92747e-01  4.98462e-05  9.92747e-01 -3.99423e-03 -9.93990e-03  7.05845e-04  7.05845e-04  4.86114e-03 -3.36361e-05  4.86114e-03 -1.58806e-03  7.61340e-05  7.61340e-05 -2.34880e-06  7.59348e-01 -1.59921e-04  7.60934e-06  7.60934e-06
00133 0010 -2.96875e+00  5.36124e-01  1.01902e+00 -1.49758e-03 -1.49758e-03  9.90628e-01  7.88630e-05  9.90628e-01 -5.23305e-03 -1.33355e-02  1.04524e-03  1.04524e-03  6.47893e-03 -5.49870e-05  6.47893e-03 -3.20449e-03  1.68409e-04  1.68409e-04 -4.23965e-06  7.40657e-01 -2.87655e-04  1.51270e-05  1.51270e-05
00133 0011 -2.65625e+00  5.01211e-01  1.02495e+00 -2.19413e-03 -2.19413e-03  9.87759e-01  1.29080e-04  9.87759e-01 -6.88636e-03 -1.81892e-02  1.58992e-03  1.58992e-03  8.75785e-03 -9.34632e-05  8.75785e-03 -6.26660e-03  3.68611e-04  3.68611e-04 -4.20218e-06  7.18905e-01 -4.94630e-04  2.90748e-05  2.90748e-05
00134 0004 -2.42188e+00  4.70619e-01  1.03133e+00 -1.50510e-03 -1.50510e-03  9.84698e-01  4.85553e-05  9.84698e-01 -8.52941e-03 -2.36252e-02  1.12672e-03  1.12672e-03  1.12753e-02 -3.63286e-05  1.12753e-02 -1.05080e-02  3.38645e-04  3.38645e-04 -4.66588e-06  6.99423e-01 -7.37747e-04  2.37786e-05  2.37786e-05
00134 0005 -2.26562e+00  4.48885e-01  1.03626e+00 -1.86015e-03 -1.86015e-03  9.82353e-01  6.41515e-05  9.82353e-01 -9.79388e-03 -2.80120e-02  1.42515e-03  1.42515e-03  1.32723e-02 -4.91128e-05  1.32723e-02 -1.46666e-02  5.06759e-04  5.06759e-04 -3.23997e-06  6.85287e-01 -9.44419e-04  3.25185e-05  3.25185e-05
