# time,dt,profile,min_alpha,min_chi,min_metric_minor,max_beta,max_Gamma,invalid_points,coordinate_global_volume,coordinate_global_gamma_rms,coordinate_global_chi_gradient_rms,coordinate_global_lapse_gradient_rms,coordinate_global_damping_rms,coordinate_core_r_le_0p25_volume,coordinate_core_r_le_0p25_gamma_rms,coordinate_core_r_le_0p25_chi_gradient_rms,coordinate_core_r_le_0p25_lapse_gradient_rms,coordinate_core_r_le_0p25_damping_rms,coordinate_ah_0p25_to_1_volume,coordinate_ah_0p25_to_1_gamma_rms,coordinate_ah_0p25_to_1_chi_gradient_rms,coordinate_ah_0p25_to_1_lapse_gradient_rms,coordinate_ah_0p25_to_1_damping_rms,coordinate_ext_2_to_8_volume,coordinate_ext_2_to_8_gamma_rms,coordinate_ext_2_to_8_chi_gradient_rms,coordinate_ext_2_to_8_lapse_gradient_rms,coordinate_ext_2_to_8_damping_rms,proper_global_volume,proper_global_gamma_rms,proper_global_chi_gradient_rms,proper_global_lapse_gradient_rms,proper_global_damping_rms,proper_core_r_le_0p25_volume,proper_core_r_le_0p25_gamma_rms,proper_core_r_le_0p25_chi_gradient_rms,proper_core_r_le_0p25_lapse_gradient_rms,proper_core_r_le_0p25_damping_rms,proper_ah_0p25_to_1_volume,proper_ah_0p25_to_1_gamma_rms,proper_ah_0p25_to_1_chi_gradient_rms,proper_ah_0p25_to_1_lapse_gradient_rms,proper_ah_0p25_to_1_damping_rms,proper_ext_2_to_8_volume,proper_ext_2_to_8_gamma_rms,proper_ext_2_to_8_chi_gradient_rms,proper_ext_2_to_8_lapse_gradient_rms,proper_ext_2_to_8_damping_rms
0,0.015625,candidate_a,0.045365018047222858,0.0020579848624248565,1.1246293070893809,0,3.3374714952671413e-15,0,8000,1.8314052461067257e-16,0,0,0,0.030517578125,5.3752559012335452e-21,0,0,0,4.119873046875,3.7902600524257264e-17,0,0,0,2100.921630859375,2.1389519982888526e-16,0,0,0,11966.136840531673,1.8213597592781562e-16,0,0,0,326.87883471661183,5.3752559012335452e-21,0,0,0,187.13090831906197,2.2205843329379782e-17,0,0,0,3557.7913648986387,2.1756858299233952e-16,0,0,0
0.10000000000000001,0.012500000000000011,candidate_a,0.045399636575743758,0.0020530866707503463,1.12462930719642,6.6822380763623416e-07,0.0018313277426412417,0,8000,9.9980964880522001e-07,0,0,6.3441359565991119e-08,0.030517578125,2.6521777986701169e-09,0,0,1.3687462854647165e-10,4.119873046875,1.6847982665238815e-05,0,0,1.069056778996631e-06,2100.921630859375,7.6153627329578444e-07,0,0,4.8318264863436807e-08,11967.311078685756,2.2703005284769582e-06,0,0,1.440579533998487e-07,328.04931850805775,2.6521777986701169e-09,0,0,1.3687462854647167e-10,187.12243920301606,1.0589433308691667e-05,0,0,6.7192091888209889e-07,3557.798114481594,1.0495497551728507e-06,0,0,6.6592631142652238e-08
0.20937500000000001,0.015625,candidate_a,0.045443473391282109,0.0020477068038542183,1.1246293080834624,5.8248226483192998e-06,0.0080311189165503481,0,8000,4.3885545042600094e-06,0,0,5.5310795391283554e-07,0.030517578125,1.1653718255766953e-08,0,0,9.1485343894610006e-10,4.119873046875,7.3952456001157664e-05,0,0,9.3205498081076962e-06,2100.921630859375,3.344621046931699e-06,0,0,4.2142038085911817e-07,11968.649291937751,9.9651886667500427e-06,0,0,1.2559627925614101e-06,329.34297564785965,1.1653718255766953e-08,0,0,9.1485343894610016e-10,187.1255795547344,4.6491032598559769e-05,0,0,5.8590670893909446e-06,3557.820961183405,4.609469323927725e-06,0,0,5.8080060504744336e-07
0.25,0.015625,candidate_a,0.045461333231158751,0.0020457025839547291,1.1246293090988602,9.7329218099072056e-06,0.011452818860372863,0,8000,6.2612927775082859e-06,0,0,9.2430253614790844e-07,0.030517578125,1.6631234810750238e-08,0,0,1.3638212880467657e-09,4.119873046875,0.00010551000927931236,0,0,1.5575622601836208e-05,2100.921630859375,4.7731599676571947e-06,0,0,7.0437060338858459e-07,11969.160739967527,1.421771190572596e-05,0,0,2.0988644839810466e-06,329.82709102980294,1.6631234810750238e-08,0,0,1.3638212880467657e-09,187.13005634178248,6.6337046515931649e-05,0,0,9.7918984521269119e-06,3557.8335683538708,6.5782306066505326e-06,0,0,9.7076138637831561e-07
0.40625,0.015625,candidate_a,0.045537923430346072,0.0020379637168791392,1.1246293209109111,3.8986439863416052e-05,0.030285747758000029,0,8000,1.6600262615097888e-05,0,0,3.7044109881942502e-06,0.030517578125,4.4111560969624631e-08,0,0,3.0688540360988537e-09,4.119873046875,0.00027972819841977885,0,0,6.2423310853897156e-05,2100.921630859375,1.2669457395962001e-05,0,0,2.825364402511554e-06,11971.200868672815,3.7696993483081256e-05,0,0,8.4124239893468479e-06,331.70757813353561,4.4111560969624631e-08,0,0,3.0688540360988537e-09,187.16406236431118,0.00017596624473270334,0,0,3.9259377143498605e-05,3557.9029373129088,1.7461566949846145e-05,0,0,3.894037929158126e-06
0.5,0.015625,candidate_a,0.045589853227885016,0.0020332971421646194,1.1246293366878135,6.9891220381778418e-05,0.04593136020531239,0,8000,2.5231283856100557e-05,0,0,6.6438083294059489e-06,0.030517578125,6.7028891277584012e-08,0,0,3.1087069059739546e-09,4.119873046875,0.00042515572229396333,0,0,0.00011195413781262327,2100.921630859375,1.927189457877881e-05,0,0,5.0702131066626551e-06,11972.480830176002,5.7300777305493582e-05,0,0,1.508874735322389e-05,332.85017504035926,6.7028891277584012e-08,0,0,3.1087069059739538e-09,187.1973150358115,0.0002675575938603342,0,0,7.0432436524755517e-05,3557.9605548783857,2.6563206235852489e-05,0,0,6.9883497686998311e-06
0.609375,0.015625,candidate_a,0.045656058484875028,0.0020278305368381867,1.12462936438589,0.00012110566878287018,0.068338441448504803,0,8000,3.7661641602941129e-05,0,0,1.151928712949832e-05,0.030517578125,9.9969039772297466e-08,0,0,8.171510774022253e-10,4.119873046875,0.00063456314510278796,0,0,0.00019410487217661111,2100.921630859375,2.879703733533703e-05,0,0,8.7977047694637771e-06,11974.027398998212,8.5538748970239567e-05,0,0,2.6164597884300749e-05,334.19702299775236,9.9969039772297453e-08,0,0,8.171510774022253e-10,187.24835415987263,0.00039955956345202073,0,0,0.00012216739042106479,3558.0430877485687,3.9695966163435205e-05,0,0,1.2127037713594635e-05
0.703125,0.015625,candidate_a,0.045717596587930606,0.0020231255976205583,1.1246293949743389,0.00017949202491076909,0.091133510949127014,0,8000,5.0394302794880375e-05,0,0,1.7083487057343898e-05,0.030517578125,1.3361211311136141e-07,0,0,4.2852990452701839e-09,4.119873046875,0.00084899405063197598,0,0,0.00028784996872401318,2100.921630859375,3.8574624348278976e-05,0,0,1.3057264110540875e-05,11975.398931348367,0.00011446819010734811,0,0,3.8807745325216688e-05,335.3635030962576,1.3361211311136141e-07,0,0,4.2852990452701839e-09,187.30263477435895,0.00053485948262543782,0,0,0.00018124551725129373,3558.1271002720218,5.3178609937469331e-05,0,0,1.8000072104225342e-05
0.8125,0.015625,candidate_a,0.045794951969224576,0.0020176137555942279,1.1246294360049447,0.00026613433825132881,0.12195363566323443,0,8000,6.7753791684830323e-05,0,0,2.5350718072026163e-05,0.030517578125,1.7930115714571795e-07,0,0,1.5382588730271785e-08,4.119873046875,0.0011411958884396287,0,0,0.00042710726864759302,2100.921630859375,5.1939364342161569e-05,0,0,1.939624937624846e-05,11977.05290588493,0.00015391629728755965,0,0,5.7597264744510546e-05,336.73869136957887,1.7930115714571798e-07,0,0,1.5382588730271785e-08,187.37828303603581,0.00071942867067412912,0,0,0.00026907628971551437,3558.2408158517101,7.1610426289851197e-05,0,0,2.6741513507559588e-05
0.609375,0.015625,candidate_a,0.045656058484875028,0.0020278305368381867,1.12462936438589,0.00012110566878287018,0.068338441448504803,0,8000,3.7661641602941129e-05,0,0,1.151928712949832e-05,0.030517578125,9.9969039772297466e-08,0,0,8.171510774022253e-10,4.119873046875,0.00063456314510278796,0,0,0.00019410487217661111,2100.921630859375,2.879703733533703e-05,0,0,8.7977047694637771e-06,11974.027398998212,8.5538748970239567e-05,0,0,2.6164597884300749e-05,334.19702299775236,9.9969039772297453e-08,0,0,8.171510774022253e-10,187.24835415987263,0.00039955956345202073,0,0,0.00012216739042106479,3558.0430877485687,3.9695966163435205e-05,0,0,1.2127037713594635e-05
