57098562|cartoon-r4-amrabc-21a268e4-v1|COMPLETED|0:0|4378|1||32|billing=128,cpu=128,energy=1888206,gres/gpu:a100=4,gres/gpu=4,mem=229902M,node=1|nid008209
57098562.extern|extern|COMPLETED|0:0|4378|1|1|128|billing=128,cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229902M,node=1|nid008209
57098562.0|python3|COMPLETED|0:0|4|1|1|32|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=229902M,node=1|nid008209
57098562.1|python3|TIMEOUT|0:15|3001|1|1|32|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=229902M,node=1|nid008209
57098562.2|python3|COMPLETED|0:0|445|1|1|32|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=229902M,node=1|nid008209
57098562.3|python3|FAILED|1:0|449|1|1|32|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=229902M,node=1|nid008209
