# reproduction_conditioned_linf=1.61558713389263218e-27
# production_rerun_conditioned_linf=0.00000000000000000e+00
# tolerance=4.99999999999999990e-13
# global_actual_maximum=4.28545283584610241e-10 component=54 radius=1.11584819195982038e-01 rank=1 gid=63
# at_global_max_actual=4.28545283584610241e-10 principal=0.00000000000000000e+00 vacuum=0.00000000000000000e+00 ordinary_gauge=0.00000000000000000e+00 gamma0=0.00000000000000000e+00 gamma2=0.00000000000000000e+00 driver=8.97061524241721158e-12 KO=4.19574668342193050e-10 sum=4.28545283584610241e-10
sector	family	maximum	component	radius	rank	gid	x	y	z	i	j	k
actual	Psi	1.08979492097205362e-14	0	1.61626256762321896e-01	1	63	-1.56250000000000000e-02	-7.81250000000000000e-02	-1.40625000000000000e-01	15	13	11
actual	Pi	1.82229129126846119e-11	10	1.11584819195982038e-01	10	448	1.56250000000000000e-02	1.56250000000000000e-02	1.09375000000000000e-01	0	0	3
actual	Phi	2.92198169988180613e-14	20	1.11584819195982038e-01	2	118	1.56250000000000000e-02	-1.56250000000000000e-02	-1.09375000000000000e-01	0	15	12
actual	Hhat	8.71529503299811495e-12	50	1.11584819195982038e-01	1	63	-1.56250000000000000e-02	-1.56250000000000000e-02	-1.09375000000000000e-01	15	15	12
actual	theta	4.28545283584610241e-10	54	1.11584819195982038e-01	1	63	-1.56250000000000000e-02	-1.56250000000000000e-02	-1.09375000000000000e-01	15	15	12
actual	Upsilon	3.00910292120779672e-15	59	1.49053000221397752e-01	1	63	-1.56250000000000000e-02	-1.40625000000000000e-01	-4.68750000000000000e-02	15	11	14
principal	Psi	3.53146123451711772e-28	0	1.55466787047909366e-01	1	63	-1.09375000000000000e-01	-1.09375000000000000e-01	-1.56250000000000000e-02	12	12	15
principal	Pi	2.74832536459540683e-12	10	1.11584819195982038e-01	7	338	1.56250000000000000e-02	-1.56250000000000000e-02	1.09375000000000000e-01	0	15	3
principal	Phi	2.72814321377747603e-27	30	1.11584819195982038e-01	1	63	-1.56250000000000000e-02	-1.09375000000000000e-01	-1.56250000000000000e-02	15	12	15
covariant_vacuum_source	Pi	3.80581867134740071e-13	10	1.42350524674129675e-01	1	63	-7.81250000000000000e-02	-1.09375000000000000e-01	-4.68750000000000000e-02	13	12	14
ordinary_gauge_increment	Pi	1.65696310533181794e-11	10	1.11584819195982038e-01	1	63	-1.56250000000000000e-02	-1.56250000000000000e-02	-1.09375000000000000e-01	15	15	12
gamma0_damping	Pi	1.17192054347949985e-14	10	1.55466787047909366e-01	1	63	-1.09375000000000000e-01	-1.09375000000000000e-01	-1.56250000000000000e-02	12	12	15
gamma2_damping	Pi	6.64347131598922646e-14	10	1.11584819195982038e-01	5	228	1.09375000000000000e-01	1.56250000000000000e-02	-1.56250000000000000e-02	3	0	15
gamma2_damping	Phi	1.23853271915949459e-14	40	3.04983830257851540e+00	6	292	-1.67187500000000000e+00	-1.95312500000000000e+00	1.64062500000000000e+00	10	1	4
driver	Hhat	1.68529671429845235e-11	53	1.11584819195982038e-01	1	63	-1.56250000000000000e-02	-1.56250000000000000e-02	-1.09375000000000000e-01	15	15	12
driver	theta	1.11117818380429124e-11	57	1.11584819195982038e-01	1	63	-1.56250000000000000e-02	-1.56250000000000000e-02	-1.09375000000000000e-01	15	15	12
driver	Upsilon	3.00910292120779672e-15	59	1.49053000221397752e-01	1	63	-1.56250000000000000e-02	-1.40625000000000000e-01	-4.68750000000000000e-02	15	11	14
KO	Psi	1.08979492097205378e-14	0	1.61626256762321896e-01	1	63	-1.56250000000000000e-02	-7.81250000000000000e-02	-1.40625000000000000e-01	15	13	11
KO	Pi	9.96144788880198685e-13	10	1.11584819195982038e-01	1	63	-1.56250000000000000e-02	-1.56250000000000000e-02	-1.09375000000000000e-01	15	15	12
KO	Phi	2.70840137651954914e-14	20	1.11584819195982038e-01	2	118	1.56250000000000000e-02	-1.56250000000000000e-02	-1.09375000000000000e-01	0	15	12
KO	Hhat	1.13975850979386474e-11	53	1.11584819195982038e-01	1	63	-1.56250000000000000e-02	-1.56250000000000000e-02	-1.09375000000000000e-01	15	15	12
KO	theta	4.20495460673464539e-10	54	1.11584819195982038e-01	1	63	-1.56250000000000000e-02	-1.09375000000000000e-01	-1.56250000000000000e-02	15	12	15
KO	Upsilon	0.00000000000000000e+00	58	1.11135386888020515e+00	8	340	1.56250000000000000e-02	-9.84375000000000000e-01	5.15625000000000000e-01	0	0	0
