resolution,time,axisTau,cycle,field,norm2,Linf,rho,z,classification,local_h,owner_levels,distance_axis_over_h,distance_outer_over_h,distance_same_level_over_h,distance_coarse_fine_over_h
n256,0.0747910713347399,0.07479107132937154,20,C,0.000502487021773078,0.005526109094384851,5.5,-0.0625,same_level_seam,0.03125,8,176.0,3920.0,2.0,16.0
n256,0.0747910713347399,0.07479107132937154,20,H,0.0003687407351338829,0.005451882832873463,5.5,-0.0625,same_level_seam,0.03125,8,176.0,3920.0,2.0,16.0
n256,0.0747910713347399,0.07479107132937154,20,M,4.627352061207743e-05,0.000946813688282973,5.96875,-0.0625,coarse_fine_interface,0.03125,8,191.0,3905.0,2.0,1.0
n256,0.0747910713347399,0.07479107132937154,20,Z,2.13877916661323e-05,0.0004922811860870851,4.84375,0.25,clean_interior,0.03125,8,155.0,3941.0,5.0,27.0
n256,0.08729559001252393,0.08729559000082114,24,C,0.0005680741741051731,0.0051780631642289925,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.08729559001252393,0.08729559000082114,24,H,0.00046180336779616846,0.005124293110328373,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.08729559001252393,0.08729559000082114,24,M,2.0493481174815516e-05,0.0009087207912072573,5.46875,0.0,same_level_seam,0.03125,8,175.0,3921.0,0.0,17.0
n256,0.08729559001252393,0.08729559000082114,24,Z,2.087032557458848e-05,0.0005006156800398238,4.84375,0.25,clean_interior,0.03125,8,155.0,3941.0,5.0,27.0
n256,0.09981840605401825,0.09981840603101613,28,C,0.0004931142871100994,0.0036091308866275625,5.5,-0.375,clean_interior,0.03125,8,176.0,3920.0,12.0,16.0
n256,0.09981840605401825,0.09981840603101613,28,H,0.0003782394049987599,0.0035068316981230786,5.5,-0.375,clean_interior,0.03125,8,176.0,3920.0,12.0,16.0
n256,0.09981840605401825,0.09981840603101613,28,M,3.207607532595408e-05,0.0016324036525038224,5.46875,0.0,same_level_seam,0.03125,8,175.0,3921.0,0.0,17.0
n256,0.09981840605401825,0.09981840603101613,28,Z,2.001150366939435e-05,0.0004936225781007655,4.84375,0.25,clean_interior,0.03125,8,155.0,3941.0,5.0,27.0
n256,0.11236215038961828,0.11236215034785775,32,C,0.00037206927722948133,0.0031352552701091035,5.34375,0.21875,clean_interior,0.03125,8,171.0,3925.0,7.0,21.0
n256,0.11236215038961828,0.11236215034785775,32,H,0.00023298169805484046,0.002938634145376595,5.34375,0.21875,clean_interior,0.03125,8,171.0,3925.0,7.0,21.0
n256,0.11236215038961828,0.11236215034785775,32,M,6.0528049681888e-05,0.0018573371287545037,5.59375,0.0,same_level_seam,0.03125,8,179.0,3917.0,0.0,13.0
n256,0.11236215038961828,0.11236215034785775,32,Z,1.8818926970408027e-05,0.0004716218157542491,4.84375,0.25,clean_interior,0.03125,8,155.0,3941.0,5.0,27.0
n256,0.12492945737855281,0.12492945730735397,36,C,0.00029922870186503003,0.0023656787005155,5.4375,0.0,same_level_seam,0.03125,8,174.0,3922.0,0.0,18.0
n256,0.12492945737855281,0.12492945730735397,36,H,0.0001471377404093035,0.002151779523596714,5.4375,0.0,same_level_seam,0.03125,8,174.0,3922.0,0.0,18.0
n256,0.12492945737855281,0.12492945730735397,36,M,7.839887477348628e-05,0.0016257443069190413,5.59375,0.03125,same_level_seam,0.03125,8,179.0,3917.0,1.0,13.0
n256,0.12492945737855281,0.12492945730735397,36,Z,1.7457828519020378e-05,0.00043726364914207984,4.84375,0.25,clean_interior,0.03125,8,155.0,3941.0,5.0,27.0
n256,0.13752297012422926,0.13752297000886643,40,C,0.0002977859818603675,0.0035861566491465265,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.13752297012422926,0.13752297000886643,40,H,0.0001546313666068772,0.0035332351128070233,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.13752297012422926,0.13752297000886643,40,M,7.418505964918195e-05,0.0014386527199686642,5.3125,0.1875,clean_interior,0.03125,8,170.0,3926.0,6.0,22.0
n256,0.13752297012422926,0.13752297000886643,40,Z,1.6132320774755707e-05,0.000394572474952243,4.84375,0.25,clean_interior,0.03125,8,155.0,3941.0,5.0,27.0
n256,0.15014533618495657,0.15014533600572683,44,C,0.00033545787879438654,0.0039001127743538513,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.15014533618495657,0.15014533600572683,44,H,0.00021461419381418902,0.003858927231402687,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.15014533618495657,0.15014533600572683,44,M,5.598544039120541e-05,0.0012335521112252937,5.75,-0.0625,same_level_seam,0.03125,8,184.0,3912.0,2.0,8.0
n256,0.15014533618495657,0.15014533600572683,44,Z,1.4969020425711193e-05,0.0003646914167905432,5.46875,-0.34375,clean_interior,0.03125,8,175.0,3921.0,11.0,17.0
n256,0.16279919779608468,0.16279919752725883,48,C,0.0003659160814843002,0.004151559721944578,5.28125,0.15625,clean_interior,0.03125,8,169.0,3927.0,5.0,23.0
n256,0.16279919779608468,0.16279919752725883,48,H,0.00026422381915494836,0.004100266141706083,5.28125,0.15625,clean_interior,0.03125,8,169.0,3927.0,5.0,23.0
n256,0.16279919779608468,0.16279919752725883,48,M,4.037746169745051e-05,0.0010026140056664972,5.53125,-0.0625,same_level_seam,0.03125,8,177.0,3919.0,2.0,15.0
n256,0.16279919779608468,0.16279919752725883,48,Z,1.3959763100874946e-05,0.0003538464667960812,4.9375,-0.34375,same_level_seam,0.03125,8,158.0,3938.0,2.0,30.0
n256,0.17548718245550224,0.17548718206414626,52,C,0.0003590830664537005,0.0038687212937882965,5.28125,0.15625,clean_interior,0.03125,8,169.0,3927.0,5.0,23.0
n256,0.17548718245550224,0.17548718206414626,52,H,0.00026339226054942984,0.0038141242958324995,5.28125,0.15625,clean_interior,0.03125,8,169.0,3927.0,5.0,23.0
n256,0.17548718245550224,0.17548718206414626,52,M,3.776195369805684e-05,0.0013100177018779099,5.53125,0.0625,same_level_seam,0.03125,8,177.0,3919.0,2.0,15.0
n256,0.17548718245550224,0.17548718206414626,52,Z,1.2997705744363953e-05,0.00034522647486484506,4.9375,-0.34375,same_level_seam,0.03125,8,158.0,3938.0,2.0,30.0
n256,0.1882118963383789,0.18821189578303357,56,C,0.0003175481712481285,0.002743373659628603,5.71875,0.15625,clean_interior,0.03125,8,183.0,3913.0,5.0,9.0
n256,0.1882118963383789,0.18821189578303357,56,H,0.00021731882673724112,0.002650530180242139,5.71875,0.15625,clean_interior,0.03125,8,183.0,3913.0,5.0,9.0
n256,0.1882118963383789,0.18821189578303357,56,M,4.591470150710952e-05,0.001312278761021203,5.53125,0.0,same_level_seam,0.03125,8,177.0,3919.0,0.0,15.0
