case	target_time	time	GH_RMS	reduction_RMS	curl_RMS	Psi_error_RMS	physical_lapse_min	physical_lapse_max	relative_metric_condition_max	relative_D_Linf	relative_source_Linf	bad_state	characteristic_speed_max	effective_CFL
local	0.0	0.0	0.0	0.0	0.0	0.0	0.2153903091734725	0.9027490175113316	1.0	0.0	0.0	0.0	0.8149557886176745	0.05
local	0.04604472861863394	0.04604472861863394	2.2358526467348993e-07	8.409039155820528e-07	2.463902221959565e-07	4.563619520698476e-06	0.2153919197400181	0.9027490481806002	1.00008004843628	1.950556010127549e-06	2.582968008601396e-05	0.0	0.8149558231383702	0.05
