line	fdng	analytic	lambda	kernel	simd	regs	spill_reals
1683	2	1	0	generic_gauge_driver	32	256	887
1685	2	1	1	scalar_source_and_pi_rhs	32	256	901
1687	3	1	0	generic_gauge_driver	32	256	887
1689	3	1	1	scalar_source_and_pi_rhs	32	256	895
1691	4	1	0	generic_gauge_driver	32	256	887
1693	4	1	1	scalar_source_and_pi_rhs	32	256	908
