block,level,x,y,z,r,h,w,rho,alpha,K,local_rate,rate_gradient_norm,product_derivative_defect,half_ell_factorized,half_ell_direct,energy_rate_margin,frozen_spectral_abscissa
0,0,-7.9375,-7.9375,-7.9375,13.748153285077963,0.125,0.9312043165424468,1.0041873657086329,0.9351036095652676,-0.0011755405059122412,16.0,0.0,2.7032574369238666e-08,5.8726525724089275e-05,5.875355829845851e-05,15.996476876330469,-15.997581865984671
0,0,-4.0625,-6.8125,-7.9375,11.221317603115954,0.125,0.9151337629154271,1.0173887015533907,0.9310467508001948,-0.0025716934471980307,16.0,0.0,9.378754757803153e-08,0.00021271711910144858,0.0002126424591409149,15.991344413192909,-15.994666979546597
0,0,-6.8125,-6.8125,-7.3125,12.095163031145963,0.125,0.9210392853256041,1.011793039627905,0.9319011381163061,-0.0021891017003995597,16.0,0.0,9.135468661964229e-08,1.8576658466814404e-08,7.9444569219043e-08,15.993083054240666,-15.995456866505775
0,0,-4.0625,-4.1875,-7.0625,9.16067512522958,0.125,0.8959130387719014,1.0334310773727882,0.9258643768903746,-0.0011896138392731544,16.0,0.0,1.6895536688188033e-07,1.6087656634924076e-08,1.5287101785628983e-07,15.989347141722114,-15.997233955856869
0,0,-7.3125,-7.1875,-6.1875,11.97572414303202,0.125,0.9202586150552988,1.0125121940463442,0.9317730694196906,-0.0023032150658428424,16.0,0.0,9.586844305109515e-08,2.5213737653678145e-08,7.105103936614533e-08,15.992763377607329,-15.99522508804511
0,0,-4.0625,-4.0625,-4.8125,7.494529254729746,0.125,0.8756811431024258,1.0402477213250818,0.9109253137196414,0.0022227796754709125,16.0,0.0,1.9913768516708945e-08,7.861193937787273e-10,1.9821953175709417e-08,15.989500804498212,-15.996364581787137
1,0,-0.5625,-5.9375,-7.8125,9.828808104241327,0.125,0.903217503538001,1.0281230327477981,0.9286187189683847,-0.0019919276096717333,16.0,0.0,3.5420378395147713e-07,2.3699984434180357e-05,2.405022945692194e-05,15.98945532517669,-15.995673207958715
1,0,-0.5625,-4.0625,-4.5625,6.134877240010594,0.125,0.8560434996212201,1.0329490025726715,0.8842492790925583,0.006437645254309912,16.0,0.0,2.8724724670984513e-08,6.741614288195542e-09,3.544915874182995e-08,15.987767991057629,-15.990948136311479
2,0,-6.8125,-2.5625,-6.4375,9.716890899356645,0.125,0.9015103471398113,1.0293815217202251,0.9279980929853073,-0.0017935501401032698,16.0,0.0,1.5341716215231628e-07,1.7756870088391957e-08,1.356781179396083e-07,15.989615704046903,-15.99602922517054
2,0,-6.9375,-2.5625,-5.4375,9.17941821413536,0.125,0.8960801692876647,1.0332773035458411,0.925899301082459,-0.0011889971989124703,16.0,0.0,1.8061797016836763e-07,1.5976307966386188e-08,1.646482895564411e-07,15.989317943043474,-15.997234025149073
