time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,nmb_total,maxAbsKret,maxRefLev,cycle,axisLapse,axisTau,axisKret
0.0,0.0375,0.0204282022553213,0.02036433384170601,0.0,1.5967103403823334e-05,0.0,8.0,80.60538718716222,0.0,0.0,0.6159200539472285,0.0,0.0005640802758563611
0.07031249999999999,0.0046875,0.6085370036326472,0.5744907073304388,0.007142532628003514,0.006695845304920791,0.06133579234817217,38.0,92.06426551198194,3.0,4.0,0.6158791579375504,0.04330576665989498,0.0005651369642638797
0.08906249999999998,0.0046875,0.5422674076285647,0.4952935544146557,0.021930587337189188,0.006176587988416254,0.07698394592927282,38.0,91.14785946522267,3.0,8.0,0.6158791619887033,0.05485350090811593,0.000565132098510887
0.10781249999999996,0.0046875,0.45903051500948133,0.39461019031050276,0.04197151391570342,0.0054522285920354935,0.0924130222160122,38.0,89.93413213289239,3.0,12.0,0.6158791667926969,0.06640123523932183,0.0005651265322288851
0.13124999999999995,0.009375,0.30173738126346983,0.2403902554045548,0.04593277519387948,0.0035995980419368336,0.11056549555594304,26.0,86.4160977772939,2.0,16.0,0.6158900690805136,0.08083600543252267,0.0005648619705409315
0.16874999999999993,0.009375,0.19389800506065707,0.11337241202379614,0.07015581668658669,0.0021853519057096864,0.1396372449295292,26.0,83.4097732519971,2.0,20.0,0.615890085385826,0.10393188331562112,0.0005648394662054478
0.2062499999999999,0.009375,0.13730674380692115,0.04715569912481575,0.08357674898939252,0.0011340811772489376,0.1665613785189815,26.0,81.4401095374661,2.0,24.0,0.6158901064552147,0.1270277618978066,0.0005648112273131411
0.24374999999999988,0.009375,0.14210617564870703,0.05464243259537557,0.08263950252208294,0.0006732758964033018,0.19092552209304361,26.0,78.73530994588816,2.0,28.0,0.6158901329489104,0.15012364136962103,0.0005647776497928403
0.28124999999999994,0.009375,0.19289532926944128,0.11708286528015437,0.06973157188722454,0.001039371890487928,0.21572070996371548,26.0,75.0271406217359,2.0,32.0,0.615890165692924,0.17321952194948323,0.0005647392368325831
0.33749999999999997,0.01875,0.09591202246046976,0.07003084290950773,0.02289042862118782,0.0005179698155813252,0.24415434930602817,20.0,65.41604445865795,1.0,36.0,0.6158902287450347,0.20786334546495633,0.0005646739465255276
0.4124999999999999,0.01875,0.10713318862676272,0.09778074208145612,0.006754017626783405,0.0005597797014377935,0.2741658562412842,20.0,54.88764814554153,1.0,40.0,0.6158903454967044,0.2540551167517565,0.0005645755751185336
0.4781249999999999,0.009375,0.22294671054097986,0.20582056288184983,0.004681881619125748,0.003065667387752336,0.29476994254501876,26.0,48.80228246820573,2.0,44.0,0.6158904876337719,0.2944729251207186,0.0005644796093628196
0.515625,0.009375,0.1849434120375369,0.16496794156425287,0.008117403225041252,0.00289337777903504,0.3008533839643742,26.0,43.05068787483342,2.0,48.0,0.6158905901368853,0.31756882027818406,0.0005644200185545391
0.5531250000000001,0.009375,0.13738747829120185,0.11238170293964732,0.015047643328676575,0.0023629421898175886,0.30443355393290206,26.0,37.33144875502599,2.0,52.0,0.615890711379202,0.34066471962237316,0.0005643567037746588
0.5906250000000002,0.009375,0.10123832510168629,0.07191945347495238,0.021920634969429732,0.001660778498239996,0.30528774767146116,26.0,31.709141035932575,2.0,56.0,0.6158908544944666,0.3637606239133935,0.0005642897456093179
0.6281250000000003,0.009375,0.08608321359084631,0.05458751803148935,0.026178365305356117,0.001094053769974907,0.3034472251467585,26.0,26.251849017559024,2.0,60.0,0.6158910231000707,0.38685653403785025,0.0005642193349940103
0.6656250000000004,0.009375,0.0871674690213293,0.05561423503793851,0.02698709037451314,0.0008887979460979222,0.29898284048180784,26.0,21.03524736436933,2.0,64.0,0.615891221316276,0.40995245102740496,0.000564145500652735
0.7031250000000004,0.009375,0.09523153446124732,0.06501988262000745,0.024993003917567317,0.0010632588272941625,0.2920024462325342,26.0,16.165246566373522,2.0,68.0,0.6158914537625999,0.4330483760776366,0.0005640679082873013
0.7406250000000005,0.009375,0.10362282677567303,0.0749365384635946,0.021542591845181133,0.0015721419706090866,0.2826327692303551,26.0,11.773068880734595,2.0,72.0,0.6158917255292394,0.45614431056630184,0.0005639858460002144
0.7781250000000006,0.009375,0.10976919348130931,0.0822157594425654,0.01791192680612792,0.0022224914075279125,0.27098775048750673,26.0,11.452469564835464,2.0,76.0,0.6158920421243654,0.4792402560700635,0.0005638983403495226
0.8156250000000007,0.009375,0.11465064524726687,0.0879931485762028,0.014943220190784246,0.0027505865250229307,0.25834085688695385,26.0,12.608825182513847,2.0,80.0,0.6158924094011485,0.502336214378849,0.0005638042402318132
0.8531250000000008,0.009375,0.11901143383631373,0.09305399055045764,0.013054712737269731,0.003037495371628375,0.24849107181727345,26.0,13.900819934555965,2.0,84.0,0.6158928334466804,0.5254321875069088,0.0005637021599290316
0.8906250000000009,0.009375,0.1212333842990217,0.09552159805510603,0.012432437576739636,0.0031073367520632134,0.23779432679131257,26.0,14.955637363276589,2.0,88.0,0.6158933204389483,0.5485281776987619,0.000563590340576762
0.928125000000001,0.009375,0.11860785563934287,0.09239079354046617,0.013149161354964148,0.003026497842081119,0.22562623422199163,26.0,15.61522863276248,2.0,92.0,0.6158938765799193,0.5716241874312172,0.000563466617987641
