series,index,form_x_pt,form_y_pt,page_x_pt,page_y_pt,tau,log10_abs_I,abs_I,original_pdf_vertex
bamps,0,34.311333,66.067612,26.311333,65.067612,0,-3.2476465904846403,0.00056539688247323253,true
bamps,1,56.63314,65.959579,48.63314,64.959579,1.6072822280082257,-3.25973899795533,0.00054987123587221928,true
bamps,2,74.333485,65.870687,66.333485,64.870687,2.8817959780874309,-3.2696889047882851,0.00053741662251701014,true
bamps,3,77.90881,66.112295,69.90881,65.112295,3.1392373371966431,-3.2426451090575488,0.00057194582078040981,true
bamps,4,80.315105,66.487622,72.315105,65.487622,3.3125026641858537,-3.2006338067818376,0.00063003720067681497,true
bamps,5,82.13113,66.948575,74.13113,65.948575,3.4432655862072936,-3.1490381693299723,0.00070951540724055212,true
bamps,6,83.956414,67.612016,75.956414,66.612016,3.5746952027373426,-3.0747775368865295,0.00084182624850762252,true
bamps,7,85.790612,68.513677,77.790612,67.513677,3.7067666720430412,-2.9738523361383273,0.0010620566042018923,true
bamps,8,87.63332,69.670222,79.63332,68.670222,3.8394509040950693,-2.8443973233349249,0.0014308782315811375,true
bamps,9,89.483999,71.071663,81.483999,70.071663,3.9727090881859914,-2.6875304806282299,0.0020533809064209956,true
bamps,10,91.963202,73.255613,83.963202,72.255613,4.1512241573972197,-2.4430754224921509,0.0036051602795365138,true
bamps,11,95.704751,76.929403,87.704751,75.929403,4.4206344794612873,-2.0318587975557985,0.0092926847132451026,true
bamps,12,100.729258,81.851498,92.729258,80.851498,4.7824242219137201,-1.4809162304749091,0.033043327099411053,true
bamps,13,103.884647,84.605425,95.884647,83.605425,5.0096280796548367,-1.1726622022748512,0.067195129881842897,true
bamps,14,106.413255,86.513856,98.413255,85.513856,5.1917005570308579,-0.95904668403785021,0.1098887709281442,true
bamps,15,108.941605,88.100323,100.941605,87.100323,5.3737544571109268,-0.78146941225233724,0.16539812720451338,true
bamps,16,110.834411,89.04963,102.834411,88.04963,5.5100459968087367,-0.67521107397811631,0.21124621003542268,true
bamps,17,112.721313,89.771699,104.721313,88.771699,5.6459124188503376,-0.59438806091771568,0.2544555565933414,true
bamps,18,114.598601,90.24791,106.598601,89.24791,5.7810865846001418,-0.54108455685853751,0.28768382416346033,true
bamps,19,116.462277,90.459195,108.462277,89.459195,5.9152806179759105,-0.51743489136332066,0.30378414854645852,true
bamps,20,118.307594,90.383938,110.307594,89.383938,6.0481527111331284,-0.52585859809202107,0.29794863622629603,true
bamps,21,120.129498,89.994216,112.129498,88.994216,6.1793389506851986,-0.56948116919800362,0.26947521729888052,true
bamps,22,121.328689,89.539898,113.328689,88.539898,6.2656867263060274,-0.62033413428523887,0.23969880324350698,true
bamps,23,122.513555,88.909072,114.513555,87.909072,6.3510030299713707,-0.69094408712470423,0.20373043518457376,true
bamps,24,123.682953,88.073495,115.682953,87.073495,6.4352055599398614,-0.7844723382807155,0.16425842782229261,true
bamps,25,124.835687,86.988538,116.835687,85.988538,6.5182081982039053,-0.90591432482351353,0.12418972779491971,true
