writer_rule,count,max_abs_diff,max_rel_diff,positive_source_nonpositive_target
0:center-center,16856.0,6.427807368036831e-05,0.00014608950000094035,0.0
0:edge-center,4816.0,0.0006224554632376922,0.0010800989788246214,0.0
0:edge-edge,344.0,6.803696253832037e-05,0.00012214868875137734,0.0
3:center-center,3500.0,0.00041876526569784023,0.0007269080060882428,0.0
3:edge-center,4144.0,0.00024107729217981433,0.0004228321983817959,0.0
3:edge-edge,644.0,4.220258651310704e-05,7.612019411432205e-05,0.0
