# reproduction_conditioned_linf=9.86076131526264757e-32
# production_rerun_conditioned_linf=0.00000000000000000e+00
# tolerance=4.99999999999999990e-13
# global_actual_maximum=5.80110851996046898e-14 component=10 radius=1.55623744974859157e+00 rank=0 gid=0
# at_global_max_actual=5.80110851996046898e-14 principal=0.00000000000000000e+00 vacuum=5.67573825090104738e-14 ordinary_gauge=1.25370269059421593e-15 gamma0=0.00000000000000000e+00 gamma2=0.00000000000000000e+00 driver=0.00000000000000000e+00 KO=0.00000000000000000e+00 sum=5.80110851996046898e-14
sector	family	maximum	component	radius	rank	gid	x	y	z	i	j	k
actual	Psi	0.00000000000000000e+00	0	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
actual	Pi	5.80110851996046898e-14	10	1.55623744974859157e+00	0	0	-6.25000000000000000e-01	-1.12500000000000000e+00	-8.75000000000000000e-01	5	3	4
actual	Phi	0.00000000000000000e+00	20	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
actual	Hhat	3.03945237034586313e-15	52	9.60143218483575978e-01	0	0	-1.25000000000000000e-01	-8.75000000000000000e-01	-3.75000000000000000e-01	7	4	6
actual	theta	1.44591912228098085e-16	54	1.08253175473054841e+00	0	0	-6.25000000000000000e-01	-8.75000000000000000e-01	-1.25000000000000000e-01	5	4	7
actual	Upsilon	2.22044604925031308e-16	58	1.24373429638327493e+00	0	0	-1.12500000000000000e+00	-3.75000000000000000e-01	-3.75000000000000000e-01	3	6	6
principal	Psi	0.00000000000000000e+00	0	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
principal	Pi	0.00000000000000000e+00	10	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
principal	Phi	0.00000000000000000e+00	20	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
covariant_vacuum_source	Pi	5.68187252623301281e-14	10	1.55623744974859157e+00	0	0	-1.37500000000000000e+00	-6.25000000000000000e-01	-3.75000000000000000e-01	2	5	6
ordinary_gauge_increment	Pi	2.88966746578515162e-15	12	9.60143218483575978e-01	0	0	-1.25000000000000000e-01	-8.75000000000000000e-01	-3.75000000000000000e-01	7	4	6
gamma0_damping	Pi	0.00000000000000000e+00	10	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
gamma2_damping	Pi	0.00000000000000000e+00	10	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
gamma2_damping	Phi	0.00000000000000000e+00	20	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
driver	Hhat	3.03945237034586313e-15	52	9.60143218483575978e-01	0	0	-1.25000000000000000e-01	-8.75000000000000000e-01	-3.75000000000000000e-01	7	4	6
driver	theta	1.44591912228098085e-16	54	1.08253175473054841e+00	0	0	-6.25000000000000000e-01	-8.75000000000000000e-01	-1.25000000000000000e-01	5	4	7
driver	Upsilon	2.22044604925031308e-16	58	1.24373429638327493e+00	0	0	-1.12500000000000000e+00	-3.75000000000000000e-01	-3.75000000000000000e-01	3	6	6
KO	Psi	0.00000000000000000e+00	0	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
KO	Pi	0.00000000000000000e+00	10	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
KO	Phi	0.00000000000000000e+00	20	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
KO	Hhat	0.00000000000000000e+00	50	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
KO	theta	0.00000000000000000e+00	54	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
KO	Upsilon	0.00000000000000000e+00	58	3.24759526419164501e+00	0	0	-1.87500000000000000e+00	-1.87500000000000000e+00	-1.87500000000000000e+00	0	0	0
