variable,region,difference_128_256_rms,difference_256_512_rms,observed_order_rms,geometry,family
z4c_Khat,full,1.5132282816770013e-05,1.01928003815899e-06,3.892007266433865,vc_large,state
z4c_Khat,axis_or_nearest,1.453819978052358e-07,6.04943937389767e-08,1.2649752826461385,vc_large,state
z4c_Khat,core_r8,6.814437026590077e-05,4.584393571238143e-06,3.893791663755058,vc_large,state
z4c_Khat,core_r8_mb_interior,6.837021044741229e-05,4.567130140290913e-06,3.904008061045153,vc_large,state
z4c_Khat,outer_or_nearest,6.641281478596829e-07,3.724734480698582e-07,0.8343240597520205,vc_large,state
z4c_Axx,full,1.4000148196512941e-05,9.593139538207533e-07,3.8672952464247254,vc_large,state
z4c_Axx,axis_or_nearest,5.141686929587389e-08,2.8575449762502113e-08,0.847465563204897,vc_large,state
z4c_Axx,core_r8,6.30734621281629e-05,4.318765951367989e-06,3.8683420862845646,vc_large,state
z4c_Axx,core_r8_mb_interior,6.109528470778648e-05,4.1994037619612735e-06,3.862804626722814,vc_large,state
z4c_Axx,outer_or_nearest,8.901619132301592e-08,7.902916797475806e-08,0.17168255502825977,vc_large,state
z4c_Axy,full,3.7516201635305816e-06,2.3486048333959235e-07,3.997637871231201,vc_large,state
z4c_Axy,axis_or_nearest,0.0,0.0,,vc_large,state
z4c_Axy,core_r8,1.68695273631549e-05,1.0551255463984345e-06,3.998932977469899,vc_large,state
z4c_Axy,core_r8_mb_interior,1.7501433027428362e-05,1.0830007150891055e-06,4.014366954946901,vc_large,state
z4c_Axy,outer_or_nearest,2.3608497125713568e-08,1.377067704815812e-08,0.7777067124674911,vc_large,state
z4c_Axz,full,0.0,0.0,,vc_large,state
z4c_Axz,axis_or_nearest,0.0,0.0,,vc_large,state
z4c_Axz,core_r8,0.0,0.0,,vc_large,state
z4c_Axz,core_r8_mb_interior,0.0,0.0,,vc_large,state
z4c_Axz,outer_or_nearest,0.0,0.0,,vc_large,state
z4c_Ayy,full,1.2438463352814691e-05,8.737105291363999e-07,3.831509079196943,vc_large,state
z4c_Ayy,axis_or_nearest,1.0282742750997886e-07,5.715235152102615e-08,0.8473403666785372,vc_large,state
z4c_Ayy,core_r8,5.604838570611632e-05,3.93381354412444e-06,3.8326723382980132,vc_large,state
z4c_Ayy,core_r8_mb_interior,5.30958088284862e-05,3.749192542418623e-06,3.823946161668553,vc_large,state
z4c_Ayy,outer_or_nearest,7.854258406974966e-08,7.717158927758244e-08,0.025405246772707155,vc_large,state
z4c_Ayz,full,0.0,0.0,,vc_large,state
z4c_Ayz,axis_or_nearest,0.0,0.0,,vc_large,state
z4c_Ayz,core_r8,0.0,0.0,,vc_large,state
z4c_Ayz,core_r8_mb_interior,0.0,0.0,,vc_large,state
z4c_Ayz,outer_or_nearest,0.0,0.0,,vc_large,state
z4c_Azz,full,2.51496992902755e-05,1.7642718051869265e-06,3.833396404196307,vc_large,state
z4c_Azz,axis_or_nearest,5.141686929587389e-08,2.8575449762502113e-08,0.847465563204897,vc_large,state
z4c_Azz,core_r8,0.000113340948555736,7.950316831781378e-06,3.8335130163129842,vc_large,state
z4c_Azz,core_r8_mb_interior,0.00011310751121980523,7.901486658663559e-06,3.83942680767663,vc_large,state
z4c_Azz,outer_or_nearest,5.6893605110103394e-08,4.754528318517651e-08,0.2589642784436061,vc_large,state
z4c_Gamx,full,4.1111371900480463e-05,3.4166878007951327e-06,3.588867183015604,vc_large,state
z4c_Gamx,axis_or_nearest,0.0,0.0,,vc_large,state
z4c_Gamx,core_r8,0.00018294318334496058,1.5223316313057044e-05,3.5870410792290093,vc_large,state
z4c_Gamx,core_r8_mb_interior,0.00019137989306122397,1.5887903174707253e-05,3.590438623034675,vc_large,state
z4c_Gamx,outer_or_nearest,5.780261796484702e-07,3.118087677641411e-07,0.8904733401577211,vc_large,state
z4c_Gamy,full,3.4493403208004104e-05,2.8037234795150567e-06,3.6209045018265655,vc_large,state
z4c_Gamy,axis_or_nearest,2.504421968158906e-07,7.883094618556553e-08,1.6676436653306417,vc_large,state
z4c_Gamy,core_r8,0.00015529052004622607,1.2624063704483373e-05,3.620721464998575,vc_large,state
z4c_Gamy,core_r8_mb_interior,0.00016549482467585126,1.3473814872057402e-05,3.61855581473994,vc_large,state
z4c_Gamy,outer_or_nearest,5.156367293908374e-07,2.7814359126738324e-07,0.8905251674662725,vc_large,state
z4c_Gamz,full,0.0,0.0,,vc_large,state
z4c_Gamz,axis_or_nearest,0.0,0.0,,vc_large,state
z4c_Gamz,core_r8,0.0,0.0,,vc_large,state
z4c_Gamz,core_r8_mb_interior,0.0,0.0,,vc_large,state
z4c_Gamz,outer_or_nearest,0.0,0.0,,vc_large,state
z4c_Theta,full,1.1283914928896305e-05,7.840095165386067e-07,3.8472527178561173,vc_large,state
z4c_Theta,axis_or_nearest,1.347474040885262e-07,3.1835755136860215e-08,2.0815375895582715,vc_large,state
z4c_Theta,core_r8,5.084786265129149e-05,3.531054422386717e-06,3.8480161709170426,vc_large,state
z4c_Theta,core_r8_mb_interior,4.697561442159934e-05,3.2019540763322824e-06,3.8748875101997724,vc_large,state
z4c_Theta,outer_or_nearest,2.1691010109657316e-07,2.3410217999854017e-07,-0.11004113095260126,vc_large,state
z4c_alpha,full,4.853227121148219e-06,3.7991192702624576e-07,3.6752074668075,vc_large,state
z4c_alpha,axis_or_nearest,3.5783114056844135e-07,3.2763272245222643e-08,3.4491275856077643,vc_large,state
z4c_alpha,core_r8,2.1743087873041565e-05,1.704012295327406e-06,3.6735491906343554,vc_large,state
z4c_alpha,core_r8_mb_interior,2.264924593435695e-05,1.7461643087436598e-06,3.6972017954741663,vc_large,state
z4c_alpha,outer_or_nearest,1.9743184815313206e-07,1.0467197513760872e-07,0.9154795058181527,vc_large,state
z4c_betax,full,4.063822102888694e-06,2.954690882656011e-07,3.7817581385111367,vc_large,state
z4c_betax,axis_or_nearest,0.0,0.0,,vc_large,state
z4c_betax,core_r8,1.7947583933009767e-05,1.3040518545921355e-06,3.7827165010166244,vc_large,state
z4c_betax,core_r8_mb_interior,1.8680261228104307e-05,1.3566611323186272e-06,3.7833823165121543,vc_large,state
z4c_betax,outer_or_nearest,1.8770080100602215e-07,1.0538247371437129e-07,0.8327998562461415,vc_large,state
z4c_betay,full,3.426160158978535e-06,2.455954975208519e-07,3.8022365758217735,vc_large,state
z4c_betay,axis_or_nearest,5.938009495203318e-08,2.5440380451445685e-08,1.2228591545226484,vc_large,state
z4c_betay,core_r8,1.5426100779398327e-05,1.104261686859066e-06,3.8042194350156207,vc_large,state
z4c_betay,core_r8_mb_interior,1.6425098648368828e-05,1.177123566168979e-06,3.802564357895596,vc_large,state
z4c_betay,outer_or_nearest,1.6740402578024487e-07,9.397757477704203e-08,0.8329457800858079,vc_large,state
z4c_betaz,full,0.0,0.0,,vc_large,state
z4c_betaz,axis_or_nearest,0.0,0.0,,vc_large,state
z4c_betaz,core_r8,0.0,0.0,,vc_large,state
z4c_betaz,core_r8_mb_interior,0.0,0.0,,vc_large,state
