# Athena++ data at time=4.000000e+00  cycle=772 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00054 0004 -9.79167e+00  8.19293e-01  1.00115e+00 -3.74500e-05 -3.74500e-05  9.99426e-01  8.10003e-07  9.99426e-01 -1.96826e-04 -3.96884e-04  1.32420e-05  1.32420e-05  1.98100e-04 -2.87670e-07  1.98100e-04  1.09488e-04 -2.04592e-06 -2.04592e-06 -2.96418e-06  9.05753e-01 -5.91865e-05  9.15302e-07  9.15302e-07
00054 0005 -9.37500e+00  8.12237e-01  1.00148e+00 -5.08101e-05 -5.08101e-05  9.99260e-01  1.14618e-06  9.99260e-01 -2.40278e-04 -4.95548e-04  1.71517e-05  1.71517e-05  2.47223e-04 -3.87039e-07  2.47223e-04  1.39961e-04 -2.77789e-06 -2.77789e-06 -3.47718e-06  9.01996e-01 -6.64011e-05  1.15980e-06  1.15980e-06
00054 0006 -8.95833e+00  8.04607e-01  1.00187e+00 -6.69856e-05 -6.69856e-05  9.99067e-01  1.57432e-06  9.99067e-01 -2.95520e-04 -6.17361e-04  2.22251e-05  2.22251e-05  3.07814e-04 -5.22331e-07  3.07814e-04  1.69974e-04 -3.52711e-06 -3.52711e-06 -3.83652e-06  8.97934e-01 -7.86377e-05  1.55892e-06  1.55892e-06
00054 0007 -8.54167e+00  7.96330e-01  1.00233e+00 -8.70078e-05 -8.70078e-05  9.98839e-01  2.13575e-06  9.98839e-01 -3.66219e-04 -7.69625e-04  2.88806e-05  2.88806e-05  3.83469e-04 -7.09570e-07  3.83469e-04  2.00580e-04 -4.38832e-06 -4.38832e-06 -3.83355e-06  8.93531e-01 -9.64873e-05  2.13412e-06  2.13412e-06
00054 0008 -8.12500e+00  7.87321e-01  1.00287e+00 -1.12304e-04 -1.12304e-04  9.98567e-01  2.88898e-06  9.98567e-01 -4.57333e-04 -9.62618e-04  3.77717e-05  3.77717e-05  4.79234e-04 -9.73141e-07  4.79234e-04  2.34500e-04 -5.45022e-06 -5.45022e-06 -3.45388e-06  8.88743e-01 -1.21108e-04  2.93335e-06  2.93335e-06
00054 0009 -7.70833e+00  7.77481e-01  1.00354e+00 -1.44890e-04 -1.44890e-04  9.98237e-01  3.92067e-06  9.98237e-01 -5.75816e-04 -1.21083e-03  4.98208e-05  4.98208e-05  6.02203e-04 -1.35021e-06  6.02203e-04  2.73692e-04 -6.81610e-06 -6.81610e-06 -3.09021e-06  8.83522e-01 -1.54485e-04  4.04368e-06  4.04368e-06
00054 0010 -7.29167e+00  7.66688e-01  1.00435e+00 -1.87715e-04 -1.87715e-04  9.97831e-01  5.36392e-06  9.97831e-01 -7.30962e-04 -1.53282e-03  6.64015e-05  6.64015e-05  7.61409e-04 -1.90011e-06  7.61409e-04  3.19261e-04 -8.57254e-06 -8.57254e-06 -2.41318e-06  8.77814e-01 -1.99724e-04  5.60988e-06  5.60988e-06
00054 0011 -6.87500e+00  7.54799e-01  1.00538e+00 -2.45081e-04 -2.45081e-04  9.97323e-01  7.42588e-06  9.97323e-01 -9.35712e-04 -1.95501e-03  8.94340e-05  8.94340e-05  9.69634e-04 -2.71344e-06  9.69634e-04  3.69833e-04 -1.07213e-05 -1.07213e-05 -1.74659e-06  8.71554e-01 -2.61651e-04  7.85984e-06  7.85984e-06
00055 0004 -6.45833e+00  7.41639e-01  1.00668e+00 -3.23559e-04 -3.23559e-04  9.96677e-01  1.04394e-05  9.96677e-01 -1.20956e-03 -2.51047e-03  1.21736e-04  1.21736e-04  1.24269e-03 -3.93029e-06  1.24269e-03  4.20446e-04 -1.31169e-05 -1.31169e-05 -1.05845e-06  8.64667e-01 -3.48150e-04  1.11775e-05  1.11775e-05
00055 0005 -6.04167e+00  7.26997e-01  1.00837e+00 -4.33114e-04 -4.33114e-04  9.95839e-01  1.49421e-05  9.95839e-01 -1.57871e-03 -3.25368e-03  1.68202e-04  1.68202e-04  1.60647e-03 -5.80100e-06  1.60647e-03  4.55412e-04 -1.52476e-05 -1.52476e-05  1.98273e-07  8.57070e-01 -4.72254e-04  1.62576e-05  1.62576e-05
